SAMPLES,c1_12015,c1_12320,c1_12345,c1_13135,c1_2112,c1_307,c2_19584,c2_21934,c2_34789,c2_34863,c2_34864,c2_34866,c2_41405,c2_41412,c2_42655,c2_43998,c2_44000,c2_46081,c2_46100,c2_46107,c2_52905,c2_56145,c2_57284,c2_8867,c2_942
15061942,1,4,4,0,0,4,2,2,0,1,3,3,4,4,0,3,3,4,4,4,4,4,0,4,4
15061763,2,3,3,0,0,3,2,2,2,1,3,2,4,4,0,2,2,4,4,4,4,4,1,4,4
15061801,2,4,4,1,1,2,2,2,2,2,4,0,3,3,0,4,4,4,4,4,4,3,0,3,4
15061494,2,4,4,0,0,4,1,3,3,1,4,2,4,4,0,2,2,3,3,3,2,4,0,4,4
15061613,3,4,4,1,1,3,2,1,2,0,4,2,3,3,0,3,3,4,4,4,4,3,1,3,4
15062137,4,4,4,0,0,4,2,2,1,3,2,1,4,4,1,3,3,3,3,3,3,4,1,4,2
15061319,0,4,4,0,0,3,2,1,0,0,4,2,4,4,0,3,3,4,4,4,4,4,0,4,4
15062142,3,4,4,1,1,3,2,2,2,0,4,2,3,3,0,4,4,3,3,3,4,3,1,3,4
15060320,1,4,4,0,0,4,0,1,2,1,4,3,4,4,0,2,2,4,4,4,4,4,0,4,4
15061768,2,4,4,0,0,3,0,3,1,1,4,3,4,4,0,4,4,4,4,4,4,4,0,4,4
15061522,1,4,4,0,0,3,2,3,3,2,4,2,4,4,0,2,3,4,4,4,4,4,0,4,3
15060081,1,3,NA,1,1,3,3,1,0,1,4,1,3,3,NA,2,2,NA,4,NA,4,3,0,3,3
15061656,2,4,4,1,1,4,2,2,2,1,3,2,3,3,0,4,4,4,4,4,4,3,0,3,4
15061759,1,4,4,0,0,3,0,2,1,1,4,3,4,4,0,3,3,4,4,4,4,4,0,4,4
15061928,0,4,4,0,0,3,1,3,2,1,4,2,4,4,0,3,3,4,4,4,4,4,0,4,4
15061454,0,3,3,0,0,4,1,2,3,1,3,3,4,4,0,3,3,4,4,4,4,4,0,4,4
15061605,2,4,4,1,1,2,2,2,3,0,4,1,3,3,0,2,2,4,4,4,4,3,1,3,3
15060087,2,4,4,0,0,3,2,2,1,1,3,3,4,4,0,4,4,4,4,4,4,4,1,4,4
15061619,4,4,4,0,0,4,2,2,1,3,2,1,4,4,1,3,3,3,3,3,3,4,1,4,2
15060090,2,3,3,1,1,3,1,1,1,1,3,3,3,3,0,3,3,4,4,4,4,3,1,4,3
15061731,4,4,4,0,0,4,2,2,1,3,2,1,4,4,1,3,3,3,3,3,3,4,1,4,2
15061655,0,3,3,2,2,3,1,1,2,1,3,2,3,3,3,4,4,4,4,4,4,3,2,3,3
15061661,3,4,4,1,1,3,2,1,2,0,4,2,3,3,0,3,3,4,4,4,4,3,1,3,4
15061499,1,4,4,0,0,4,3,2,1,0,4,1,4,4,0,4,4,4,4,4,4,4,1,4,4
15061647,0,4,4,0,0,3,2,1,0,0,4,2,4,4,0,3,3,4,4,4,4,4,0,4,4
15061612,3,3,3,0,0,2,4,3,1,2,3,0,4,4,0,3,3,4,4,4,4,4,0,4,4
15061742,1,4,4,0,0,4,3,2,1,0,4,1,4,4,0,4,4,4,4,4,4,4,1,4,4
15061710,1,4,4,0,0,4,1,3,3,1,4,2,4,4,0,3,3,4,4,4,4,4,0,4,3
15062372,3,4,4,1,1,3,0,2,2,1,4,1,3,3,0,4,4,4,4,4,4,3,1,3,4
15061583,3,4,4,1,1,3,2,1,2,0,4,2,3,3,0,3,3,4,4,4,4,3,1,3,4
15061767,1,4,4,0,0,4,2,2,3,1,4,1,4,4,1,4,4,4,4,4,4,4,1,4,4
15062130,1,4,4,0,0,4,1,2,1,1,3,3,4,4,0,4,4,3,3,3,3,4,0,4,4
15061637,0,4,4,0,0,3,2,1,0,0,4,2,4,4,0,3,3,4,4,4,4,4,0,4,4
15061337,3,4,4,0,0,4,0,2,1,1,4,3,4,4,0,3,3,4,4,4,4,4,0,4,4
15062104,1,4,4,0,0,4,1,3,1,1,4,3,4,4,0,3,3,4,4,4,4,4,1,4,4
15061579,3,4,4,0,0,3,2,2,2,2,3,2,4,4,0,4,4,4,4,4,4,4,1,4,4
15061932,2,4,4,2,2,3,1,2,1,1,4,2,2,2,2,4,4,4,4,4,4,2,0,2,4
15061603,2,4,4,0,0,3,2,2,1,1,3,3,4,4,0,4,4,4,4,4,4,4,1,4,4
15060025,0,4,4,0,0,3,2,1,0,0,4,2,4,4,0,3,3,4,4,4,4,4,0,4,4
15061704,0,4,4,0,0,3,2,1,0,0,4,2,4,4,0,3,3,4,4,4,4,4,0,4,4
15061334,3,4,4,0,0,4,1,3,1,2,3,2,4,4,0,4,4,3,3,3,3,4,1,4,4
15061631,1,4,4,0,0,4,1,3,3,1,4,2,4,4,0,3,3,4,4,4,4,4,0,4,3
15060964,1,3,3,0,0,4,1,2,1,1,3,3,4,4,1,2,2,3,3,3,2,4,0,4,4
15061778,4,4,4,0,0,4,2,2,1,3,2,1,4,4,1,3,3,3,3,3,3,4,1,4,2
15061718,0,3,3,0,0,4,1,2,3,1,3,3,4,4,0,3,3,4,4,4,4,4,0,4,4
15061486,2,4,4,0,0,3,2,1,2,0,4,4,4,4,0,3,3,3,3,3,3,4,0,4,4
15060214,0,4,4,1,1,4,1,1,2,0,4,2,3,3,1,4,4,4,4,4,4,3,0,3,4
15061333,0,4,4,0,0,4,2,3,2,1,3,3,4,4,0,3,3,3,3,3,3,4,1,4,4
15061962,2,4,4,2,2,3,1,2,1,1,4,2,2,2,2,4,4,4,4,4,4,2,0,2,4
15061624,2,4,4,0,0,3,2,2,1,1,3,3,4,4,0,4,4,4,4,4,4,4,1,4,4
15061282,3,4,4,1,1,3,2,1,2,0,4,2,3,3,0,3,3,4,4,4,4,3,1,3,4
15061529,2,4,4,1,0,4,2,3,2,1,4,3,4,3,0,4,4,4,4,4,4,4,0,3,4
15061935,2,4,4,2,2,3,1,2,1,1,4,2,2,2,2,4,4,4,4,4,4,2,0,2,4
15061568,1,3,3,0,0,3,2,2,1,1,3,2,4,4,0,3,3,4,4,4,4,4,1,4,2
15061491,4,4,4,0,0,4,2,2,1,3,2,1,4,4,1,3,3,3,3,3,3,4,1,4,2
15061318,2,4,4,0,0,4,2,3,2,1,4,2,4,4,0,3,3,4,4,4,4,4,0,4,4
15061361,3,4,4,0,0,4,0,2,1,1,4,3,4,4,0,3,3,4,4,4,4,4,0,4,4
15061515,2,3,3,0,0,4,3,2,2,1,3,1,4,4,0,3,3,4,4,4,4,4,1,4,4
15062123,1,4,4,0,0,4,3,2,1,0,4,1,4,4,0,4,4,4,4,4,4,4,1,4,4
15061358,0,4,4,0,0,3,2,1,0,0,4,2,4,4,0,3,3,4,4,4,4,4,0,4,4
15061428,0,4,4,0,0,4,0,2,3,2,4,2,4,4,0,4,4,4,4,4,4,4,0,4,4
