Samples,SecBrote.LCH.L
15061942,94
15061763,96
15061801,94
15061494,94
15061613,96
15062137,94
15061319,95
15062142,94
15060320,94
15061768,96
15061522,94
15060081,95
15061656,95
15061759,96
15061928,96
15061454,94
15061605,96
15060087,95
15061619,96
15060090,95
15061731,95
15061655,94
15061661,96
15061499,96
15061647,94
15061612,95
15061742,94
15061710,96
15062372,96
15061583,96
15061767,94
15062130,96
15061637,96
15061337,96
15062104,94
15061579,94
15061932,94
15061603,96
15060025,95
15061704,94
15061334,96
15061631,94
15060964,96
15061778,96
15061718,96
15061486,96
15060214,95
15061333,96
15061962,94
15061624,94
15061282,96
15061529,96
15061935,94
15061568,94
15061491,95
15061318,94
15061361,96
15061515,96
15062123,94
15061358,96
15061428,94
15061496,96
15061648,96
15061808,94
15061600,96
15061730,96
15061623,96
15061405,94
15061299,96
15061578,94
15061476,94
15061765,94
15062111,96
15061397,96
15061713,94
15061584,94
15061912,95
15061260,94
15062099,94
15061350,94
15060933,96
15061548,96
15061348,96
15061560,96
15061544,94
15061449,96
15062348,94
15061916,96
15062138,94
15061946,96
15061676,96
15060536,95
15061391,33
15061662,94
15061228,95
15061356,96
15061963,94
15061338,96
15062331,95
15062098,94
15062114,96
15062046,95
15062370,94
15061685,96
15061540,48
15061721,96
15062074,94
15062362,94
15061689,96
15061357,94
15061376,96
15061308,95
