SAMPLES,c1_14614,c1_15225,c1_2071,c1_2086,c1_2090,c1_3746,c1_5126,c1_513,c1_5580,c1_7624,c2_22165,c2_22186,c2_33777,c2_45611,c2_46398,c2_49724,c2_52196,c2_52203,c2_53708,c2_54811,c2_55639,c2_5771,c2_5784,c2_5845,c2_5868
15061942,1,1,4,4,4,4,4,2,2,0,1,3,4,3,2,4,0,4,3,1,2,4,4,4,4
15061763,1,3,4,4,4,4,3,3,1,0,0,4,4,3,1,3,0,4,1,2,4,4,4,4,4
15061801,1,2,3,3,3,3,3,2,1,0,0,4,3,4,2,4,0,4,2,2,3,3,3,3,3
15061494,1,1,4,4,4,3,3,2,0,0,1,3,4,3,1,3,0,4,0,2,4,4,4,4,4
15061613,0,3,3,3,3,2,4,3,1,0,1,3,3,3,4,3,0,4,3,3,3,3,3,3,3
15062137,2,1,4,4,4,4,4,3,2,0,3,1,4,2,1,3,1,3,2,3,4,4,4,4,4
15061319,1,1,4,4,4,4,3,2,1,0,1,3,4,3,2,3,0,4,2,2,2,4,4,4,4
15062142,0,0,3,3,3,3,4,2,0,1,3,1,3,3,2,4,0,4,4,3,2,3,3,3,3
15060320,1,2,4,4,4,4,3,3,1,0,1,3,4,4,2,3,0,4,2,1,3,4,4,4,4
15061768,0,1,4,4,4,3,4,2,2,0,2,1,4,4,2,4,0,4,3,2,3,4,4,4,4
15061522,1,1,4,4,4,3,4,0,1,0,1,2,4,4,1,3,0,4,2,1,3,4,4,4,4
15060081,1,1,3,3,3,4,3,2,1,NA,1,3,4,3,2,3,0,4,2,2,2,3,3,3,3
15061656,2,0,4,4,4,4,3,2,0,1,0,4,4,4,3,3,0,4,2,2,3,4,4,4,4
15061759,0,0,4,4,4,4,4,1,2,0,1,3,4,3,2,4,0,4,2,1,3,4,4,4,4
15061928,1,0,4,4,4,2,4,2,0,0,1,3,4,4,0,3,0,4,2,1,3,4,4,4,4
15061454,1,2,4,4,4,3,4,1,1,0,0,4,4,3,1,4,1,3,0,1,4,4,4,4,4
15061605,3,3,3,3,3,3,4,3,0,0,1,3,3,4,1,4,0,4,2,3,4,3,3,3,3
15060087,0,2,4,4,4,4,4,2,1,0,1,3,4,4,2,4,1,3,2,3,3,4,4,4,4
15061619,2,1,4,4,4,4,4,3,2,0,3,1,4,2,1,3,1,3,2,3,4,4,4,4,4
