Samples,PriFlor.LCH.C
15060021,43
15060027,39
15060039,55
15060042,57
15060050,49
15060056,8
15060063,55
15060070,55
15060072,57
15060082,39
15060085,58
15060097,45
15060101,8
15060102,8
15060110,55
15060112,58
15060114,40
15060120,46
15060121,45
15060122,36
15060138,39
15060160,39
15060187,57
15060188,57
15060190,39
15060191,55
15060215,57
15060313,55
15060345,41
15060383,43
15060420,46
15060543,46
15060570,39
15060797,39
15060846,48
15060907,58
15060909,43
15060910,55
15061007,58
15061011,58
15061122,60
15061204,43
15061213,55
15061215,58
15061216,8
15061225,55
15061226,42
15061237,39
15061256,55
15061257,42
15061258,43
15061259,40
15061261,45
15061262,10
15061263,6
15061264,6
15061265,45
15061270,49
15061271,58
15061273,58
15061274,58
15061277,49
15061279,49
15061281,60
15061283,33
15061286,39
15061288,40
15061289,57
15061290,49
15061291,57
15061293,43
15061295,49
15061296,49
15061297,58
15061298,43
15061300,58
15061301,58
15061302,33
15061303,46
15061305,39
15061307,43
15061312,43
15061313,58
15061314,46
15061317,6
15061320,58
15061323,58
15061324,43
15061327,40
15061329,39
15061330,58
15061331,43
15061335,39
15061336,58
15061340,49
15061342,39
15061344,49
15061345,55
15061346,43
15061347,39
15061349,43
15061352,55
15061353,55
15061355,55
15061360,55
15061364,58
15061365,43
15061367,49
15061368,45
15061369,45
15061370,55
15061377,45
15061378,57
15061380,58
15061382,58
15061383,57
15061384,58
15061385,49
15061386,40
15061388,43
15061389,57
15061390,57
15061392,45
15061394,6
15061396,58
15061404,55
15061406,58
15061410,55
15061411,39
15061414,43
15061415,58
15061417,46
15061418,46
15061419,58
15061420,39
15061421,35
15061422,55
15061423,49
15061424,46
15061425,49
15061430,60
15061434,49
15061435,58
15061436,46
15061437,39
15061438,46
15061439,39
15061441,39
15061442,33
15061443,43
15061444,55
15061445,39
15061447,46
15061453,58
15061458,41
15061459,57
15061461,45
15061462,40
15061463,43
15061469,57
15061470,43
15061471,48
15061475,31
15061477,58
15061478,43
15061479,58
15061480,55
15061481,58
15061482,60
15061484,39
15061485,40
15061487,39
15061488,58
15061489,55
15061490,58
15061492,43
15061493,58
15061495,40
15061498,34
15061500,55
15061501,58
15061503,45
15061504,49
15061505,55
15061507,55
15061508,55
15061509,6
15061511,6
15061514,36
15061516,60
15061517,58
15061518,58
15061520,58
15061521,43
15061523,58
15061524,43
15061525,33
15061526,42
15061528,58
15061530,39
15061533,52
15061534,49
15061535,57
15061536,55
15061537,6
15061538,39
15061539,58
15061542,46
15061543,57
15061546,57
15061549,55
15061550,41
15061551,57
15061553,26
15061555,35
15061556,58
15061557,48
15061561,58
15061564,43
15061565,49
15061566,57
15061567,40
15061571,43
15061575,42
15061576,41
15061577,58
15061580,40
15061585,36
15061586,36
15061588,39
15061601,34
15061602,36
15061604,42
15061608,48
15061609,58
15061610,39
15061614,49
15061621,57
15061622,45
15061626,39
15061627,36
15061628,6
15061629,43
15061630,58
15061632,58
15061633,57
15061638,39
15061639,43
15061640,40
15061641,49
15061642,49
15061645,49
15061646,6
15061649,39
15061650,45
15061651,58
15061653,55
15061654,58
15061658,48
15061659,58
15061665,58
15061666,55
15061667,45
15061668,57
15061669,55
15061670,55
15061671,55
15061673,49
15061677,55
15061678,55
15061679,55
15061680,55
15061682,40
15061683,58
15061684,41
15061686,55
15061687,58
15061688,58
15061690,55
15061702,45
15061706,6
15061707,40
15061709,55
15061712,58
15061714,42
15061717,45
15061719,6
15061720,42
15061722,40
15061723,58
15061724,58
15061725,58
15061726,58
15061729,45
15061733,46
15061734,55
15061735,49
15061736,46
15061737,58
15061738,58
15061740,40
15061744,40
15061747,6
15061751,45
15061752,57
15061753,49
15061754,45
15061755,31
15061756,45
15061757,57
15061758,34
15061760,43
15061761,6
15061762,52
15061764,33
15061766,58
15061769,40
15061771,58
15061772,40
15061773,41
15061776,45
15061777,58
15061784,55
15061785,36
15061788,40
15061789,40
15061790,46
15061795,58
15061797,49
15061798,45
15061799,57
15061800,42
15061811,58
15061813,58
15061814,58
15061815,45
15061826,43
15061905,42
15061906,45
15061907,8
15061908,53
15061909,55
15061910,39
15061911,49
15061915,49
15061917,58
15061918,57
15061926,55
15061927,31
15061929,39
15061930,57
15061933,42
15061934,58
15061937,39
15061939,58
15061941,49
15061944,57
15061945,58
15061948,43
15061949,42
15061951,43
15061952,39
15061953,58
15061954,49
15061957,41
15061958,36
15061960,45
15061961,39
15061964,6
15061965,6
15061966,58
15061967,43
15061968,40
15061969,31
15062036,55
15062038,58
15062039,43
15062050,55
15062051,55
15062052,55
15062053,57
15062063,39
15062067,57
15062069,33
15062071,10
15062080,58
15062081,39
15062092,40
15062094,58
15062097,58
15062100,48
15062101,40
15062102,6
15062103,55
15062105,39
15062106,55
15062107,39
15062108,43
15062109,58
15062112,58
15062115,49
15062117,58
15062118,48
15062119,58
15062122,33
15062124,6
15062126,40
15062133,58
15062136,55
15062139,39
15062143,58
15062144,49
15062145,58
15062146,40
15062147,34
15062149,58
15062150,58
15062151,58
15062152,55
15062153,58
15062332,53
15062333,55
15062334,58
15062335,57
15062337,55
15062338,55
15062339,55
15062344,55
15062346,42
15062347,45
15062349,39
15062350,49
15062351,42
15062353,57
15062354,49
15062356,48
15062357,58
15062358,58
15062359,36
15062360,35
15062361,58
15062363,55
15062366,43
15062367,58
15062368,57
15062369,58
15062371,58
