Samples,Tallo.LCH.H
15060021,359
15060027,359
15060039,117
15060042,359
15060050,117
15060056,117
15060063,359
15060070,359
15060072,117
15060082,117
15060085,117
15060097,117
15060101,117
15060102,117
15060110,359
15060112,117
15060114,117
15060120,359
15060121,117
15060122,117
15060138,359
15060160,117
15060187,359
15060188,117
15060190,117
15060191,117
15060215,117
15060313,117
15060345,117
15060383,117
15060420,117
15060543,117
15060570,117
15060797,117
15060846,117
15060907,359
15060909,117
15060910,359
15061007,117
15061011,117
15061122,117
15061204,117
15061213,117
15061215,117
15061216,117
15061225,117
15061226,117
15061237,117
15061256,117
15061257,359
15061258,359
15061259,359
15061261,117
15061262,117
15061263,117
15061264,117
15061265,117
15061270,117
15061271,117
15061273,117
15061274,117
15061277,117
15061279,117
15061281,117
15061283,117
15061286,117
15061288,117
15061289,117
15061290,117
15061291,117
15061293,359
15061295,28
15061296,359
15061297,117
15061298,117
15061300,117
15061301,117
15061302,117
15061303,117
15061305,117
15061307,359
15061312,117
15061313,117
15061314,117
15061317,117
15061320,117
15061323,117
15061324,117
15061327,117
15061329,359
15061330,117
15061331,117
15061335,117
15061336,117
15061340,359
15061342,117
15061344,117
15061345,117
15061346,117
15061347,117
15061349,117
15061352,117
15061353,117
15061355,359
15061360,117
15061364,117
15061365,117
15061367,117
15061368,117
15061369,117
15061370,117
15061377,117
15061378,117
15061380,359
15061382,117
15061383,359
15061384,359
15061385,359
15061386,117
15061388,117
15061389,359
15061390,359
15061392,117
15061394,117
15061396,359
15061404,117
15061406,117
15061410,117
15061411,117
15061414,359
15061415,117
15061417,359
15061418,359
15061419,359
15061420,117
15061421,117
15061422,117
15061423,117
15061424,359
15061425,117
15061430,117
15061434,359
15061435,359
15061436,117
15061437,117
15061438,117
15061439,117
15061441,359
15061442,117
15061443,117
15061444,117
15061445,117
15061447,117
15061453,359
15061458,117
15061459,117
15061461,117
15061462,117
15061463,117
15061469,117
15061470,117
15061471,132
15061475,117
15061477,117
15061478,359
15061479,117
15061480,359
15061481,117
15061482,117
15061484,134
15061485,117
15061487,132
15061488,359
15061489,359
15061490,359
15061492,117
15061493,117
15061495,359
15061498,117
15061500,117
15061501,359
15061503,117
15061504,134
15061505,132
15061507,117
15061508,359
15061509,117
15061511,117
15061514,117
15061516,359
15061517,138
15061518,117
15061520,117
15061521,359
15061523,359
15061524,359
15061525,117
15061526,359
15061528,138
15061530,117
15061533,117
15061534,117
15061535,359
15061536,359
15061537,117
15061538,359
15061539,117
15061542,117
15061543,117
15061546,359
15061549,132
15061550,359
15061551,117
15061553,117
15061555,138
15061556,117
15061557,117
15061561,117
15061564,117
15061565,138
15061566,359
15061567,117
15061571,117
15061575,132
15061576,132
15061577,117
15061580,138
15061585,132
15061586,117
15061588,138
15061601,359
15061602,117
15061604,117
15061608,117
15061609,117
15061610,138
15061614,117
15061621,117
15061622,117
15061626,359
15061627,117
15061628,117
15061629,359
15061630,359
15061632,117
15061633,359
15061638,117
15061639,132
15061640,359
15061641,117
15061642,117
15061645,117
15061646,117
15061649,117
15061650,117
15061651,128
15061653,117
15061654,117
15061658,132
15061659,132
15061665,117
15061666,359
15061667,359
15061668,117
15061669,117
15061670,117
15061671,117
15061673,359
15061677,117
15061678,132
15061679,359
15061680,132
15061682,132
15061683,359
15061684,117
15061686,132
15061687,117
15061688,117
15061690,117
15061702,117
15061706,117
15061707,359
15061709,117
15061712,117
15061714,359
15061717,359
15061719,117
15061720,138
15061722,117
15061723,359
15061724,359
15061725,359
15061726,359
15061729,359
15061733,117
15061734,359
15061735,117
15061736,359
15061737,359
15061738,359
15061740,359
15061744,117
15061747,117
15061751,124
15061752,134
15061753,117
15061754,117
15061755,117
15061756,132
15061757,359
15061758,117
15061760,359
15061761,117
15061762,359
15061764,117
15061766,117
15061769,117
15061771,359
15061772,117
15061773,359
15061776,117
15061777,359
15061784,359
15061785,117
15061788,117
15061789,117
15061790,117
15061795,359
15061797,359
15061798,117
15061799,359
15061800,117
15061811,117
15061813,117
15061814,359
15061815,117
15061826,117
15061905,128
15061906,359
15061907,118
15061908,359
15061909,117
15061910,117
15061911,117
15061915,117
15061917,117
15061918,117
15061926,117
15061927,359
15061929,117
15061930,359
15061933,117
15061934,359
15061937,117
15061939,117
15061941,117
15061944,117
15061945,117
15061948,117
15061949,117
15061951,117
15061952,359
15061953,117
15061954,117
15061957,117
15061958,117
15061960,117
15061961,138
15061964,117
15061965,117
15061966,359
15061967,359
15061968,117
15061969,117
15062036,117
15062038,117
15062039,117
15062050,117
15062051,117
15062052,117
15062053,117
15062063,117
15062067,117
15062069,359
15062071,117
15062080,117
15062081,118
15062092,117
15062094,117
15062097,117
15062100,117
15062101,359
15062102,117
15062103,117
15062105,359
15062106,359
15062107,117
15062108,359
15062109,117
15062112,359
15062115,359
15062117,117
15062118,117
15062119,359
15062122,117
15062124,134
15062126,359
15062133,359
15062136,117
15062139,117
15062143,359
15062144,359
15062145,359
15062146,359
15062147,117
15062149,359
15062150,359
15062151,117
15062152,359
15062153,117
15062332,117
15062333,359
15062334,117
15062335,117
15062337,117
15062338,117
15062339,117
15062344,117
15062346,117
15062347,117
15062349,117
15062350,117
15062351,359
15062353,117
15062354,117
15062356,138
15062357,359
15062358,359
15062359,117
15062360,117
15062361,117
15062363,117
15062366,117
15062367,359
15062368,117
15062369,359
15062371,117
