SAMPLES,c1_10180,c1_11459,c1_13482,c1_3098,c1_3499,c1_4799,c1_5837,c1_7874,c1_8186,c2_10681,c2_14731,c2_22024,c2_28224,c2_32257,c2_34870,c2_47202,c2_48370,c2_4910,c2_50041,c2_50391,c2_53914,c2_55779,c2_55781,c2_57401,c2_5966
15060021,2,3,2,3,2,0,1,1,2,3,4,1,1,4,2,3,2,1,3,3,3,2,2,3,2
15060027,2,4,0,3,2,1,0,0,1,2,3,3,0,4,1,4,4,3,4,2,2,1,3,0,2
15060039,4,3,1,3,0,3,0,0,2,4,2,0,1,3,0,4,3,2,3,2,3,2,2,0,2
15060042,3,2,1,4,1,1,0,1,2,3,3,1,0,4,2,3,4,2,2,3,2,2,2,1,2
15060050,4,3,1,3,0,2,0,1,3,4,3,2,0,3,2,3,4,3,4,3,2,0,4,0,1
15060056,4,2,2,4,2,1,1,0,0,4,3,1,0,4,1,4,2,3,4,3,3,0,4,0,2
15060063,4,3,2,3,0,3,0,2,1,4,2,2,1,3,2,3,4,1,3,3,2,2,2,1,2
15060070,4,2,1,4,0,0,0,0,1,4,4,0,1,4,2,4,3,0,4,3,1,0,4,0,4
15060072,2,3,3,4,1,3,0,2,1,3,2,3,1,3,2,2,0,4,4,3,4,1,3,0,2
15060082,4,4,2,4,0,1,0,0,2,4,3,0,0,4,3,4,3,2,2,3,2,2,2,0,2
15060085,4,4,1,4,1,2,0,2,3,3,4,3,0,4,2,3,0,0,4,3,1,1,3,1,1
15060097,4,3,0,3,0,2,1,0,0,2,3,2,2,3,0,4,2,3,3,2,4,0,4,0,1
15060101,4,4,3,4,2,0,1,0,2,2,4,1,1,3,2,4,1,1,4,3,3,0,4,0,3
15060102,1,4,2,4,2,1,1,2,2,4,4,1,1,4,1,2,2,1,4,2,2,1,3,1,2
15060110,4,2,1,4,0,0,0,0,1,4,4,0,1,4,2,4,3,0,4,3,1,0,4,0,4
15060112,3,4,2,3,1,1,1,1,1,3,3,2,1,4,1,3,2,1,4,3,2,1,3,0,2
15060114,3,3,3,NA,2,0,0,0,3,3,4,3,0,4,0,4,4,1,3,3,3,0,4,0,2
15060120,4,3,1,4,0,0,0,0,3,4,4,0,0,4,1,4,4,1,3,2,1,2,2,1,2
15060121,3,4,3,3,1,1,1,1,1,3,3,2,0,4,1,3,3,0,4,4,2,2,2,0,2
15060122,4,3,1,3,0,2,0,1,3,4,3,2,0,3,2,3,4,3,4,3,2,0,4,0,1
15060138,4,4,2,3,0,3,0,0,1,4,3,0,1,4,2,4,3,3,4,3,2,1,3,0,3
15060160,4,3,1,3,0,2,0,1,3,4,3,2,0,3,2,3,4,3,4,3,2,0,4,0,1
15060187,2,4,0,3,1,3,1,1,3,4,3,1,0,3,0,3,2,1,4,4,3,1,3,0,4
15060188,4,2,1,4,0,1,NA,0,1,4,4,0,1,4,2,4,3,0,4,3,1,0,4,0,4
15060190,4,4,2,4,1,1,0,1,2,3,3,2,1,4,3,3,3,1,3,3,3,0,4,0,2
15060191,4,4,4,4,1,0,0,1,2,3,4,1,NA,4,1,3,3,0,4,3,2,1,3,0,2
15060215,3,3,3,NA,2,0,0,0,3,3,4,3,0,4,0,4,4,1,3,3,3,0,4,0,2
15060313,3,3,1,3,2,0,1,1,2,3,4,2,0,2,3,3,2,1,3,2,3,0,4,0,3
15060345,3,4,2,3,1,2,1,1,1,3,4,1,1,4,1,3,3,2,3,4,3,2,2,0,2
15060383,3,3,1,3,2,0,1,1,2,3,4,2,0,2,3,3,2,1,3,2,3,0,4,0,3
15060420,3,4,2,3,1,2,1,1,1,3,4,1,1,4,1,3,3,2,3,4,3,2,2,0,2
15060543,2,4,4,4,1,4,2,0,4,3,0,3,2,3,4,4,0,4,2,0,4,2,2,4,0
15060570,4,4,1,4,2,3,0,1,2,4,1,1,0,1,0,2,4,3,4,2,3,2,2,1,3
15060797,2,4,2,4,0,3,1,1,1,2,3,1,0,3,0,4,1,1,4,3,1,2,2,1,2
15060846,4,3,1,3,0,2,0,1,3,4,3,2,0,3,2,3,4,3,4,3,2,0,4,0,1
15060907,4,3,3,4,2,3,1,0,1,4,2,2,1,2,0,4,3,2,3,2,3,NA,NA,2,2
15060909,4,3,2,3,0,2,2,0,0,3,3,1,1,3,1,4,2,1,3,2,3,0,4,0,2
15060910,1,3,3,2,2,2,1,1,2,3,4,1,1,3,2,3,4,4,3,4,3,0,4,0,3
15061007,4,3,2,4,0,1,1,0,3,4,4,2,0,4,3,4,0,0,4,3,2,0,4,0,1
15061011,4,4,3,4,1,1,1,1,1,3,4,1,2,4,2,3,3,2,4,4,2,1,3,0,2
15061122,4,3,1,3,0,2,0,1,3,4,3,2,0,3,2,3,4,3,4,3,2,0,4,0,1
15061204,3,4,2,4,2,3,1,1,0,3,2,1,0,3,1,3,2,4,4,4,3,0,4,2,3
15061213,4,3,1,3,0,3,0,0,2,4,2,0,1,3,0,4,3,2,3,2,3,2,2,0,2
15061215,4,3,1,3,0,3,0,0,2,4,2,0,1,3,0,4,3,2,3,2,3,2,2,0,2
15061216,4,3,2,4,3,2,1,1,0,3,2,2,0,4,1,3,2,3,4,4,3,1,3,2,2
15061225,3,3,3,NA,2,0,0,0,3,3,4,3,0,4,0,4,4,1,3,3,3,0,4,0,2
15061226,4,4,3,4,1,3,0,0,1,4,2,2,0,1,0,4,3,1,2,1,3,1,3,1,1
15061237,2,4,4,4,1,4,2,0,4,3,0,3,2,3,4,4,0,4,2,0,4,2,2,4,0
15061256,4,3,2,4,1,2,1,0,2,4,3,2,2,4,2,4,2,1,4,3,2,1,3,1,1
15061257,3,4,3,4,1,2,0,0,4,3,1,3,2,3,3,4,1,3,2,2,3,NA,NA,2,0
15061258,4,3,2,4,0,1,1,1,2,4,3,2,0,3,1,3,3,2,3,3,3,1,3,1,1
15061259,4,2,1,4,0,0,0,0,1,4,4,0,1,4,2,4,3,0,4,3,1,0,4,0,4
15061261,4,4,3,4,1,1,1,1,1,3,4,1,2,4,2,3,3,2,4,4,2,1,3,0,2
15061262,4,4,3,4,2,0,1,0,2,2,4,1,1,3,2,4,1,1,4,3,3,0,4,0,3
15061263,4,4,3,4,2,0,1,0,3,2,4,1,0,3,2,4,1,2,4,3,3,0,4,0,2
15061264,4,NA,3,3,2,0,1,0,2,2,4,1,1,3,2,4,2,1,NA,3,3,0,4,0,2
15061265,3,4,2,4,1,0,1,0,2,3,4,1,0,4,2,4,4,2,4,4,2,1,3,0,1
15061270,3,4,2,3,1,1,1,1,1,3,4,1,1,4,2,3,3,2,3,4,2,2,2,0,2
15061271,4,3,2,4,1,2,0,2,1,4,3,0,0,4,3,2,4,1,3,4,3,NA,NA,0,1
15061273,3,4,2,4,1,0,1,0,2,3,4,1,0,4,2,4,4,2,4,4,2,1,3,0,1
15061274,4,3,1,4,0,0,0,2,1,4,4,2,1,4,2,2,3,2,2,4,2,2,2,0,3
15061277,4,3,3,3,0,3,2,1,3,4,3,1,0,4,2,3,4,3,4,3,2,1,3,0,1
15061279,4,4,2,3,1,1,0,1,1,3,3,1,2,4,1,3,3,2,2,3,2,1,3,0,1
15061281,4,3,1,3,0,3,0,0,2,4,2,0,1,3,0,4,3,2,3,2,3,2,2,0,2
15061283,3,4,2,3,1,1,1,1,1,3,3,2,1,4,1,3,2,1,4,3,2,1,3,0,2
15061286,4,3,2,4,1,2,0,2,1,4,3,0,0,4,3,2,4,1,3,4,3,NA,NA,0,1
15061288,4,3,1,3,0,3,0,0,2,4,2,0,1,3,0,4,3,2,3,2,3,2,2,0,2
15061289,4,3,1,3,0,3,0,0,2,4,2,0,1,3,0,4,3,2,3,2,3,2,2,0,2
15061290,4,4,1,4,0,3,1,0,3,4,1,1,0,3,2,4,3,2,4,4,3,1,3,0,3
15061291,4,4,2,4,0,1,0,1,1,4,3,2,0,4,3,3,3,2,2,3,3,1,3,0,2
15061293,3,3,3,4,1,0,1,1,0,3,4,1,0,4,1,3,2,2,3,2,2,1,3,0,2
15061295,4,2,2,4,0,1,0,0,1,4,4,2,0,4,1,4,2,2,3,2,2,1,3,1,3
15061296,4,4,3,4,0,2,1,1,1,4,3,2,1,4,2,2,3,2,3,3,2,0,4,0,2
15061297,4,3,2,4,1,2,1,0,2,4,3,2,2,4,2,4,2,1,4,3,2,1,3,1,1
15061298,1,4,0,4,2,0,1,1,0,3,4,2,0,4,1,3,3,0,4,4,2,0,4,0,3
15061300,2,4,4,4,2,2,1,0,2,2,2,3,1,4,1,3,3,1,3,3,3,1,3,0,2
15061301,1,4,0,4,2,0,1,1,0,3,4,2,0,4,1,3,3,0,4,4,2,0,4,0,3
15061302,3,4,1,4,1,1,1,1,2,3,4,2,0,4,2,3,3,2,2,3,2,2,2,0,2
15061303,4,3,2,3,0,2,2,0,0,3,3,1,1,3,1,4,2,1,3,2,3,0,4,0,2
15061305,3,4,1,4,1,1,0,0,0,3,3,0,0,4,1,3,3,1,3,2,2,2,2,0,1
15061307,2,4,2,4,2,1,0,0,3,2,3,0,0,4,2,4,3,2,3,3,2,2,2,0,3
15061312,4,4,2,4,0,1,0,1,1,4,3,2,0,4,3,3,3,2,2,3,3,1,3,0,2
15061313,4,4,4,4,1,0,0,1,2,3,4,1,NA,4,1,3,3,0,4,3,2,1,3,0,2
15061314,3,4,2,3,1,2,1,1,1,3,3,1,2,4,2,3,3,3,3,4,3,2,2,0,3
15061317,4,4,3,4,2,0,1,0,2,2,4,1,1,3,2,4,1,1,4,3,3,0,4,0,3
15061320,3,4,2,4,2,3,0,0,3,4,2,2,0,3,1,4,2,2,3,2,3,1,3,0,2
