"","BASE","GSCORE","TRAIT","LGSCORE","TOOL","MODEL","GC","SNP","CHR","POS","P","SCORE","THRESHOLD","SIGNIFICANCE","ScoresRepl","ScoresSign","ScoreGC"
"1","CPBrote",0.719,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_52700",8,52035522,3.13399792806397e-06,5.503901,4.294025,TRUE,77,1,0.605
"2","CPBrote",0.715,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c1_16472",3,60416622,1.02751925307062e-18,17.98821,4.294025,TRUE,74,1,0.605
"3","CPBrote",0.715,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_56824",3,60649747,1.1667521899427e-18,17.933021,4.294025,TRUE,74,1,0.605
"4","CPBrote",0.715,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_37137",3,60186592,1.33705385938184e-18,17.873851,4.294025,TRUE,74,1,0.605
"5","CPBrote",0.715,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c1_14870",12,9887997,4.31410902043459e-11,10.365109,4.294025,TRUE,74,1,0.605
"6","CPBrote",0.715,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_7631",2,39367070,7.19408723745086e-10,9.143024,4.294025,TRUE,74,1,0.605
"7","CPBrote",0.715,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_46779",9,61489452,1.33221041978722e-07,6.875427,4.294025,TRUE,74,1,0.605
"8","CPBrote",0.715,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_16722",4,47165252,3.08068336215782e-07,6.511353,4.294025,TRUE,74,1,0.605
"9","CPBrote",0.715,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_18683",7,56191268,3.88679749072561e-07,6.410408,4.294025,TRUE,74,1,0.605
"10","CPBrote",0.715,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_18573",7,55912298,4.36056387781454e-07,6.360457,4.294025,TRUE,74,1,0.605
"11","CPBrote",0.715,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_55072",3,44717378,5.52740410219069e-07,6.257479,4.294025,TRUE,74,1,0.605
"12","CPBrote",0.715,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_13350",11,723155,1.49978214181548e-06,5.823972,4.294025,TRUE,74,1,0.605
"13","CPBrote",0.715,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_46777",9,61497597,6.65384779616217e-06,5.176927,4.294025,TRUE,74,1,0.605
"14","CPBrote",0.715,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_50486",1,79377422,1.03417313965412e-05,4.985407,4.294025,TRUE,74,1,0.605
"15","CPBrote",0.715,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c1_7325",2,40459841,1.75020566109343e-05,4.756911,4.294025,TRUE,74,1,0.605
"16","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c1_11920",8,49546685,3.29740563090297e-19,18.481828,4.294025,TRUE,71,1,0.605
"17","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c1_2978",6,52358132,4.72730728386891e-19,18.325386,4.294025,TRUE,71,1,0.605
"18","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_18549",7,55778768,5.51966003559052e-19,18.258088,4.294025,TRUE,71,1,0.605
"19","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_25179",2,38138691,5.66167983046008e-19,18.247055,4.294025,TRUE,71,1,0.605
"20","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_44000",4,55649940,5.89146333559618e-19,18.229777,4.294025,TRUE,71,1,0.605
"21","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c1_8118",2,37800178,5.91657162768673e-19,18.22793,4.294025,TRUE,71,1,0.605
"22","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_43998",4,55649535,5.96483482355673e-19,18.224402,4.294025,TRUE,71,1,0.605
"23","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_8867",6,52077805,6.38857693293846e-19,18.194596,4.294025,TRUE,71,1,0.605
"24","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_18684",7,56191329,8.15585910984007e-19,18.08853,4.294025,TRUE,71,1,0.605
"25","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_51051",8,48748977,1.17354070101185e-18,17.930502,4.294025,TRUE,71,1,0.605
"26","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c1_13135",6,51655456,1.22877916625428e-18,17.910526,4.294025,TRUE,71,1,0.605
"27","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_1542",12,53188451,1.3434400791596e-18,17.871782,4.294025,TRUE,71,1,0.605
"28","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c1_7766",12,59410273,1.41889190983597e-18,17.848051,4.294025,TRUE,71,1,0.605
"29","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_41412",6,51315476,1.93051212046209e-18,17.714327,4.294025,TRUE,71,1,0.605
"30","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_24556",12,59404785,2.06531789723437e-18,17.685013,4.294025,TRUE,71,1,0.605
"31","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_23828",5,782722,2.56972292030046e-18,17.590114,4.294025,TRUE,71,1,0.605
"32","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c1_8944",9,61804778,2.57754566290296e-18,17.588794,4.294025,TRUE,71,1,0.605
"33","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c1_2953",6,52155919,3.05841569184499e-18,17.514503,4.294025,TRUE,71,1,0.605
"34","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c1_14763",8,48388972,3.17793891075507e-18,17.497854,4.294025,TRUE,71,1,0.605
"35","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_18664",7,56126630,3.38951767583006e-18,17.469862,4.294025,TRUE,71,1,0.605
"36","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_52467",3,4623545,3.51433123110015e-18,17.454157,4.294025,TRUE,71,1,0.605
"37","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_8790",6,52361022,4.21246108540111e-18,17.375464,4.294025,TRUE,71,1,0.605
"38","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c1_2112",6,51243747,5.96419641935857e-18,17.224448,4.294025,TRUE,71,1,0.605
"39","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_41405",6,51332581,7.30951778909677e-18,17.136111,4.294025,TRUE,71,1,0.605
"40","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_56145",6,51554184,7.30951778909111e-18,17.136111,4.294025,TRUE,71,1,0.605
"41","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_12622",7,54144311,1.6743015274147e-10,9.776166,4.294025,TRUE,71,1,0.605
"42","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_26041",7,51331391,1.74508169036473e-10,9.758184,4.294025,TRUE,71,1,0.605
"43","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_50259",6,56822435,1.84891648395284e-10,9.733083,4.294025,TRUE,71,1,0.605
"44","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c1_3012",6,52082247,2.8823524393989e-10,9.540253,4.294025,TRUE,71,1,0.605
"45","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c2_8832",6,52066463,3.77400938047165e-10,9.423197,4.294025,TRUE,71,1,0.605
"46","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c1_3011",6,52081507,5.42403676307601e-10,9.265677,4.294025,TRUE,71,1,0.605
"47","CPBrote",0.711,"CPBrote.H",0.723,"TASSEL","additive",0.605,"c1_5546",8,57433389,4.69017045600593e-07,6.328811,4.294025,TRUE,71,1,0.605
