Models,Predictive_ability
BA,0.313
BA,0.297
BA,0.339
BA,0.346
BB,0.332
BB,0.308
BB,0.395
BB,0.337
BC,0.392
BC,0.339
BC,0.329
BC,0.349
BL,0.347
BL,0.336
BL,0.285
BL,0.398
BRR,0.368
BRR,0.353
BRR,0.347
BRR,0.312
GBLUP,0.34
GBLUP,0.419
GBLUP,0.383
GBLUP,0.343
EGBLUP,0.33
EGBLUP,0.367
EGBLUP,0.349
EGBLUP,0.261
RKHS,0.346
RKHS,0.372
RKHS,0.306
RKHS,0.363
Lasso,0.304
Lasso,0.306
Lasso,0.255
Lasso,0.32
RR,0.419
RR,0.273
RR,0.35
RR,0.305
SVM,0.208
SVM,0.22
SVM,0.273
SVM,0.32
RF,0.313
RF,0.28
RF,0.301
RF,0.361
