SAMPLES,GEBVs(BA),ACTUAL
15062362,58.897,54
15061954,61.331,53
15062339,58.159,69
15061482,57.864,54
15062104,58.786,58
15061707,59.124,54
15061567,61.288,66
15061964,59.225,54
15061488,59.344,54
15061438,59.341,54
15061814,57.713,54
15061721,60.339,69
15061601,58.929,44
15061719,59.246,72
15061629,59.742,76
15061477,60.379,72
15061761,59.197,54
15061336,60.27,54
15061386,62.064,66
15061305,60.117,66
15061676,58.86,58
15061523,59.163,72
15061763,60.147,53
15061385,59.128,54
15062133,58.82,54
15061333,60.001,54
15061627,59.843,76
15061731,59.353,66
15061641,57.771,54
15061330,57.777,62
15061626,59.747,54
15062147,58.774,69
15061487,59.571,53
15060536,58.043,54
15061261,60.482,69
15061389,59.36,66
15060101,59.232,53
15061397,59.143,53
15061551,57.919,66
15061539,59.136,54
15062115,60.901,66
15061361,58.907,54
15061669,60.897,58
15062359,59.819,54
15061690,59.322,54
15061308,59.33,54
15062372,59.368,54
15061342,58.908,69
15061281,59.52,50
15061932,59.165,58
15061370,61.324,54
15061630,58.638,62
15061789,57.837,44
15061666,59.806,66
15062143,60.965,54
15061297,59.165,54
15061907,58.292,44
15061538,59.104,54
15062371,58.592,66
15061685,60.916,71
15062081,60.262,71
15061969,58.312,44
15061498,59.271,54
15061271,59.675,62
15062344,58.751,72
15061279,59.027,54
15062144,59.138,58
15061722,59.512,69
15061768,60.336,66
15061557,60.459,50
15061434,58.768,44
15060072,58.212,71
15061405,57.469,50
15062052,61.3,69
15062098,61.347,66
15061916,58.93,58
15061377,60.478,54
15061633,57.938,54
15061702,59.968,50
15061614,57.496,54
15061368,62.074,69
15061520,59.729,50
15060082,59.868,44
15061656,59.58,58
15061331,59.499,54
15061327,60.506,54
15062074,60.739,54
15061300,60.942,58
15061776,57.876,54
15061462,60.276,72
15061302,59.884,66
15061957,58.919,50
15061514,60.455,66
15060909,59.135,54
15062063,58.912,66
15060090,58.61,66
15061301,59.971,54
15061423,58.616,54
15061453,60.858,50
15060215,57.471,54
15062119,58.747,66
15061537,59.209,71
15061667,60.968,62
15062123,61.9,54
15061710,58.649,69
15061258,58.502,54
15061443,57.912,71
15060050,58.63,50
15060110,59.126,54
15062053,59.467,53
15061764,60.461,66
15061799,60.164,50
