SAMPLES,c1_11356,c1_11920,c1_15204,c1_16540,c1_4803,c1_8118,c2_12760,c2_12788,c2_13766,c2_30741,c2_31439,c2_3146,c2_34179,c2_36370,c2_7919
15060021,2,1,1,1,2,1,1,1,1,4,1,3,3,3,0
15060027,2,1,1,1,3,1,1,1,2,4,0,2,3,3,1
15060039,3,1,1,2,2,1,1,1,1,2,0,3,2,4,0
15060042,3,1,0,2,3,1,1,1,2,3,1,4,2,3,1
15060050,2,1,0,2,1,1,0,0,3,1,2,3,3,2,1
15060056,4,3,1,2,4,0,0,0,3,4,2,2,1,2,0
15060063,3,0,3,2,4,0,1,1,2,2,0,3,2,3,1
15060070,2,1,0,2,2,0,0,0,1,3,0,2,2,3,1
15060072,2,3,1,1,2,2,0,1,4,2,2,4,1,2,0
15060082,2,2,1,2,3,1,0,0,0,3,1,0,4,4,2
15060085,0,0,2,0,3,0,1,1,3,3,1,2,1,4,2
15060097,1,2,0,1,2,1,0,1,2,3,1,3,2,2,0
15060101,2,2,0,2,4,2,0,0,0,3,0,0,3,2,1
15060102,3,1,0,1,2,0,0,0,2,2,0,4,2,3,1
15060110,2,1,0,2,2,0,0,0,1,3,0,2,2,3,1
15060112,3,1,0,2,3,1,1,1,1,4,0,3,2,4,1
15060114,2,0,0,2,3,1,1,1,1,2,1,2,1,4,0
15060120,2,1,0,4,2,2,0,0,0,3,1,2,3,3,1
15060121,2,2,1,1,2,0,0,0,3,2,0,2,1,3,0
15060122,2,1,0,2,1,1,0,0,3,1,2,3,3,2,1
15060138,2,1,0,3,2,1,1,1,1,4,0,1,1,3,0
15060160,2,1,0,2,2,1,0,0,3,1,2,3,3,2,2
15060187,0,1,0,2,2,0,0,0,4,4,1,1,3,4,0
15060188,2,1,0,2,2,1,NA,0,1,2,0,2,3,3,1
15060190,3,2,0,2,2,0,0,0,1,3,0,2,1,3,1
15060191,3,0,1,1,2,0,0,0,0,2,0,1,2,3,0
15060215,2,0,0,2,3,1,1,1,1,2,1,2,1,4,0
15060313,3,2,0,1,3,2,2,2,2,4,2,3,4,4,1
15060345,3,0,1,2,2,0,0,0,0,3,0,2,0,3,0
15060383,3,2,0,1,3,2,2,2,2,4,2,3,4,4,1
15060420,3,0,1,2,2,0,0,0,0,3,0,3,0,3,0
