SAMPLES,c1_11356,c1_11920,c1_15204,c1_16540,c1_4803,c1_8118,c2_12760,c2_12788,c2_13766,c2_30741,c2_31439,c2_3146,c2_34179,c2_36370,c2_7919
15061942,2,0,0,2,3,0,0,0,3,3,0,2,1,3,1
15061763,1,1,2,1,3,1,0,0,1,4,0,1,3,4,1
15061801,2,1,0,1,2,2,1,1,2,1,2,3,3,4,1
15061494,1,2,1,0,3,1,0,0,1,4,1,3,2,2,1
15061613,2,0,0,2,3,1,1,1,1,2,1,2,1,4,0
15062137,3,1,1,1,3,1,0,0,1,4,0,3,3,4,1
15061319,3,2,1,1,1,0,0,0,1,3,0,3,2,3,0
15062142,2,1,1,2,1,1,1,2,1,2,0,3,2,4,0
15060320,2,0,2,2,2,0,0,0,1,4,1,2,2,4,0
15061768,3,0,1,3,1,1,1,1,1,3,0,4,1,3,0
15061522,2,1,1,1,3,1,1,1,1,2,0,3,2,4,1
15060081,2,3,1,1,2,1,0,NA,1,3,NA,3,2,3,NA
15061656,3,1,1,2,2,0,0,0,1,2,2,2,0,3,0
15061759,1,0,2,1,1,0,0,0,3,2,0,3,0,2,0
15061928,0,0,1,0,3,0,2,1,2,3,1,3,0,2,1
15061454,0,1,0,1,3,2,1,1,3,3,1,3,1,2,0
15061605,1,1,0,1,4,1,0,0,2,2,1,4,1,3,1
15060087,2,1,0,2,2,0,0,0,1,3,0,2,2,3,1
15061619,3,1,1,1,3,1,0,0,1,4,0,3,3,4,1
15060090,2,1,0,2,1,1,0,0,3,1,2,3,3,2,1
15061731,3,1,1,1,3,1,0,0,1,4,0,3,3,4,1
15061655,0,1,2,3,2,2,1,2,2,2,1,3,2,4,1
15061661,2,0,0,2,3,1,1,1,1,2,1,2,1,4,0
15061499,3,0,1,1,2,0,0,0,0,2,0,1,2,3,0
15061647,3,2,1,1,1,0,0,0,1,3,0,3,2,3,0
15061612,2,2,1,2,3,1,0,0,0,3,1,0,4,4,2
15061742,3,0,1,1,2,0,0,0,0,2,0,1,2,3,0
15061710,2,1,1,1,2,1,1,1,1,4,1,3,3,3,0
15062372,2,2,0,1,3,1,1,1,1,3,0,3,2,4,1
15061583,2,0,0,2,3,1,1,1,1,2,1,2,1,4,0
15061767,2,2,1,1,2,0,0,0,3,2,0,2,1,3,0
15062130,4,1,1,2,1,0,0,0,0,3,0,2,2,3,2
15061637,3,2,1,1,1,0,0,0,1,3,0,3,2,3,0
15061337,3,1,0,2,3,1,1,1,1,4,0,3,2,4,1
15062104,2,1,1,0,3,0,1,1,3,4,1,3,1,4,1
15061579,4,1,0,2,2,0,1,1,1,4,0,2,3,4,1
15061932,2,2,0,1,1,1,0,0,1,4,0,1,1,2,1
15061603,2,1,0,2,2,0,0,0,1,3,0,2,2,3,1
15060025,3,2,1,1,1,0,0,0,1,3,0,3,2,3,0
15061704,3,2,1,1,1,0,0,0,1,3,0,3,2,3,0
15061334,3,0,1,2,3,1,1,1,1,4,0,2,1,2,0
15061631,2,1,1,1,2,1,1,1,1,4,1,3,3,3,0
15060964,2,1,0,1,3,2,1,1,1,3,0,2,2,3,2
15061778,3,1,1,1,3,1,0,0,1,4,0,3,3,4,1
15061718,0,1,0,1,3,2,1,1,3,3,1,3,1,2,0
15061486,3,1,0,3,3,1,0,0,3,4,0,4,0,4,1
15060214,2,2,0,2,2,0,0,0,1,4,0,0,2,3,1
15061333,3,1,1,1,3,1,1,1,1,2,1,1,1,2,1
15061962,2,2,0,1,1,1,0,0,1,4,0,1,1,2,1
15061624,2,1,0,2,2,0,0,0,1,3,0,3,2,3,1
15061282,2,0,0,2,3,1,1,1,1,2,1,2,1,4,0
15061529,3,1,0,1,2,0,0,0,2,3,0,4,2,3,1
15061935,2,2,0,1,1,1,0,0,1,4,0,1,1,2,1
15061568,2,0,0,1,2,0,1,1,2,4,0,2,2,4,0
15061491,3,1,1,1,3,1,0,0,1,4,0,3,3,4,1
15061318,2,1,0,3,3,1,0,1,1,3,1,3,3,4,0
15061361,3,1,0,2,3,1,1,1,1,4,0,3,2,4,1
15061515,2,2,0,2,4,2,0,0,0,3,0,0,3,2,1
