Samples,SecTuber.LCH.C
15061942,42
15061763,42
15061801,42
15061494,29
15061613,20
15062137,41
15061319,40
15062142,39
15060320,39
15061768,36
15061522,32
15060081,29
15061656,26
15061759,16
15061928,41
15061454,42
15061605,43
15060087,32
15061619,41
15060090,32
15061731,36
15061655,29
15061661,41
15061499,39
15061647,28
15061612,33
15061742,37
15061710,41
15062372,35
15061583,18
15061767,25
15062130,35
15061637,33
15061337,35
15062104,32
15061579,42
15061932,28
15061603,42
15060025,19
15061704,47
15061334,47
15061631,47
15060964,47
15061778,41
15061718,36
15061486,35
15060214,37
15061333,36
15061962,29
15061624,42
15061282,6
15061529,39
15061935,41
15061568,37
15061491,41
15061318,41
15061361,41
15061515,31
15062123,37
15061358,36
15061428,42
15061496,41
15061648,37
15061808,29
15061600,32
15061730,41
15061623,42
15061405,35
15061299,26
15061578,36
15061476,42
15061765,42
15062111,36
15061397,37
15061713,22
15061584,41
15061912,25
15061260,35
15062099,24
15061350,35
15060933,32
15061548,42
15061348,37
15061560,32
15061544,47
15061449,42
15062348,47
15061916,35
15062138,35
15061946,36
15061676,36
15060536,36
15061391,41
15061662,42
15061228,35
15061356,26
15061963,41
15061338,35
15062331,37
15062098,47
15062114,8
15062046,41
15062370,35
15061685,40
15061540,32
15061721,41
15062074,26
15062362,31
15061689,36
15061357,35
15061376,35
15061308,47
