Samples,Tallo.LCH.H
15061942,117
15061763,359
15061801,117
15061494,359
15061613,117
15062137,359
15061319,117
15062142,117
15060320,117
15061768,117
15061522,359
15060081,117
15061656,132
15061759,117
15061928,359
15061454,117
15061605,117
15060087,359
15061619,359
15060090,117
15061731,359
15061655,117
15061661,117
15061499,117
15061647,117
15061612,359
15061742,117
15061710,359
15062372,117
15061583,117
15061767,117
15062130,117
15061637,132
15061337,117
15062104,117
15061579,359
15061932,117
15061603,117
15060025,117
15061704,117
15061334,117
15061631,359
15060964,117
15061778,359
15061718,132
15061486,117
15060214,117
15061333,117
15061962,117
15061624,117
15061282,117
15061529,117
15061935,117
15061568,117
15061491,359
15061318,117
15061361,117
15061515,134
15062123,117
15061358,117
15061428,117
15061496,359
15061648,132
15061808,117
15061600,117
15061730,359
15061623,117
15061405,117
15061299,117
15061578,359
15061476,359
15061765,117
15062111,359
15061397,117
15061713,117
15061584,117
15061912,117
15061260,117
15062099,117
15061350,117
15060933,117
15061548,117
15061348,117
15061560,117
15061544,359
15061449,117
15062348,117
15061916,117
15062138,359
15061946,359
15061676,117
15060536,117
15061391,359
15061662,359
15061228,359
15061356,117
15061963,117
15061338,359
15062331,117
15062098,117
15062114,359
15062046,117
15062370,117
15061685,132
15061540,117
15061721,136
15062074,117
15062362,117
15061689,117
15061357,359
15061376,117
15061308,117
