Models,Predictive_ability
BA,0.343
BA,0.32
BA,0.35
BA,0.277
BB,0.167
BB,0.222
BB,0.28
BB,0.264
BC,0.263
BC,0.299
BC,0.343
BC,0.31
BL,0.305
BL,0.277
BL,0.189
BL,0.297
BRR,0.399
BRR,0.345
BRR,0.327
BRR,0.378
GBLUP,0.284
GBLUP,0.248
GBLUP,0.183
GBLUP,0.229
EGBLUP,0.242
EGBLUP,0.286
EGBLUP,0.342
EGBLUP,0.377
RKHS,0.211
RKHS,0.292
RKHS,0.245
RKHS,0.217
Lasso,0.245
Lasso,0.21
Lasso,0.257
Lasso,0.251
RR,0.313
RR,0.33
RR,0.266
RR,0.239
SVM,0.286
SVM,0.286
SVM,0.349
SVM,0.326
RF,0.285
RF,0.362
RF,0.34
RF,0.287
