SAMPLES,GEBVs(BA),ACTUAL
15062362,32.874,43
15061954,43.076,39
15062339,40.441,36
15061482,45.663,36
15062104,30.863,26
15061707,33.863,33
15061567,37.767,39
15061964,31.646,26
15061488,43.315,38
15061438,43.336,33
15061814,44.688,49
15061721,38.591,37
15061601,32.851,26
15061719,31.511,27
15061629,42.052,26
15061477,32.551,26
15061761,31.67,26
15061336,33.394,26
15061386,31.043,26
15061305,33.246,26
15061676,32.592,33
15061523,30.052,26
15061763,35.952,26
15061385,29.827,26
15062133,29.989,26
15061333,34.873,27
15061627,37.59,54
15061731,43.237,35
15061641,44.5,59
15061330,42.96,39
15061626,34.168,26
15062147,38.345,39
15061487,36.031,26
15060536,38.552,47
15061261,29.969,33
15061389,43.702,48
15060101,31.568,26
15061397,30.002,58
15061551,45.76,48
15061539,29.837,43
15062115,39.868,49
15061361,32.73,26
15061669,39.703,48
15062359,41.6,33
15061690,43.274,33
15061308,43.316,27
15062372,34.443,27
15061342,32.802,27
15061281,40.631,54
15061932,47.257,52
15061370,43.308,48
15061630,29.507,26
15061789,45.674,52
15061666,36.111,33
15062143,29.446,26
15061297,33.477,26
15061907,39.814,94
15061538,29.886,54
15062371,35.92,36
15061685,29.36,27
15062081,32.307,26
15061969,40.296,33
15061498,41.391,33
15061271,44.424,26
15062344,42.488,26
15061279,35.5,33
15062144,29.934,28
15061722,41.228,45
15061768,36.391,36
15061557,30.266,26
15061434,38.172,39
15060072,39.231,43
15061405,41.053,26
15062052,43.153,30
15062098,43.065,48
15061916,32.654,26
15061377,30.158,48
15061633,45.261,43
15061702,32.788,27
15061614,41.087,31
15061368,31.181,26
15061520,35.389,43
15060082,37.963,26
15061656,35.402,41
15061331,39.305,33
15061327,30.274,26
15062074,31.37,26
15061300,39.933,27
15061776,45.664,33
15061462,32.659,48
15061302,35.557,27
15061957,38.238,43
15061514,30.109,26
15060909,47.211,27
15062063,32.639,26
15060090,35.836,26
15061301,37.036,33
15061423,45.283,31
15061453,40.237,43
15060215,41.664,31
15062119,30.658,26
15061537,31.724,54
15061667,29.485,26
15062123,30.146,26
15061710,29.545,26
15061258,42.352,26
15061443,45.62,57
15060050,35.522,45
15060110,30,26
15062053,42.023,52
15061764,31.829,26
15061799,36.148,26
