SAMPLES,GEBVs(RKHS),ACTUAL
15061614,47.097,39
15061337,36.317,30
15062067,68.558,80
15061752,36.992,27
15061930,53.675,50
15061566,34.565,29
15061773,42.97,30
15061575,41.462,39
15061344,41.681,42
15061282,47.057,50
15061926,47.148,28
15061906,37.516,29
15061665,65.739,74
15061397,34.758,50
15060187,59.711,30
15061534,34.176,28
15062362,36.08,76
15061521,50.053,35
15061633,57.815,79
15061659,54.117,42
15061673,56.498,37
15062356,34.341,29
15061361,36.126,34
15061729,50.328,30
15061755,36.23,30
15061496,34.934,39
15062368,45.197,39
15062339,60.573,76
15061577,39.787,30
15062136,42.436,30
15061529,41.44,30
15061396,47.333,29
15061482,71.039,80
15061814,40.622,30
15061769,49.526,34
15061610,36.124,28
15062147,48.471,42
15061358,50.234,80
15061550,49.932,27
15061271,42.879,30
15060214,59.918,76
15062074,45.434,80
15061507,44.143,38
15061383,36.311,35
15062149,48.563,35
15060042,49.676,50
15061647,50.176,76
15061477,39.874,29
15061586,53.871,80
15062347,39.035,28
15061958,54.381,76
15062346,56.959,80
15061639,40.465,30
15061757,40.981,30
15061299,46.969,43
15061653,45.088,75
15061761,47.015,45
15062146,34.608,45
15061655,57.677,76
15061329,39.924,28
15061535,36.603,34
15061578,39.881,30
15061730,50.402,27
15061627,44.283,60
15061500,71.16,80
15061717,45.056,28
15062122,53.814,29
15061435,41.173,41
15061706,58.147,84
15061624,33.965,43
15060121,39.053,28
15061423,37.395,35
15061488,39.246,30
15061916,36.272,27
15061487,46.865,30
15061281,42.564,42
15061937,45.546,28
15061493,35.146,30
15061296,41.53,29
15061649,58.812,30
15061307,43.084,30
15062133,34.574,35
15062350,37.649,30
15061338,34.723,29
15060027,41.317,35
15061011,49.822,80
15061795,34.215,30
15062358,39.472,28
15061216,54.077,30
15061300,62.704,80
15061462,60.531,76
15061516,46.421,38
15061394,47.571,50
15061453,62.626,29
15062123,72.365,75
15060110,34.562,28
15061964,47.148,50
15061542,72.163,27
15060570,60.707,76
15061785,46.831,75
15061766,72.111,76
15060021,34.575,29
15061364,36.231,30
15060050,53.255,80
15061637,50.111,75
15062369,48.407,34
15061345,45.301,42
15061966,46.41,29
15061737,49.976,81
15060112,36.344,30
15061751,53.766,43
15061567,54.368,76
