Samples,CPBrote.H
15062362,309
15061954,339
15062339,321
15061482,352
15062104,307
15061707,314
15061567,339
15061964,307
15061488,308
15061438,314
15061814,317
15061721,331
15061601,307
15061719,306
15061629,307
15061477,307
15061761,307
15061336,307
15061386,307
15061305,307
15061676,314
15061523,307
15061763,307
15061385,307
15062133,307
15061333,306
15061627,320
15061731,347
15061641,315
15061330,339
15061626,307
15062147,346
15061487,307
15060536,350
15061261,316
15061389,302
15060101,307
15061397,304
15061551,336
15061539,309
15062115,312
15061361,307
15061669,336
15062359,314
15061690,314
15061308,306
15062372,306
15061342,306
15061281,320
15061932,330
15061370,336
15061630,307
15061789,328
15061666,316
15062143,307
15061297,307
15061907,41
15061538,308
15062371,321
15061685,306
15062081,307
15061969,314
15061498,314
15061271,307
15062344,307
15061279,314
15062144,303
15061722,327
15061768,301
15061557,307
15061434,346
15060072,306
15061405,307
15062052,345
15062098,336
15061916,307
15061377,336
15061633,309
15061702,306
15061614,324
15061368,307
15061520,334
15060082,307
15061656,316
15061331,316
15061327,307
15062074,307
15061300,306
15061776,314
15061462,302
15061302,306
15061957,322
15061514,307
15060909,338
15062063,307
15060090,307
15061301,314
15061423,324
15061453,309
15060215,324
15062119,307
15061537,308
15061667,307
15062123,307
15061710,307
15061258,307
15061443,344
15060050,327
15060110,307
15062053,330
15061764,307
15061799,307
