Samples,CSBrote.H
15062362,41
15061954,41
15062339,318
15061482,41
15062104,41
15061707,318
15061567,41
15061964,41
15061488,41
15061438,336
15061814,41
15061721,318
15061601,318
15061719,318
15061629,318
15061477,344
15061761,318
15061336,41
15061386,318
15061305,41
15061676,318
15061523,41
15061763,318
15061385,41
15062133,318
15061333,318
15061627,318
15061731,318
15061641,318
15061330,41
15061626,318
15062147,318
15061487,318
15060536,318
15061261,318
15061389,41
15060101,318
15061397,318
15061551,41
15061539,318
15062115,41
15061361,318
15061669,318
15062359,41
15061690,41
15061308,318
15062372,318
15061342,318
15061281,318
15061932,41
15061370,318
15061630,318
15061789,41
15061666,41
15062143,41
15061297,318
15061907,336
15061538,41
15062371,318
15061685,318
15062081,318
15061969,41
15061498,318
15061271,318
15062344,318
15061279,346
15062144,318
15061722,41
15061768,318
15061557,344
15061434,318
15060072,344
15061405,41
15062052,318
15062098,41
15061916,344
15061377,41
15061633,41
15061702,318
15061614,318
15061368,318
15061520,41
15060082,41
15061656,344
15061331,318
15061327,318
15062074,41
15061300,41
15061776,318
15061462,318
15061302,41
15061957,318
15061514,318
15060909,41
15062063,41
15060090,318
15061301,352
15061423,41
15061453,41
15060215,318
15062119,41
15061537,41
15061667,318
15062123,344
15061710,318
15061258,344
15061443,41
15060050,318
15060110,344
15062053,318
15061764,318
15061799,41
