Samples,CTallo.H
15062362,117
15061954,117
15062339,117
15061482,117
15062104,117
15061707,359
15061567,117
15061964,117
15061488,359
15061438,23
15061814,359
15061721,136
15061601,359
15061719,117
15061629,359
15061477,117
15061761,117
15061336,117
15061386,117
15061305,117
15061676,117
15061523,359
15061763,359
15061385,359
15062133,23
15061333,117
15061627,117
15061731,359
15061641,117
15061330,117
15061626,359
15062147,117
15061487,23
15060536,117
15061261,117
15061389,359
15060101,117
15061397,117
15061551,117
15061539,117
15062115,359
15061361,117
15061669,117
15062359,117
15061690,23
15061308,23
15062372,117
15061342,117
15061281,117
15061932,117
15061370,117
15061630,359
15061789,117
15061666,359
15062143,359
15061297,117
15061907,118
15061538,359
15062371,117
15061685,132
15062081,23
15061969,117
15061498,23
15061271,117
15062344,117
15061279,117
15062144,359
15061722,117
15061768,117
15061557,117
15061434,359
15060072,117
15061405,117
15062052,117
15062098,117
15061916,117
15061377,117
15061633,359
15061702,23
15061614,117
15061368,117
15061520,117
15060082,117
15061656,132
15061331,117
15061327,117
15062074,117
15061300,117
15061776,117
15061462,117
15061302,117
15061957,117
15061514,117
15060909,117
15062063,117
15060090,117
15061301,117
15061423,117
15061453,359
15060215,117
15062119,359
15061537,117
15061667,359
15062123,117
15061710,359
15061258,359
15061443,117
15060050,117
15060110,359
15062053,117
15061764,117
15061799,359
