Samples,CPFlor.C
15062362,42
15061954,49
15062339,55
15061482,60
15062104,58
15061707,40
15061567,40
15061964,6
15061488,58
15061438,46
15061814,58
15061721,57
15061601,34
15061719,6
15061629,43
15061477,58
15061761,6
15061336,58
15061386,40
15061305,39
15061676,42
15061523,58
15061763,48
15061385,49
15062133,58
15061333,45
15061627,36
15061731,49
15061641,49
15061330,58
15061626,39
15062147,34
15061487,39
15060536,36
15061261,45
15061389,57
15060101,8
15061397,6
15061551,57
15061539,58
15062115,49
15061361,58
15061669,55
15062359,36
15061690,55
15061308,46
15062372,35
15061342,39
15061281,60
15061932,46
15061370,55
15061630,58
15061789,40
15061666,55
15062143,58
15061297,58
15061907,8
15061538,39
15062371,58
15061685,49
15062081,39
15061969,31
15061498,34
15061271,58
15062344,55
15061279,49
15062144,49
15061722,40
15061768,58
15061557,48
15061434,49
15060072,57
15061405,45
15062052,55
15062098,49
15061916,39
15061377,45
15061633,57
15061702,55
15061614,49
15061368,45
15061520,58
15060082,39
15061656,36
15061331,43
15061327,40
15062074,31
15061300,58
15061776,45
15061462,40
15061302,33
15061957,41
15061514,36
15060909,43
15062063,39
15060090,60
15061301,58
15061423,49
15061453,58
15060215,57
15062119,58
15061537,6
15061667,45
15062123,45
15061710,57
15061258,43
15061443,43
15060050,49
15060110,55
15062053,57
15061764,33
15061799,57
