Samples,CPulpa.H
15060021,93
15060025,52
15060027,71
15060039,71
15060042,71
15060056,32
15060063,90
15060070,71
15060081,52
15060085,52
15060087,41
15060097,52
15060102,71
15060112,90
15060114,71
15060120,71
15060121,71
15060122,90
15060138,71
15060160,90
15060187,93
15060188,52
15060190,90
15060191,94
15060214,71
15060313,90
15060320,90
15060345,94
15060383,96
15060420,90
15060543,94
15060570,94
15060797,93
15060846,32
15060907,71
15060910,90
15060933,52
15060964,84
15061007,84
15061011,94
15061122,71
15061204,90
15061213,85
15061215,90
15061216,90
15061225,71
15061226,71
15061228,90
15061237,344
15061256,88
15061257,90
15061259,71
15061260,71
15061262,90
15061263,94
15061264,94
15061265,71
15061270,90
15061273,94
15061274,90
15061277,71
15061282,71
15061283,90
15061286,94
15061288,71
15061289,90
15061290,71
15061291,90
15061293,90
15061295,71
15061296,94
15061298,90
15061299,71
15061303,71
15061307,90
15061312,71
15061313,90
15061314,90
15061317,94
15061318,71
15061319,71
15061320,90
15061323,71
15061324,94
15061329,93
15061334,94
15061335,90
15061337,90
15061338,71
15061340,90
15061344,90
15061345,90
15061346,94
15061347,90
15061348,90
15061349,90
15061350,93
15061352,94
15061353,71
15061355,90
15061356,88
15061357,90
15061358,90
15061360,90
15061364,90
15061365,90
15061367,71
15061369,71
15061376,94
15061378,90
15061380,90
15061382,71
15061383,90
15061384,71
15061388,71
15061390,90
15061391,90
15061392,94
15061394,94
15061396,71
15061404,90
15061406,90
15061410,71
15061411,41
15061414,90
15061415,90
15061417,85
15061418,71
15061419,32
15061420,71
15061421,90
15061422,71
15061424,94
15061425,90
15061428,90
15061430,90
15061435,90
15061436,71
15061437,71
15061439,90
15061441,90
15061442,71
15061444,71
15061445,90
15061447,71
15061449,90
15061454,90
15061458,94
15061459,71
15061461,94
15061463,96
15061469,96
15061470,71
15061471,71
15061475,90
15061476,71
15061478,96
15061479,96
15061480,94
15061481,71
15061484,94
15061485,90
15061486,88
15061489,90
15061490,94
15061491,90
15061492,93
15061493,94
15061494,71
15061495,90
15061496,71
15061499,90
15061500,32
15061501,71
15061503,94
15061504,71
15061505,94
15061507,71
15061508,71
15061509,90
15061511,71
15061515,90
15061516,52
15061517,90
15061518,71
15061521,93
15061522,71
15061524,71
15061525,71
15061526,94
15061528,90
15061529,90
15061530,71
15061533,71
15061534,96
15061535,90
15061536,71
15061540,90
15061542,90
15061543,90
15061544,32
15061546,71
15061548,94
15061549,90
15061550,94
15061553,90
15061555,90
15061556,71
15061560,90
15061561,90
15061564,71
15061565,94
15061566,71
15061568,90
15061571,71
15061575,90
15061576,90
15061577,94
15061578,71
15061579,71
15061580,90
15061583,71
15061584,71
15061585,32
15061586,32
15061588,90
15061600,90
15061602,94
15061603,32
15061604,90
15061605,95
15061608,94
15061609,71
15061610,71
15061612,71
15061613,41
15061619,90
15061621,94
15061622,90
15061623,71
15061624,71
15061628,90
15061631,71
15061632,71
15061637,90
15061638,94
15061639,71
15061640,90
15061642,90
15061645,90
15061646,94
15061647,71
15061648,90
15061649,90
15061650,93
15061651,71
15061653,94
15061654,71
15061655,90
15061658,71
15061659,71
15061661,32
15061662,32
15061665,90
15061668,90
15061670,71
15061671,94
15061673,71
15061677,71
15061678,90
15061679,90
15061680,71
15061682,90
15061683,71
15061684,71
15061686,90
15061687,71
15061688,90
15061689,90
15061704,71
15061706,90
15061709,71
15061712,90
15061713,85
15061714,71
15061717,90
15061718,71
15061720,90
15061723,90
15061724,90
15061725,71
15061726,94
15061729,90
15061730,90
15061733,94
15061734,71
15061735,52
15061736,94
15061737,90
15061738,90
15061740,71
15061742,71
15061744,71
15061747,94
15061751,71
15061752,94
15061753,71
15061754,90
15061755,94
15061756,94
15061757,94
15061758,94
15061759,94
15061760,94
15061762,90
15061765,90
15061766,90
15061767,94
15061769,71
15061771,90
15061772,90
15061773,90
15061777,94
15061778,96
15061784,90
15061785,71
15061788,71
15061790,71
15061795,93
15061797,90
15061798,71
15061800,71
15061801,71
15061808,96
15061811,90
15061813,90
15061815,90
15061826,32
15061905,90
15061906,71
15061908,85
15061909,90
15061910,71
15061911,90
15061912,94
15061915,90
15061917,90
15061918,71
15061926,32
15061927,71
15061928,71
15061929,71
15061930,32
15061933,94
15061934,94
15061935,71
15061937,32
15061939,94
15061941,90
15061942,90
15061944,71
15061945,90
15061946,71
15061948,90
15061949,71
15061951,90
15061952,90
15061953,71
15061958,90
15061960,90
15061961,71
15061962,71
15061963,71
15061965,90
15061966,90
15061967,71
15061968,90
15062036,71
15062038,94
15062039,94
15062046,94
15062050,90
15062051,94
15062067,71
15062069,94
15062071,90
15062080,90
15062092,71
15062094,32
15062097,90
15062099,94
15062100,71
15062101,90
15062102,71
15062103,94
15062105,32
15062106,90
15062107,32
15062108,71
15062109,90
15062111,94
15062112,32
15062114,90
15062117,90
15062118,90
15062122,71
15062124,90
15062126,90
15062130,71
15062136,93
15062137,71
15062138,32
15062139,71
15062142,71
15062145,90
15062146,93
15062149,90
15062150,71
15062151,90
15062152,71
15062153,71
15062331,71
15062332,71
15062333,71
15062334,71
15062335,90
15062337,90
15062338,94
15062346,94
15062347,90
15062348,94
15062349,90
15062350,94
15062351,90
15062353,90
15062354,94
15062356,94
15062357,32
15062358,90
15062360,71
15062361,94
15062363,90
15062366,32
15062367,90
15062368,94
15062369,90
15062370,94
