Samples,CSPulpa.H
15060021,344
15060025,344
15060027,344
15060039,342
15060042,344
15060056,344
15060063,12
15060070,324
15060081,344
15060085,316
15060087,345
15060097,344
15060102,331
15060112,331
15060114,333
15060120,344
15060121,344
15060122,12
15060138,328
15060160,10
15060187,344
15060188,344
15060190,316
15060191,344
15060214,344
15060313,344
15060320,344
15060345,344
15060383,345
15060420,345
15060543,331
15060570,346
15060797,10
15060846,346
15060907,345
15060910,12
15060933,316
15060964,329
15061007,344
15061011,344
15061122,345
15061204,331
15061213,344
15061215,328
15061216,10
15061225,344
15061226,316
15061228,346
15061237,331
15061256,324
15061257,344
15061259,324
15061260,333
15061262,324
15061263,344
15061264,345
15061265,344
15061270,345
15061273,333
15061274,342
15061277,345
15061282,12
15061283,331
15061286,344
15061288,345
15061289,344
15061290,324
15061291,316
15061293,324
15061295,324
15061296,334
15061298,345
15061299,345
15061303,344
15061307,346
15061312,344
15061313,344
15061314,10
15061317,344
15061318,345
15061319,345
15061320,345
15061323,324
15061324,316
15061329,321
15061334,344
15061335,346
15061337,345
15061338,333
15061340,344
15061344,316
15061345,346
15061346,10
15061347,346
15061348,346
15061349,344
15061350,328
15061352,345
15061353,345
15061355,346
15061356,344
15061357,334
15061358,333
15061360,345
15061364,344
15061365,346
15061367,344
15061369,324
15061376,345
15061378,344
15061380,344
15061382,346
15061383,344
15061384,324
15061388,344
15061390,344
15061391,344
15061392,346
15061394,344
15061396,344
15061404,328
15061406,10
15061410,10
15061411,344
15061414,346
15061415,342
15061417,342
15061418,346
15061419,324
15061420,316
15061421,342
15061422,346
15061424,328
15061425,12
15061428,342
15061430,344
15061435,344
15061436,345
15061437,345
15061439,344
15061441,344
15061442,346
15061444,345
15061445,345
15061447,328
15061449,345
15061454,12
15061458,344
15061459,344
15061461,344
15061463,331
15061469,316
15061470,345
15061471,344
15061475,12
15061476,344
15061478,324
15061479,316
15061480,344
15061481,324
15061484,344
15061485,324
15061486,346
15061489,344
15061490,344
15061491,345
15061492,345
15061493,333
15061494,344
15061495,344
15061496,344
15061499,344
15061500,324
15061501,344
15061503,344
15061504,324
15061505,324
15061507,344
15061508,344
15061509,344
15061511,344
15061515,331
15061516,324
15061517,345
15061518,344
15061521,344
15061522,344
15061524,344
15061525,329
15061526,345
15061528,344
15061529,324
15061530,345
15061533,316
15061534,316
15061535,324
15061536,344
15061540,333
15061542,10
15061543,344
15061544,344
15061546,344
15061548,316
15061549,329
15061550,345
15061553,344
15061555,345
15061556,344
15061560,324
15061561,344
15061564,318
15061565,12
15061566,344
15061568,345
15061571,316
15061575,344
15061576,344
15061577,328
15061578,12
15061579,344
15061580,346
15061583,344
15061584,344
15061585,316
15061586,344
15061588,345
15061600,12
15061602,318
15061603,344
15061604,346
15061605,345
15061608,345
15061609,333
15061610,345
15061612,324
15061613,344
15061619,346
15061621,344
15061622,324
15061623,324
15061624,344
15061628,344
15061631,344
15061632,334
15061637,344
15061638,328
15061639,342
15061640,344
15061642,324
15061645,334
15061646,334
15061647,344
15061648,345
15061649,334
15061650,345
15061651,324
15061653,346
15061654,344
15061655,344
15061658,344
15061659,344
15061661,346
15061662,324
15061665,344
15061668,344
15061670,331
15061671,12
15061673,316
15061677,346
15061678,345
15061679,324
15061680,12
15061682,344
15061683,344
15061684,12
15061686,344
15061687,346
15061688,342
15061689,346
15061704,346
15061706,10
15061709,324
15061712,344
15061713,346
15061714,321
15061717,342
15061718,344
15061720,331
15061723,322
15061724,345
15061725,10
15061726,344
15061729,10
15061730,12
15061733,328
15061734,346
15061735,345
15061736,344
15061737,324
15061738,331
15061740,346
15061742,316
15061744,344
15061747,316
15061751,346
15061752,344
15061753,346
15061754,324
15061755,342
15061756,345
15061757,316
15061758,331
15061759,344
15061760,324
15061762,331
15061765,345
15061766,344
15061767,344
15061769,12
15061771,344
15061772,346
15061773,345
15061777,334
15061778,345
15061784,331
15061785,346
15061788,344
15061790,324
15061795,344
15061797,344
15061798,344
15061800,344
15061801,10
15061808,344
15061811,345
15061813,344
15061815,12
15061826,345
15061905,331
15061906,344
15061908,331
15061909,10
15061910,345
15061911,346
15061912,324
15061915,328
15061917,324
15061918,328
15061926,346
15061927,322
15061928,344
15061929,324
15061930,344
15061933,12
15061934,344
15061935,344
15061937,324
15061939,344
15061941,344
15061942,324
15061944,344
15061945,345
15061946,342
15061948,333
15061949,346
15061951,346
15061952,344
15061953,344
15061958,346
15061960,346
15061961,344
15061962,333
15061963,345
15061965,346
15061966,346
15061967,345
15061968,12
15062036,344
15062038,345
15062039,344
15062046,324
15062050,333
15062051,344
15062067,344
15062069,316
15062071,346
15062080,324
15062092,334
15062094,334
15062097,346
15062099,345
15062100,344
15062101,344
15062102,344
15062103,344
15062105,344
15062106,345
15062107,324
15062108,345
15062109,345
15062111,344
15062112,344
15062114,344
15062117,10
15062118,10
15062122,10
15062124,344
15062126,344
15062130,346
15062136,344
15062137,345
15062138,344
15062139,12
15062142,344
15062145,344
15062146,344
15062149,344
15062150,345
15062151,344
15062152,345
15062153,321
15062331,342
15062332,344
15062333,345
15062334,344
15062335,12
15062337,345
15062338,344
15062346,316
15062347,346
15062348,344
15062349,346
15062350,342
15062351,346
15062353,324
15062354,329
15062356,344
15062357,344
15062358,316
15062360,10
15062361,333
15062363,12
15062366,344
15062367,345
15062368,328
15062369,321
15062370,344
