Samples,CBaya.C
15060021,26
15060025,48
15060027,44
15060039,28
15060042,48
15060056,48
15060063,50
15060070,44
15060081,32
15060085,45
15060087,28
15060097,45
15060102,44
15060112,26
15060114,44
15060120,50
15060121,45
15060122,26
15060138,26
15060160,45
15060187,44
15060188,45
15060190,50
15060191,59
15060214,44
15060313,28
15060320,48
15060345,50
15060383,38
15060420,45
15060543,44
15060570,44
15060797,44
15060846,28
15060907,44
15060910,26
15060933,48
15060964,38
15061007,44
15061011,44
15061122,44
15061204,44
15061213,32
15061215,44
15061216,48
15061225,48
15061226,32
15061228,45
15061237,75
15061256,44
15061257,48
15061259,26
15061260,45
15061262,45
15061263,45
15061264,44
15061265,48
15061270,44
15061273,44
15061274,26
15061277,45
15061282,32
15061283,48
15061286,44
15061288,48
15061289,48
15061290,45
15061291,44
15061293,48
15061295,50
15061296,48
15061298,48
15061299,44
15061303,48
15061307,44
15061312,59
15061313,59
15061314,75
15061317,48
15061318,44
15061319,45
15061320,45
15061323,44
15061324,44
15061329,44
15061334,48
15061335,48
15061337,44
15061338,48
15061340,44
15061344,50
15061345,59
15061346,44
15061347,44
15061348,45
15061349,45
15061350,45
15061352,48
15061353,44
15061355,44
15061356,44
15061357,44
15061358,38
15061360,44
15061364,75
15061365,44
15061367,44
15061369,48
15061376,44
15061378,44
15061380,44
15061382,28
15061383,28
15061384,44
15061388,45
15061390,44
15061391,44
15061392,44
15061394,48
15061396,48
15061404,48
15061406,44
15061410,44
15061411,28
15061414,48
15061415,38
15061417,45
15061418,48
15061419,44
15061420,44
15061421,48
15061422,44
15061424,44
15061425,44
15061428,48
15061430,44
15061435,44
15061436,28
15061437,50
15061439,44
15061441,48
15061442,48
15061444,43
15061445,44
15061447,38
15061449,59
15061454,44
15061458,48
15061459,28
15061461,59
15061463,44
15061469,32
15061470,48
15061471,44
15061475,50
15061476,50
15061478,44
15061479,48
15061480,44
15061481,44
15061484,45
15061485,50
15061486,44
15061489,48
15061490,48
15061491,59
15061492,44
15061493,44
15061494,44
15061495,45
15061496,44
15061499,59
15061500,28
15061501,28
15061503,48
15061504,44
15061505,48
15061507,59
15061508,48
15061509,48
15061511,28
15061515,32
15061516,48
15061517,44
15061518,48
15061521,48
15061522,48
15061524,43
15061525,45
15061526,44
15061528,48
15061529,48
15061530,48
15061533,38
15061534,28
15061535,44
15061536,59
15061540,45
15061542,28
15061543,48
15061544,28
15061546,44
15061548,44
15061549,38
15061550,44
15061553,44
15061555,44
15061556,44
15061560,48
15061561,44
15061564,38
15061565,26
15061566,28
15061568,44
15061571,59
15061575,48
15061576,44
15061577,44
15061578,44
15061579,45
15061580,48
15061583,44
15061584,48
15061585,38
15061586,48
15061588,44
15061600,44
15061602,38
15061603,48
15061604,45
15061605,48
15061608,38
15061609,44
15061610,48
15061612,44
15061613,45
15061619,38
15061621,59
15061622,44
15061623,48
15061624,44
15061628,59
15061631,48
15061632,44
15061637,59
15061638,44
15061639,44
15061640,44
15061642,44
15061645,59
15061646,44
15061647,44
15061648,48
15061649,45
15061650,48
15061651,59
15061653,44
15061654,44
15061655,48
15061658,44
15061659,44
15061661,38
15061662,44
15061665,44
15061668,59
15061670,38
15061671,44
15061673,28
15061677,44
15061678,59
15061679,75
15061680,48
15061682,50
15061683,61
15061684,28
15061686,59
15061687,44
15061688,44
15061689,59
15061704,75
15061706,44
15061709,59
15061712,44
15061713,28
15061714,44
15061717,44
15061718,61
15061720,45
15061723,48
15061724,59
15061725,44
15061726,44
15061729,44
15061730,28
15061733,28
15061734,44
15061735,50
15061736,43
15061737,44
15061738,44
15061740,45
15061742,32
15061744,59
15061747,44
15061751,19
15061752,48
15061753,48
15061754,59
15061755,28
15061756,44
15061757,45
15061758,59
15061759,59
15061760,48
15061762,28
15061765,48
15061766,48
15061767,59
15061769,44
15061771,59
15061772,39
15061773,44
15061777,59
15061778,44
15061784,44
15061785,38
15061788,44
15061790,48
15061795,28
15061797,44
15061798,38
15061800,44
15061801,48
15061808,48
15061811,44
15061813,44
15061815,48
15061826,44
15061905,48
15061906,44
15061908,28
15061909,50
15061910,44
15061911,44
15061912,44
15061915,44
15061917,59
15061918,59
15061926,59
15061927,59
15061928,44
15061929,44
15061930,48
15061933,26
15061934,38
15061935,59
15061937,50
15061939,48
15061941,50
15061942,48
15061944,59
15061945,48
15061946,44
15061948,44
15061949,44
15061951,59
15061952,48
15061953,59
15061958,39
15061960,44
15061961,59
15061962,44
15061963,45
15061965,48
15061966,44
15061967,44
15061968,26
15062036,38
15062038,45
15062039,38
15062046,44
15062050,38
15062051,44
15062067,59
15062069,44
15062071,38
15062080,44
15062092,38
15062094,59
15062097,44
15062099,44
15062100,44
15062101,48
15062102,45
15062103,38
15062105,44
15062106,44
15062107,38
15062108,44
15062109,50
15062111,38
15062112,59
15062114,50
15062117,48
15062118,48
15062122,48
15062124,59
15062126,59
15062130,59
15062136,44
15062137,44
15062138,59
15062139,44
15062142,59
15062145,44
15062146,45
15062149,38
15062150,44
15062151,44
15062152,44
15062153,48
15062331,8
15062332,48
15062333,44
15062334,45
15062335,38
15062337,48
15062338,44
15062346,44
15062347,59
15062348,44
15062349,38
15062350,44
15062351,59
15062353,45
15062354,75
15062356,43
15062357,48
15062358,45
15062360,26
15062361,45
15062363,44
15062366,48
15062367,50
15062368,59
15062369,44
15062370,44
