Samples,CPulpa.C
15060021,35
15060025,5
15060027,6
15060039,6
15060042,6
15060056,3
15060063,18
15060070,6
15060081,5
15060085,5
15060087,4
15060097,5
15060102,6
15060112,18
15060114,6
15060120,6
15060121,6
15060122,18
15060138,6
15060160,18
15060187,35
15060188,5
15060190,18
15060191,26
15060214,6
15060313,18
15060320,18
15060345,26
15060383,42
15060420,18
15060543,26
15060570,26
15060797,35
15060846,3
15060907,6
15060910,18
15060933,5
15060964,32
15061007,32
15061011,26
15061122,6
15061204,18
15061213,24
15061215,18
15061216,18
15061225,6
15061226,6
15061228,18
15061237,5
15061256,6
15061257,18
15061259,6
15061260,6
15061262,18
15061263,26
15061264,26
15061265,6
15061270,18
15061273,26
15061274,18
15061277,6
15061282,6
15061283,18
15061286,26
15061288,6
15061289,18
15061290,6
15061291,18
15061293,18
15061295,6
15061296,26
15061298,18
15061299,6
15061303,6
15061307,18
15061312,6
15061313,18
15061314,18
15061317,26
15061318,6
15061319,6
15061320,18
15061323,6
15061324,26
15061329,35
15061334,26
15061335,18
15061337,18
15061338,6
15061340,18
15061344,18
15061345,18
15061346,26
15061347,18
15061348,18
15061349,18
15061350,35
15061352,26
15061353,6
15061355,18
15061356,6
15061357,18
15061358,18
15061360,18
15061364,18
15061365,18
15061367,6
15061369,6
15061376,26
15061378,18
15061380,18
15061382,6
15061383,18
15061384,6
15061388,6
15061390,18
15061391,18
15061392,26
15061394,26
15061396,6
15061404,18
15061406,18
15061410,6
15061411,4
15061414,18
15061415,18
15061417,24
15061418,6
15061419,3
15061420,6
15061421,18
15061422,6
15061424,26
15061425,18
15061428,18
15061430,18
15061435,18
15061436,6
15061437,6
15061439,18
15061441,18
15061442,6
15061444,6
15061445,18
15061447,6
15061449,18
15061454,18
15061458,26
15061459,6
15061461,26
15061463,10
15061469,10
15061470,6
15061471,6
15061475,18
15061476,6
15061478,10
15061479,10
15061480,26
15061481,6
15061484,26
15061485,18
15061486,6
15061489,18
15061490,26
15061491,18
15061492,35
15061493,26
15061494,6
15061495,18
15061496,6
15061499,18
15061500,3
15061501,6
15061503,26
15061504,6
15061505,26
15061507,6
15061508,6
15061509,18
15061511,6
15061515,18
15061516,5
15061517,18
15061518,6
15061521,35
15061522,6
15061524,6
15061525,6
15061526,26
15061528,18
15061529,18
15061530,6
15061533,6
15061534,42
15061535,18
15061536,6
15061540,18
15061542,18
15061543,18
15061544,3
15061546,6
15061548,26
15061549,18
15061550,26
15061553,18
15061555,18
15061556,6
15061560,18
15061561,18
15061564,6
15061565,26
15061566,6
15061568,18
15061571,6
15061575,18
15061576,18
15061577,26
15061578,6
15061579,6
15061580,18
15061583,6
15061584,6
15061585,3
15061586,3
15061588,18
15061600,18
15061602,26
15061603,3
15061604,18
15061605,8
15061608,26
15061609,6
15061610,6
15061612,6
15061613,4
15061619,18
15061621,26
15061622,18
15061623,6
15061624,6
15061628,18
15061631,6
15061632,6
15061637,18
15061638,26
15061639,6
15061640,18
15061642,18
15061645,18
15061646,26
15061647,6
15061648,18
15061649,18
15061650,35
15061651,6
15061653,26
15061654,6
15061655,18
15061658,6
15061659,6
15061661,3
15061662,3
15061665,18
15061668,18
15061670,6
15061671,26
15061673,6
15061677,6
15061678,18
15061679,18
15061680,6
15061682,18
15061683,6
15061684,6
15061686,18
15061687,6
15061688,18
15061689,18
15061704,6
15061706,18
15061709,6
15061712,18
15061713,24
15061714,6
15061717,18
15061718,6
15061720,18
15061723,18
15061724,18
15061725,6
15061726,26
15061729,18
15061730,18
15061733,26
15061734,6
15061735,5
15061736,26
15061737,18
15061738,18
15061740,6
15061742,6
15061744,6
15061747,26
15061751,6
15061752,26
15061753,6
15061754,18
15061755,26
15061756,26
15061757,26
15061758,26
15061759,26
15061760,26
15061762,18
15061765,18
15061766,18
15061767,26
15061769,6
15061771,18
15061772,18
15061773,18
15061777,26
15061778,42
15061784,18
15061785,6
15061788,6
15061790,6
15061795,35
15061797,18
15061798,6
15061800,6
15061801,6
15061808,10
15061811,18
15061813,18
15061815,18
15061826,3
15061905,18
15061906,6
15061908,24
15061909,18
15061910,6
15061911,18
15061912,26
15061915,18
15061917,18
15061918,6
15061926,3
15061927,6
15061928,6
15061929,6
15061930,3
15061933,26
15061934,26
15061935,6
15061937,3
15061939,26
15061941,18
15061942,18
15061944,6
15061945,18
15061946,6
15061948,18
15061949,6
15061951,18
15061952,18
15061953,6
15061958,18
15061960,18
15061961,6
15061962,6
15061963,6
15061965,18
15061966,18
15061967,6
15061968,18
15062036,6
15062038,26
15062039,26
15062046,26
15062050,18
15062051,26
15062067,6
15062069,26
15062071,18
15062080,18
15062092,6
15062094,3
15062097,18
15062099,26
15062100,6
15062101,18
15062102,6
15062103,26
15062105,3
15062106,18
15062107,3
15062108,6
15062109,18
15062111,26
15062112,3
15062114,18
15062117,18
15062118,18
15062122,6
15062124,18
15062126,18
15062130,6
15062136,35
15062137,6
15062138,3
15062139,6
15062142,6
15062145,18
15062146,35
15062149,18
15062150,6
15062151,18
15062152,6
15062153,6
15062331,6
15062332,6
15062333,6
15062334,6
15062335,18
15062337,18
15062338,26
15062346,26
15062347,18
15062348,26
15062349,18
15062350,26
15062351,18
15062353,18
15062354,26
15062356,26
15062357,3
15062358,18
15062360,6
15062361,26
15062363,18
15062366,3
15062367,18
15062368,26
15062369,18
15062370,26
