Samples,CTallo.L
15060021,28
15060025,54
15060027,28
15060039,54
15060042,28
15060056,54
15060063,28
15060070,28
15060081,54
15060085,54
15060087,28
15060097,54
15060102,54
15060112,54
15060114,54
15060120,28
15060121,54
15060122,54
15060138,28
15060160,54
15060187,28
15060188,54
15060190,54
15060191,54
15060214,54
15060313,54
15060320,54
15060345,54
15060383,54
15060420,54
15060543,54
15060570,54
15060797,54
15060846,54
15060907,28
15060910,28
15060933,54
15060964,54
15061007,54
15061011,54
15061122,54
15061204,54
15061213,54
15061215,54
15061216,54
15061225,54
15061226,54
15061228,28
15061237,54
15061256,54
15061257,28
15061259,28
15061260,54
15061262,54
15061263,54
15061264,54
15061265,54
15061270,54
15061273,54
15061274,54
15061277,54
15061282,54
15061283,54
15061286,54
15061288,54
15061289,54
15061290,54
15061291,54
15061293,28
15061295,36
15061296,28
15061298,54
15061299,28
15061303,54
15061307,28
15061312,54
15061313,54
15061314,54
15061317,54
15061318,54
15061319,54
15061320,54
15061323,54
15061324,54
15061329,28
15061334,54
15061335,54
15061337,54
15061338,28
15061340,28
15061344,54
15061345,54
15061346,54
15061347,54
15061348,54
15061349,54
15061350,54
15061352,54
15061353,54
15061355,28
15061356,54
15061357,28
15061358,54
15061360,54
15061364,54
15061365,54
15061367,54
15061369,54
15061376,54
15061378,54
15061380,28
15061382,54
15061383,28
15061384,28
15061388,54
15061390,28
15061391,28
15061392,54
15061394,54
15061396,28
15061404,28
15061406,54
15061410,54
15061411,54
15061414,28
15061415,54
15061417,28
15061418,28
15061419,28
15061420,54
15061421,54
15061422,54
15061424,28
15061425,54
15061428,54
15061430,54
15061435,28
15061436,54
15061437,54
15061439,54
15061441,28
15061442,54
15061444,54
15061445,28
15061447,54
15061449,54
15061454,54
15061458,54
15061459,28
15061461,54
15061463,54
15061469,54
15061470,54
15061471,49
15061475,54
15061476,28
15061478,28
15061479,54
15061480,28
15061481,54
15061484,45
15061485,54
15061486,28
15061489,28
15061490,28
15061491,28
15061492,28
15061493,54
15061494,28
15061495,28
15061496,28
15061499,54
15061500,54
15061501,28
15061503,54
15061504,45
15061505,49
15061507,54
15061508,28
15061509,54
15061511,54
15061515,45
15061516,28
15061517,42
15061518,54
15061521,28
15061522,28
15061524,28
15061525,54
15061526,28
15061528,28
15061529,54
15061530,54
15061533,54
15061534,54
15061535,28
15061536,28
15061540,54
15061542,54
15061543,54
15061544,28
15061546,28
15061548,54
15061549,49
15061550,28
15061553,54
15061555,42
15061556,54
15061560,54
15061561,54
15061564,54
15061565,42
15061566,28
15061568,54
15061571,54
15061575,49
15061576,49
15061577,54
15061578,28
15061579,28
15061580,42
15061583,54
15061584,54
15061585,49
15061586,54
15061588,42
15061600,54
15061602,54
15061603,28
15061604,54
15061605,54
15061608,54
15061609,28
15061610,42
15061612,28
15061613,54
15061619,28
15061621,54
15061622,54
15061623,54
15061624,28
15061628,54
15061631,28
15061632,54
15061637,53
15061638,54
15061639,49
15061640,28
15061642,54
15061645,28
15061646,54
15061647,54
15061648,53
15061649,54
15061650,54
15061651,58
15061653,54
15061654,54
15061655,54
15061658,53
15061659,49
15061661,54
15061662,28
15061665,54
15061668,54
15061670,54
15061671,54
15061673,28
15061677,28
15061678,28
15061679,28
15061680,49
15061682,49
15061683,28
15061684,54
15061686,49
15061687,54
15061688,54
15061689,28
15061704,54
15061706,54
15061709,54
15061712,54
15061713,54
15061714,28
15061717,28
15061718,49
15061720,42
15061723,28
15061724,28
15061725,28
15061726,28
15061729,28
15061730,28
15061733,54
15061734,28
15061735,54
15061736,28
15061737,28
15061738,28
15061740,28
15061742,54
15061744,54
15061747,54
15061751,62
15061752,45
15061753,28
15061754,54
15061755,54
15061756,49
15061757,28
15061758,54
15061759,54
15061760,28
15061762,28
15061765,54
15061766,54
15061767,54
15061769,54
15061771,28
15061772,54
15061773,28
15061777,28
15061778,28
15061784,28
15061785,54
15061788,54
15061790,54
15061795,28
15061797,28
15061798,54
15061800,54
15061801,54
15061808,54
15061811,54
15061813,54
15061815,54
15061826,54
15061905,58
15061906,28
15061908,28
15061909,54
15061910,54
15061911,54
15061912,54
15061915,54
15061917,54
15061918,54
15061926,54
15061927,28
15061928,28
15061929,54
15061930,28
15061933,54
15061934,28
15061935,54
15061937,54
15061939,54
15061941,54
15061942,54
15061944,54
15061945,54
15061946,28
15061948,54
15061949,54
15061951,54
15061952,28
15061953,28
15061958,54
15061960,28
15061961,28
15061962,54
15061963,28
15061965,54
15061966,28
15061967,28
15061968,54
15062036,54
15062038,54
15062039,54
15062046,54
15062050,54
15062051,54
15062067,54
15062069,28
15062071,54
15062080,54
15062092,54
15062094,28
15062097,54
15062099,54
15062100,54
15062101,28
15062102,54
15062103,54
15062105,28
15062106,28
15062107,54
15062108,28
15062109,54
15062111,28
15062112,28
15062114,28
15062117,54
15062118,54
15062122,28
15062124,45
15062126,28
15062130,54
15062136,28
15062137,28
15062138,28
15062139,54
15062142,54
15062145,28
15062146,28
15062149,28
15062150,28
15062151,28
15062152,28
15062153,54
15062331,54
15062332,54
15062333,28
15062334,54
15062335,54
15062337,54
15062338,54
15062346,54
15062347,54
15062348,54
15062349,54
15062350,54
15062351,28
15062353,54
15062354,54
15062356,42
15062357,28
15062358,28
15062360,54
15062361,54
15062363,54
15062366,54
15062367,28
15062368,54
15062369,28
15062370,54
