Samples,CSTuber.C
15062362,35
15061954,41
15062339,37
15061482,29
15062104,30
15061707,36
15061567,25
15061964,41
15061488,35
15061438,32
15061814,42
15061721,39
15061601,43
15061719,28
15061629,28
15061477,24
15061761,20
15061336,42
15061386,42
15061305,36
15061676,36
15061523,42
15061763,42
15061385,41
15062133,41
15061333,32
15061627,28
15061731,36
15061641,35
15061330,41
15061626,42
15062147,37
15061487,42
15060536,35
15061261,29
15061389,47
15060101,42
15061397,37
15061551,29
15061539,22
15062115,8
15061361,35
15061669,37
15062359,36
15061690,36
15061308,42
15062372,35
15061342,42
15061281,42
15061932,29
15061370,41
15061630,42
15061789,32
15061666,11
15062143,42
15061297,47
15061907,8
15061538,47
15062371,33
15061685,33
15062081,25
15061969,29
15061498,41
15061271,42
15062344,42
15061279,42
15062144,42
15061722,32
15061768,36
15061557,42
15061434,42
15060072,35
15061405,35
15062052,41
15062098,47
15061916,35
15061377,37
15061633,36
15061702,36
15061614,30
15061368,16
15061520,41
15060082,22
15061656,26
15061331,39
15061327,42
15062074,26
15061300,11
15061776,29
15061462,22
15061302,42
15061957,41
15061514,41
15060909,37
15062063,8
15060090,32
15061301,42
15061423,41
15061453,42
15060215,41
15062119,35
15061537,30
15061667,25
15062123,37
15061710,36
15061258,41
15061443,39
15060050,34
15060110,47
15062053,41
15061764,16
15061799,8
