Samples,CSPulpa.H
15062362,344
15061954,342
15062339,344
15061482,324
15062104,328
15061707,324
15061567,345
15061964,345
15061488,346
15061438,342
15061814,345
15061721,346
15061601,345
15061719,10
15061629,345
15061477,324
15061761,344
15061336,346
15061386,346
15061305,324
15061676,344
15061523,333
15061763,345
15061385,333
15062133,344
15061333,316
15061627,344
15061731,344
15061641,344
15061330,344
15061626,344
15062147,346
15061487,318
15060536,316
15061261,345
15061389,344
15060101,333
15061397,344
15061551,345
15061539,345
15062115,345
15061361,316
15061669,345
15062359,344
15061690,346
15061308,316
15062372,342
15061342,346
15061281,316
15061932,345
15061370,346
15061630,344
15061789,346
15061666,344
15062143,316
15061297,318
15061907,324
15061538,344
15062371,344
15061685,333
15062081,344
15061969,346
15061498,346
15061271,346
15062344,321
15061279,346
15062144,346
15061722,331
15061768,328
15061557,331
15061434,12
15060072,344
15061405,322
15062052,324
15062098,316
15061916,12
15061377,324
15061633,345
15061702,344
15061614,346
15061368,344
15061520,345
15060082,344
15061656,324
15061331,333
15061327,346
15062074,344
15061300,346
15061776,344
15061462,333
15061302,321
15061957,12
15061514,346
15060909,344
15062063,331
15060090,344
15061301,346
15061423,346
15061453,344
15060215,345
15062119,346
15061537,345
15061667,346
15062123,344
15061710,345
15061258,333
15061443,344
15060050,346
15060110,344
15062053,344
15061764,344
15061799,331
