Samples,CSBrote.L
15060021,95
15060025,95
15060027,95
15060039,95
15060042,94
15060056,95
15060063,95
15060070,95
15060081,95
15060085,95
15060087,95
15060097,94
15060102,95
15060112,95
15060114,94
15060120,95
15060121,95
15060122,95
15060138,95
15060160,95
15060187,96
15060188,95
15060190,95
15060191,95
15060214,95
15060313,95
15060320,94
15060345,95
15060383,96
15060420,95
15060543,96
15060570,96
15060797,96
15060846,94
15060907,95
15060910,96
15060933,96
15060964,96
15061007,96
15061011,95
15061122,96
15061204,94
15061213,94
15061215,94
15061216,96
15061225,96
15061226,94
15061228,95
15061237,96
15061256,95
15061257,96
15061259,94
15061260,94
15061262,94
15061263,96
15061264,94
15061265,95
15061270,96
15061273,44
15061274,96
15061277,96
15061282,96
15061283,95
15061286,39
15061288,94
15061289,94
15061290,95
15061291,94
15061293,94
15061295,96
15061296,95
15061298,94
15061299,96
15061303,94
15061307,94
15061312,94
15061313,96
15061314,96
15061317,94
15061318,94
15061319,95
15061320,94
15061323,96
15061324,95
15061329,94
15061334,96
15061335,96
15061337,94
15061338,96
15061340,96
15061344,96
15061345,94
15061346,94
15061347,96
15061348,96
15061349,96
15061350,94
15061352,43
15061353,96
15061355,94
15061356,96
15061357,94
15061358,96
15061360,94
15061364,95
15061365,96
15061367,94
15061369,96
15061376,96
15061378,96
15061380,95
15061382,96
15061383,96
15061384,96
15061388,94
15061390,94
15061391,33
15061392,96
15061394,96
15061396,94
15061404,35
15061406,96
15061410,96
15061411,94
15061414,94
15061415,96
15061417,95
15061418,94
15061419,94
15061420,96
15061421,96
15061422,94
15061424,96
15061425,96
15061428,94
15061430,94
15061435,94
15061436,94
15061437,96
15061439,94
15061441,96
15061442,94
15061444,94
15061445,94
15061447,94
15061449,96
15061454,94
15061458,96
15061459,95
15061461,96
15061463,94
15061469,94
15061470,94
15061471,96
15061475,96
15061476,94
15061478,94
15061479,94
15061480,96
15061481,95
15061484,95
15061485,94
15061486,96
15061489,94
15061490,94
15061491,95
15061492,94
15061493,95
15061494,94
15061495,96
15061496,96
15061499,96
15061500,94
15061501,96
15061503,96
15061504,95
15061505,96
15061507,94
15061508,94
15061509,94
15061511,94
15061515,96
15061516,95
15061517,96
15061518,94
15061521,96
15061522,94
15061524,94
15061525,96
15061526,95
15061528,96
15061529,96
15061530,94
15061533,96
15061534,95
15061535,96
15061536,96
15061540,94
15061542,95
15061543,94
15061544,94
15061546,96
15061548,96
15061549,94
15061550,96
15061553,96
15061555,96
15061556,94
15061560,96
15061561,94
15061564,94
15061565,96
15061566,94
15061568,94
15061571,96
15061575,95
15061576,94
15061577,94
15061578,94
15061579,94
15061580,94
15061583,96
15061584,94
15061585,94
15061586,95
15061588,94
15061600,96
15061602,96
15061603,96
15061604,96
15061605,96
15061608,94
15061609,96
15061610,94
15061612,95
15061613,96
15061619,96
15061621,94
15061622,96
15061623,96
15061624,94
15061628,96
15061631,94
15061632,96
15061637,96
15061638,96
15061639,96
15061640,96
15061642,94
15061645,96
15061646,96
15061647,94
15061648,96
15061649,96
15061650,94
15061651,94
15061653,96
15061654,94
15061655,94
15061658,96
15061659,96
15061661,96
15061662,94
15061665,94
15061668,96
15061670,94
15061671,96
15061673,96
15061677,96
15061678,95
15061679,96
15061680,95
15061682,94
15061683,96
15061684,96
15061686,94
15061687,96
15061688,95
15061689,96
15061704,94
15061706,96
15061709,95
15061712,94
15061713,94
15061714,96
15061717,94
15061718,96
15061720,96
15061723,96
15061724,96
15061725,96
15061726,94
15061729,96
15061730,96
15061733,96
15061734,96
15061735,94
15061736,94
15061737,96
15061738,94
15061740,94
15061742,96
15061744,96
15061747,95
15061751,94
15061752,96
15061753,96
15061754,94
15061755,96
15061756,96
15061757,95
15061758,96
15061759,96
15061760,96
15061762,96
15061765,94
15061766,96
15061767,94
15061769,96
15061771,94
15061772,96
15061773,96
15061777,96
15061778,96
15061784,96
15061785,96
15061788,94
15061790,94
15061795,96
15061797,43
15061798,96
15061800,94
15061801,94
15061808,94
15061811,94
15061813,94
15061815,96
15061826,94
15061905,95
15061906,96
15061908,95
15061909,95
15061910,95
15061911,95
15061912,95
15061915,95
15061917,96
15061918,94
15061926,94
15061927,94
15061928,96
15061929,95
15061930,95
15061933,94
15061934,94
15061935,94
15061937,94
15061939,31
15061941,94
15061942,94
15061944,96
15061945,96
15061946,96
15061948,96
15061949,94
15061951,94
15061952,94
15061953,94
15061958,94
15061960,94
15061961,96
15061962,94
15061963,96
15061965,94
15061966,96
15061967,96
15061968,96
15062036,94
15062038,95
15062039,95
15062046,95
15062050,96
15062051,96
15062067,94
15062069,96
15062071,95
15062080,96
15062092,94
15062094,96
15062097,96
15062099,94
15062100,94
15062101,95
15062102,94
15062103,94
15062105,94
15062106,35
15062107,94
15062108,94
15062109,94
15062111,96
15062112,94
15062114,96
15062117,96
15062118,94
15062122,95
15062124,96
15062126,96
15062130,96
15062136,39
15062137,94
15062138,94
15062139,96
15062142,94
15062145,96
15062146,96
15062149,96
15062150,94
15062151,94
15062152,94
15062153,94
15062331,95
15062332,95
15062333,96
15062334,94
15062335,96
15062337,96
15062338,95
15062346,96
15062347,94
15062348,94
15062349,96
15062350,96
15062351,96
15062353,94
15062354,94
15062356,96
15062357,94
15062358,94
15062360,94
15062361,96
15062363,96
15062366,94
15062367,94
15062368,96
15062369,96
15062370,94
