Samples,CTallo.C
15062362,44
15061954,44
15062339,44
15061482,44
15062104,44
15061707,16
15061567,44
15061964,44
15061488,16
15061438,6
15061814,16
15061721,24
15061601,16
15061719,44
15061629,16
15061477,44
15061761,44
15061336,44
15061386,44
15061305,44
15061676,44
15061523,16
15061763,16
15061385,16
15062133,6
15061333,44
15061627,44
15061731,16
15061641,44
15061330,44
15061626,16
15062147,44
15061487,6
15060536,44
15061261,44
15061389,16
15060101,44
15061397,44
15061551,44
15061539,44
15062115,16
15061361,44
15061669,44
15062359,44
15061690,6
15061308,6
15062372,44
15061342,44
15061281,44
15061932,44
15061370,44
15061630,16
15061789,44
15061666,16
15062143,16
15061297,44
15061907,48
15061538,16
15062371,44
15061685,21
15062081,6
15061969,44
15061498,6
15061271,44
15062344,44
15061279,44
15062144,16
15061722,44
15061768,44
15061557,44
15061434,16
15060072,44
15061405,44
15062052,44
15062098,44
15061916,44
15061377,44
15061633,16
15061702,6
15061614,44
15061368,44
15061520,44
15060082,44
15061656,38
15061331,44
15061327,44
15062074,44
15061300,44
15061776,44
15061462,44
15061302,44
15061957,44
15061514,44
15060909,44
15062063,44
15060090,44
15061301,44
15061423,44
15061453,16
15060215,44
15062119,16
15061537,44
15061667,16
15062123,44
15061710,16
15061258,16
15061443,44
15060050,44
15060110,16
15062053,44
15061764,44
15061799,16
