Samples,CPulpa.H
15062362,90
15061954,90
15062339,94
15061482,71
15062104,90
15061707,90
15061567,94
15061964,90
15061488,71
15061438,71
15061814,71
15061721,90
15061601,94
15061719,94
15061629,71
15061477,71
15061761,94
15061336,90
15061386,90
15061305,71
15061676,90
15061523,71
15061763,94
15061385,71
15062133,71
15061333,90
15061627,71
15061731,90
15061641,52
15061330,94
15061626,71
15062147,71
15061487,71
15060536,90
15061261,96
15061389,90
15060101,71
15061397,94
15061551,71
15061539,90
15062115,90
15061361,90
15061669,71
15062359,90
15061690,90
15061308,93
15062372,94
15061342,90
15061281,71
15061932,71
15061370,90
15061630,96
15061789,71
15061666,71
15062143,90
15061297,95
15061907,94
15061538,71
15062371,71
15061685,94
15062081,90
15061969,71
15061498,90
15061271,32
15062344,90
15061279,94
15062144,90
15061722,71
15061768,71
15061557,90
15061434,90
15060072,94
15061405,71
15062052,94
15062098,90
15061916,90
15061377,94
15061633,71
15061702,90
15061614,71
15061368,94
15061520,93
15060082,71
15061656,71
15061331,71
15061327,71
15062074,32
15061300,96
15061776,71
15061462,96
15061302,94
15061957,71
15061514,90
15060909,71
15062063,90
15060090,52
15061301,90
15061423,71
15061453,90
15060215,71
15062119,71
15061537,94
15061667,90
15062123,71
15061710,96
15061258,32
15061443,90
15060050,71
15060110,71
15062053,71
15061764,94
15061799,90
