SAMPLES,GEBVs(BA),ACTUAL
15061614,312.793,324
15061337,309.124,314
15062067,321.516,346
15061752,308.828,307
15061930,315.378,324
15061566,308.014,314
15061773,309.091,307
15061575,307.717,307
15061344,307.833,306
15061282,312.864,306
15061926,313.14,316
15061906,312.583,307
15061665,323.157,323
15061397,308.114,304
15060187,310.355,316
15061534,309.014,308
15062362,308.94,309
15061521,314.032,324
15061633,319.425,309
15061659,315.82,319
15061673,318.236,327
15062356,308.88,307
15061361,308.707,307
15061729,307.542,317
15061755,308.763,314
15061496,308.468,314
15062368,334.066,336
15062339,311.606,321
15061577,307.992,307
15062136,331.53,314
15061529,309.034,314
15061396,309.636,307
15061482,321.338,327
15061814,324.047,317
15061769,325.833,339
15061610,308.525,307
15062147,334.401,346
15061358,309.861,306
15061550,308.21,314
15061271,325.322,307
15060214,319.151,314
15062074,309.657,307
15061507,308.382,309
15061383,308.368,307
15062149,334.375,341
15060042,314.171,307
15061647,309.789,306
15061477,311.304,307
15061586,315.69,344
15062347,309.978,307
15061958,311.526,336
15062346,308.963,301
15061639,324.836,322
15061757,311.115,307
15061299,313.217,309
15061653,333.946,336
15061761,309.262,307
15062146,309.649,307
15061655,322.754,329
15061329,308.507,306
15061535,308.931,307
15061578,308.426,329
15061730,307.697,319
15061627,315.285,320
15061500,320.771,328
15061717,309.647,306
15062122,317.831,307
15061435,311.541,302
15061706,324.911,317
15061624,307.891,329
15060121,310.09,307
15061423,325.223,324
15061488,319.3,308
15061916,308.409,307
15061487,311.963,307
15061281,325.355,320
15061937,309.268,307
15061493,308.344,314
15061296,315.012,314
15061649,312.846,314
15061307,307.669,306
15062133,308.431,307
15062350,309.911,308
15061338,308.222,307
15060027,308.029,307
15061011,309.694,302
15061795,309.471,314
15062358,319.521,329
15061216,318.688,308
15061300,309.643,306
15061462,307.112,302
15061516,328.693,346
15061394,309.333,307
15061453,309.995,309
15062123,307.878,307
15060110,307.689,307
15061964,309.59,307
15061542,307.957,317
15060570,311.728,322
15061785,315.527,322
15061766,307.732,307
15060021,309.803,307
15061364,308.474,314
15060050,316.003,327
15061637,309.65,307
15062369,334.258,336
15061345,334.351,339
15061966,311.916,307
15061737,307.879,315
15060112,308.465,307
15061751,315.82,312
15061567,311.407,339
