SAMPLES,c1_12386,c1_13243,c1_13289,c1_15219,c1_16171,c1_16540,c1_2112,c1_2640,c1_4192,c1_513,c1_6192,c2_10539,c2_12760,c2_12779,c2_12788,c2_13821,c2_25662,c2_27928,c2_32334,c2_33514,c2_34179,c2_38667,c2_39834,c2_41405,c2_41963,c2_42169,c2_43243,c2_45168,c2_46777,c2_50220,c2_51800,c2_55072,c2_55199,c2_56145,c2_58373
15060021,2,4,3,3,1,1,0,4,3,0,3,4,1,3,1,2,4,2,4,4,3,3,1,4,1,1,2,3,3,2,4,1,2,4,3
15060027,3,3,4,2,0,1,0,3,2,3,3,2,1,4,1,2,4,3,4,4,3,4,2,4,4,0,2,4,3,2,3,4,1,4,4
15060039,2,4,2,1,0,2,1,4,3,0,3,3,1,3,1,0,4,3,4,4,2,2,2,3,1,0,1,3,2,1,3,3,1,3,3
15060042,2,4,3,1,1,2,0,3,4,2,3,3,1,3,1,1,3,3,3,4,2,3,1,4,2,1,1,3,1,0,3,3,2,4,2
15060050,2,4,3,1,1,2,2,3,3,3,3,1,0,4,0,1,4,3,3,4,3,3,2,3,2,1,0,3,2,2,3,1,3,3,3
15060056,3,3,2,2,1,2,0,3,4,4,2,3,0,4,0,4,2,3,3,4,1,3,4,4,4,1,2,4,4,1,3,4,1,4,4
15060063,2,2,2,1,0,2,0,2,4,4,3,2,1,3,1,3,3,4,4,4,2,2,3,4,3,0,2,4,1,2,2,4,2,4,2
15060070,4,2,3,0,0,2,0,2,2,2,3,1,0,4,0,1,3,3,4,4,2,4,3,4,3,0,2,4,2,0,4,3,3,4,4
15060072,4,3,1,1,3,1,0,2,2,2,2,3,0,4,1,3,3,4,4,4,1,2,2,4,3,2,0,4,1,3,1,2,1,4,4
15060082,3,2,4,0,1,2,0,3,3,4,4,2,0,4,0,1,4,1,4,4,4,3,2,4,3,1,2,3,2,3,3,2,1,4,4
15060085,3,3,2,2,0,0,0,4,3,3,3,3,1,3,1,3,3,3,4,3,1,2,2,4,3,0,4,4,3,2,4,3,2,4,3
15060097,2,3,1,1,0,1,2,4,4,1,3,3,0,4,1,3,2,4,4,3,2,2,3,2,3,0,0,4,3,2,2,3,1,2,3
15060101,4,1,2,2,1,2,0,2,2,3,3,3,0,4,0,3,2,4,3,3,3,3,4,4,3,1,2,4,2,1,2,2,2,4,4
15060102,2,4,3,2,0,1,0,3,3,3,4,2,0,4,0,3,3,4,4,4,2,3,3,4,4,0,2,4,2,2,3,4,1,4,3
15060110,4,2,3,0,0,2,0,2,2,2,3,1,0,4,0,1,3,3,4,4,2,4,3,4,3,0,2,4,2,0,4,3,3,4,4
15060112,3,3,4,1,0,2,0,3,3,2,4,3,1,4,1,2,3,3,3,4,2,4,1,4,4,0,3,4,2,1,3,4,2,4,4
15060114,4,3,3,2,0,2,1,3,3,3,3,3,1,3,1,1,3,3,4,4,1,4,3,3,3,0,1,4,2,2,3,2,2,3,3
15060120,1,2,3,2,1,4,0,3,4,3,4,3,0,4,0,2,4,3,4,4,3,2,2,4,2,1,1,3,2,2,3,1,1,4,4
15060121,3,2,4,1,0,1,0,3,3,4,4,3,0,4,0,2,3,4,3,3,1,4,4,4,3,0,4,4,4,2,3,4,2,4,4
15060122,2,4,3,1,1,2,1,3,3,3,3,1,0,4,0,1,4,3,3,4,3,3,2,3,2,1,0,3,2,2,3,1,3,3,3
15060138,3,3,4,2,0,3,0,2,3,1,4,2,1,4,1,2,3,3,4,4,1,4,2,4,4,0,2,4,0,2,3,3,3,4,3
15060160,2,4,2,1,2,2,1,3,3,3,3,1,0,4,0,2,4,3,2,4,3,3,2,3,2,2,0,3,2,2,2,2,3,3,3
15060187,0,1,3,1,0,2,0,1,3,2,4,3,0,4,0,1,2,3,3,4,3,3,4,4,2,0,3,3,1,2,1,2,0,4,3
15060188,4,2,2,1,1,2,0,2,2,2,3,1,NA,4,0,1,3,3,3,4,3,3,3,4,3,0,2,4,2,1,4,3,3,4,4
15060190,2,2,4,2,0,2,0,2,3,2,4,3,0,4,0,1,4,4,3,4,1,4,2,4,4,0,2,4,3,3,4,4,1,4,4
15060191,3,2,3,3,0,1,0,3,2,3,3,3,0,4,0,1,3,4,3,3,2,3,3,4,4,0,1,4,3,2,2,4,2,4,4
15060215,4,3,3,2,0,2,1,3,3,3,3,3,1,3,1,1,3,3,3,4,1,4,3,3,3,0,1,4,2,2,3,2,2,3,3
15060313,3,3,2,1,1,1,1,4,2,1,2,3,2,2,2,2,3,3,3,4,4,4,1,3,2,1,1,3,3,3,3,1,2,3,2
15060345,3,1,2,1,0,2,0,2,3,4,4,3,0,4,0,3,3,3,3,3,0,4,2,4,4,0,3,4,3,2,2,4,2,4,4
15060383,3,3,2,1,1,1,1,4,2,1,2,3,2,2,2,2,3,3,3,4,4,4,1,3,2,1,1,3,3,3,3,1,2,3,2
15060420,3,1,2,1,0,2,0,2,3,4,4,3,0,4,0,3,3,3,3,3,0,4,2,4,4,0,3,4,3,2,2,4,2,4,4
15060543,2,2,0,2,0,3,0,2,4,2,4,0,0,4,1,2,3,4,3,3,2,4,4,4,4,0,4,4,1,4,2,4,0,4,4
15060570,2,2,2,0,0,1,0,2,2,4,4,1,0,4,1,2,2,2,3,4,3,4,2,4,3,0,2,3,2,2,1,3,2,4,3
15060797,3,2,3,2,0,0,0,2,2,1,4,2,0,4,0,4,2,4,3,3,3,2,3,4,3,0,3,4,2,3,3,3,2,4,4
15060846,2,4,3,1,1,2,1,3,3,3,3,1,0,4,0,1,4,3,2,4,3,3,2,3,2,1,0,3,2,2,3,1,3,3,3
15060907,3,3,1,1,0,3,0,3,4,4,4,0,0,4,1,1,2,3,3,4,2,4,2,4,3,0,2,3,3,2,3,2,1,4,4
15060909,2,4,2,2,0,1,2,4,3,2,4,2,0,4,0,2,4,4,4,4,1,2,3,2,3,0,2,4,3,1,3,4,1,2,4
15060910,4,3,2,1,1,2,0,3,2,3,2,3,1,3,1,1,2,4,3,4,1,4,4,4,3,1,1,4,2,2,1,2,2,4,3
15061007,4,2,1,1,1,1,0,2,4,4,4,2,1,4,1,1,4,3,2,4,2,3,4,4,4,1,2,3,2,3,2,2,1,4,3
15061011,3,2,3,2,0,1,0,3,2,2,3,4,0,4,0,1,4,4,4,4,2,4,3,4,4,0,1,4,3,2,2,3,2,4,4
15061122,2,4,3,1,1,2,1,3,3,3,3,1,0,4,0,1,4,3,2,4,3,3,2,3,2,1,0,3,2,2,3,1,3,3,3
15061204,4,3,2,0,1,2,0,1,3,2,3,2,0,4,1,4,1,4,3,4,1,2,2,4,2,2,2,4,3,1,2,4,2,4,4
15061213,2,4,2,1,0,2,1,4,3,0,3,3,1,3,1,0,4,3,4,4,2,2,2,3,1,0,1,3,2,1,3,3,1,3,3
15061215,2,4,2,1,0,2,1,4,3,0,3,3,1,3,1,0,4,3,4,4,1,2,2,3,2,0,1,3,2,1,3,3,1,3,3
15061216,3,3,1,1,2,3,0,3,4,3,3,2,0,4,0,3,3,4,4,4,1,3,3,4,4,2,2,4,4,1,2,3,0,4,4
15061225,4,3,3,2,0,2,1,3,3,3,3,3,1,3,1,1,3,3,3,4,1,4,3,3,3,0,2,4,2,2,3,2,1,3,NA
15061226,4,3,1,0,0,1,0,4,2,4,4,2,0,4,1,3,3,3,3,4,3,4,2,4,4,0,1,3,2,2,3,4,1,4,3
15061237,2,2,0,2,0,3,0,2,4,2,4,0,0,4,1,2,3,4,3,3,2,4,4,4,4,0,4,4,1,4,2,4,0,4,4
15061256,3,3,2,2,1,1,0,3,2,3,4,3,1,4,1,2,4,3,2,3,3,2,2,4,4,0,3,4,3,2,4,4,1,4,4
15061257,3,1,2,1,0,2,0,4,4,1,4,0,0,4,1,1,2,4,3,3,1,4,4,4,4,0,4,4,2,4,4,3,0,4,4
15061258,3,2,3,0,1,2,0,4,3,2,4,2,0,4,0,2,3,3,3,4,3,3,3,4,3,1,3,3,2,1,4,3,2,4,4
15061259,4,2,3,0,0,2,0,2,2,2,3,1,0,4,0,1,3,3,3,4,2,4,3,4,3,0,2,4,2,0,4,3,3,4,4
15061261,3,2,3,2,0,1,0,3,2,2,3,4,0,4,0,1,4,4,3,4,2,4,3,4,4,0,1,4,3,2,2,3,2,4,4
15061262,4,1,2,2,1,2,0,2,2,3,3,3,0,4,0,3,2,4,2,3,3,3,4,4,3,1,2,4,2,1,2,2,2,4,4
15061263,4,1,2,1,0,3,0,1,2,3,3,4,0,4,0,3,1,4,3,3,3,3,4,4,4,0,1,4,2,1,2,2,2,4,4
15061264,4,1,2,2,1,2,0,2,2,3,3,3,NA,NA,NA,2,2,4,3,3,3,3,4,4,3,1,2,4,2,1,2,2,2,4,4
15061265,2,3,3,1,0,2,0,4,1,4,3,3,1,4,1,2,3,2,4,3,1,4,3,4,4,0,1,4,3,2,3,3,2,4,4
15061270,3,2,3,2,0,1,0,3,3,3,3,3,0,4,0,2,3,2,3,4,1,4,1,4,3,0,3,4,3,2,2,3,3,4,3
15061271,3,3,4,1,0,0,0,4,3,4,4,3,0,4,1,1,3,4,3,4,2,4,4,4,4,0,3,4,2,2,2,3,1,4,4
15061273,2,3,3,1,0,2,0,4,1,4,3,3,1,4,1,2,3,2,3,3,1,4,3,4,4,0,1,4,3,2,3,3,2,4,4
