SAMPLES,c1_10109,c1_12015,c1_12320,c1_12345,c1_13135,c1_15044,c1_2112,c1_307,c2_15045,c2_19584,c2_21934,c2_34789,c2_34863,c2_34864,c2_34866,c2_41405,c2_41412,c2_42655,c2_43998,c2_44000,c2_44307,c2_4480,c2_46081,c2_46100,c2_46107,c2_46777,c2_50983,c2_51974,c2_52905,c2_53943,c2_56145,c2_56238,c2_57284,c2_8867,c2_942
15060021,3,1,4,4,0,2,0,4,2,1,3,3,1,4,2,4,4,0,3,3,0,3,4,4,4,3,3,3,4,4,4,2,0,4,3
15060027,2,2,3,3,0,1,0,3,1,1,3,1,2,3,2,4,4,0,3,3,0,0,4,4,4,3,4,3,4,4,4,2,1,4,3
15060039,1,2,4,4,1,1,1,3,1,1,2,1,2,4,1,3,3,1,4,4,1,1,4,4,4,2,4,3,4,4,3,4,0,3,4
15060042,0,2,4,4,0,3,0,3,2,0,3,2,1,4,2,4,4,0,3,3,0,1,4,4,4,1,3,3,4,4,4,4,0,4,4
15060050,2,2,3,3,1,3,2,3,0,1,1,1,1,3,3,3,3,0,3,3,1,0,4,4,4,2,3,3,4,4,3,4,1,4,3
15060056,0,1,3,3,0,1,0,3,3,3,2,1,2,3,0,4,4,0,3,3,0,3,4,4,4,4,3,3,4,4,4,3,1,4,4
15060063,1,1,3,3,0,2,0,4,1,4,4,2,3,3,0,4,4,1,4,4,0,3,4,4,4,1,4,3,4,4,4,2,1,4,3
15060070,3,2,4,4,0,1,0,3,3,2,2,1,1,3,3,4,4,0,4,4,0,2,4,4,4,2,4,3,4,4,4,3,1,4,4
15060072,2,2,3,3,0,2,0,2,1,3,3,2,1,3,0,4,4,1,4,4,0,3,3,3,3,1,1,3,3,3,4,3,2,4,3
15060082,2,3,3,3,0,0,0,2,1,4,3,1,2,3,0,4,4,0,3,3,1,2,4,4,4,2,4,3,4,4,4,4,0,4,4
15060085,3,1,4,4,1,0,0,4,1,1,2,3,0,4,4,4,3,0,3,3,1,2,3,3,3,3,4,3,3,4,4,3,0,3,2
15060097,2,2,4,4,2,1,2,3,3,1,2,3,1,4,0,2,2,2,3,3,1,3,4,4,4,3,4,3,4,4,2,4,1,2,4
15060101,3,2,3,3,0,2,0,4,2,3,2,2,1,3,1,4,4,0,3,3,0,0,4,4,4,2,4,3,4,4,4,4,1,4,4
15060102,1,2,4,4,1,1,0,4,0,2,3,2,1,4,3,4,3,0,4,4,0,1,4,4,4,2,4,3,4,4,4,3,0,3,4
15060110,3,2,4,4,0,1,0,3,3,2,2,1,1,3,3,4,4,0,4,4,0,2,4,4,4,2,4,3,4,4,4,3,1,4,4
15060112,1,3,4,4,0,2,0,4,1,0,2,1,1,4,3,4,4,0,3,3,0,1,4,4,4,2,4,3,4,4,4,4,0,4,4
15060114,2,3,4,4,1,1,1,3,2,2,1,2,0,4,2,3,3,0,3,3,0,2,4,4,4,2,4,3,4,3,3,4,1,3,4
15060120,2,2,4,4,0,1,0,3,1,3,3,2,2,4,1,4,4,0,3,3,0,2,4,4,4,2,4,3,4,4,4,3,0,4,4
15060121,1,1,4,4,0,1,0,4,2,2,2,3,1,4,1,4,4,1,4,4,1,1,4,4,4,4,4,3,4,4,4,4,1,4,4
15060122,2,2,3,3,1,3,1,3,0,1,1,1,1,3,3,3,3,0,3,3,1,0,4,4,4,2,2,3,4,4,3,4,1,4,3
15060138,2,2,3,3,0,3,0,4,3,0,1,2,1,4,2,4,4,0,4,4,0,2,4,4,4,0,4,3,3,4,4,4,1,4,4
15060160,3,2,3,3,1,3,1,2,0,1,2,1,1,3,3,3,3,0,3,3,1,0,4,4,4,2,2,3,4,4,3,4,1,4,3
15060187,4,1,4,4,0,2,0,4,2,2,2,2,1,4,3,4,4,0,3,3,0,3,4,4,4,1,3,3,4,4,4,4,0,4,3
15060188,3,2,4,4,0,1,0,3,3,2,2,2,1,3,2,4,4,0,4,3,0,2,4,4,NA,2,4,3,4,4,4,3,1,4,3
15060190,1,0,4,4,0,0,0,4,2,2,1,1,1,3,2,4,4,1,3,3,1,2,4,4,4,3,4,3,4,4,4,4,0,4,4
15060191,2,1,4,4,0,1,0,4,3,3,2,1,0,4,1,4,4,0,4,4,0,0,4,4,4,3,4,2,4,4,4,4,1,4,4
15060215,2,3,4,4,1,1,1,3,3,2,1,2,0,4,2,3,3,0,3,3,0,2,4,4,4,2,4,3,4,3,3,4,1,3,4
15060313,3,1,4,4,1,1,1,2,1,3,3,2,0,4,1,3,3,0,2,2,1,4,4,4,4,3,3,3,4,4,3,3,0,4,3
15060345,2,0,4,4,0,2,0,4,2,0,2,3,2,4,2,4,4,0,4,4,1,1,4,4,4,3,4,3,4,4,4,4,0,4,4
15060383,3,1,4,4,1,1,1,2,1,3,3,2,0,4,1,3,3,0,2,2,1,4,4,4,4,3,4,3,4,4,3,3,0,4,3
15060420,2,0,4,4,0,2,0,4,2,0,2,3,2,4,2,4,4,0,4,4,1,1,4,4,4,3,4,3,4,4,4,4,0,4,4
15060543,2,2,4,4,0,2,0,2,3,2,1,1,2,2,2,4,4,0,4,4,0,2,4,4,4,1,4,3,4,4,4,3,2,4,4
15060570,3,2,4,4,0,1,0,4,1,2,3,2,2,4,2,4,4,0,4,4,0,2,4,4,4,2,4,3,4,4,4,3,0,4,4
15060797,3,1,3,3,0,1,0,3,1,4,1,1,0,4,3,4,4,0,3,3,0,3,4,4,4,2,4,3,4,4,4,2,0,4,4
15060846,2,2,3,3,1,3,1,3,0,1,1,1,1,3,3,3,3,0,3,3,1,0,4,4,4,2,2,3,4,4,3,4,1,4,3
15060907,1,3,3,3,0,2,0,2,2,0,2,1,2,4,2,4,4,0,4,4,0,2,4,4,4,3,4,3,4,4,4,NA,0,4,4
15060909,2,2,4,4,2,0,2,3,2,0,2,1,1,4,2,2,2,2,4,4,1,1,4,4,4,3,4,3,4,4,2,4,0,2,4
15060910,2,1,4,4,0,2,0,3,2,2,1,2,1,4,1,4,4,0,2,2,0,3,3,3,3,2,4,3,3,2,4,4,0,4,4
15061007,1,1,3,3,0,1,0,4,3,1,2,1,1,3,3,4,4,1,2,2,0,1,3,3,3,2,2,3,2,4,4,4,0,4,4
15061011,2,0,4,4,0,1,0,3,2,2,1,0,0,4,2,4,4,0,3,3,0,1,4,4,4,3,4,3,4,4,4,4,0,4,4
15061122,2,2,3,3,1,3,1,3,0,1,1,1,1,3,3,3,3,0,3,3,1,0,4,4,4,2,2,3,4,4,3,4,1,4,3
15061204,1,3,3,3,1,1,0,3,0,4,2,1,0,4,2,4,4,1,4,4,0,4,4,4,4,3,4,3,4,4,4,2,0,3,1
15061213,1,2,4,4,1,1,1,3,1,1,2,1,2,4,1,3,3,1,4,4,1,1,4,4,4,2,4,3,4,4,3,4,0,3,4
15061215,1,2,4,4,1,1,1,3,1,1,2,1,2,4,1,3,3,1,4,4,1,1,4,4,4,2,4,3,4,4,3,4,0,3,4
15061216,1,3,4,4,1,2,0,3,0,3,2,0,3,3,0,4,4,0,3,3,0,3,4,4,4,4,4,3,4,4,4,3,1,3,4
15061225,2,3,4,4,1,1,1,3,2,2,1,2,0,4,2,3,3,0,3,3,0,2,4,4,4,2,4,2,4,3,3,4,1,3,4
15061226,1,4,4,4,0,2,0,4,1,3,3,2,1,4,2,4,4,0,4,4,0,3,4,4,4,2,4,3,4,4,4,3,2,4,4
15061237,2,2,4,4,0,2,0,2,3,2,1,1,2,2,2,4,4,0,4,4,0,2,4,4,4,1,4,3,4,4,4,3,2,4,4
15061256,2,2,4,4,1,2,0,3,2,1,1,2,0,4,3,4,3,0,4,4,0,3,4,4,4,3,4,3,4,4,4,2,0,3,4
15061257,3,2,3,3,0,2,0,2,3,2,1,2,1,3,3,4,4,0,3,3,0,2,4,4,4,2,2,3,4,4,4,4,2,4,4
15061258,3,2,4,4,0,0,0,4,1,1,2,2,1,4,3,4,4,0,3,3,0,3,4,4,4,2,2,3,4,4,4,3,0,4,4
15061259,3,2,4,4,0,1,0,3,3,2,2,1,1,3,3,4,4,0,4,4,0,2,4,4,4,2,4,3,4,4,4,3,1,4,4
15061261,2,0,4,4,0,1,0,3,2,2,1,0,0,4,2,4,4,0,3,3,0,1,4,4,4,3,4,3,4,4,4,4,0,4,4
15061262,3,2,3,3,0,2,0,4,2,3,2,2,1,3,1,4,4,0,3,3,0,0,4,4,4,2,4,3,4,4,4,4,1,4,4
15061263,3,1,4,4,0,0,0,4,3,2,2,1,0,4,2,4,4,0,4,4,0,0,4,4,4,2,4,3,4,4,4,4,1,4,4
15061264,2,2,3,3,0,2,0,4,1,2,2,2,1,3,1,4,4,0,3,3,0,1,4,4,4,2,4,3,4,4,4,4,1,4,4
15061265,1,1,3,3,0,1,0,4,1,1,2,1,1,4,2,4,4,1,3,3,0,2,4,4,4,3,2,3,4,4,4,3,1,4,4
15061270,2,1,4,4,0,3,0,3,1,1,3,0,1,4,1,4,4,0,3,3,1,0,4,4,4,3,2,3,4,4,4,4,1,4,4
15061271,3,0,3,3,0,3,0,4,0,3,4,2,2,3,0,4,4,0,3,3,0,4,3,3,3,2,4,3,3,3,4,2,1,4,4
15061273,1,1,3,3,0,1,0,4,1,1,2,1,1,4,2,4,4,1,3,3,0,2,4,4,4,3,2,3,4,4,4,3,1,4,4
15061274,0,3,3,3,0,3,0,3,2,0,3,1,2,4,2,4,4,0,3,3,0,1,4,4,4,3,4,3,4,4,4,4,0,4,4
15061277,2,2,4,3,1,1,1,4,1,2,2,2,2,1,1,3,3,0,4,4,1,2,4,4,4,3,4,3,4,4,3,4,0,3,4
15061279,2,1,3,3,0,3,0,4,0,1,4,0,1,4,2,4,4,0,3,3,0,3,4,4,4,2,4,3,4,3,4,3,2,4,4
15061281,1,2,4,4,1,1,1,3,1,1,2,1,2,4,1,3,3,1,4,4,1,1,4,4,4,2,4,3,4,4,3,4,0,3,4
15061283,1,3,4,4,0,2,0,4,1,0,2,1,1,4,3,4,4,0,3,3,0,1,4,4,4,2,4,3,4,4,4,4,0,4,4
15061286,3,0,3,3,0,3,0,4,0,3,4,2,2,3,0,4,4,0,3,3,0,4,3,3,3,2,4,3,3,3,4,2,1,4,4
15061288,1,2,4,4,1,1,1,3,1,1,2,1,2,4,1,3,3,1,4,4,1,1,4,4,4,2,4,3,4,4,3,4,0,3,4
15061289,1,2,4,4,1,1,1,3,1,1,2,1,2,4,1,3,3,1,4,4,1,1,4,4,4,2,4,3,4,4,3,4,0,3,4
15061290,3,2,4,4,1,0,1,4,1,1,2,3,0,4,2,3,3,2,4,4,2,3,4,4,4,3,4,3,4,4,3,3,0,3,4
15061291,3,1,4,4,0,1,0,4,0,2,2,1,1,3,2,4,4,0,2,2,0,1,4,4,4,4,4,3,4,3,4,4,0,4,3
15061293,1,3,4,4,0,2,0,4,1,1,3,0,1,4,3,4,4,0,4,4,0,3,4,4,4,3,4,3,4,4,4,3,0,4,3
15061295,2,1,4,4,0,2,0,4,3,2,3,1,1,4,3,4,4,0,4,4,0,4,4,4,4,2,4,3,4,4,4,3,0,4,3
15061296,2,1,4,4,0,2,0,4,1,2,2,0,1,3,3,4,4,0,3,3,1,1,4,4,4,4,4,3,4,4,4,3,0,4,4
15061297,2,2,4,4,1,2,0,3,2,1,1,2,0,4,3,4,3,0,4,4,0,3,4,4,4,3,4,3,4,4,4,2,0,3,4
15061298,2,2,3,3,0,3,0,4,1,2,4,0,2,4,2,4,4,0,2,2,0,2,4,4,4,2,3,3,4,4,4,4,0,4,4
15061300,3,3,4,4,0,1,0,3,2,2,2,2,2,3,2,4,4,0,4,4,1,0,4,4,4,3,4,3,4,4,4,3,1,4,4
15061301,2,2,3,3,0,3,0,4,1,2,4,0,2,4,2,4,4,0,2,2,0,2,4,4,4,2,3,3,4,4,4,4,0,4,4
15061302,1,1,3,3,0,2,0,3,1,1,2,2,2,3,1,4,4,0,4,4,0,2,4,4,4,2,4,3,4,4,4,4,0,4,4
15061303,2,2,4,4,2,0,2,3,2,1,2,1,1,4,2,2,2,2,4,4,2,1,4,4,4,3,4,3,4,4,2,4,0,2,4
15061305,3,0,4,4,0,2,0,4,1,2,1,3,2,3,1,4,4,0,3,3,0,2,3,3,3,1,4,3,3,4,4,4,1,4,4
15061307,1,3,4,4,0,3,0,3,3,1,4,2,2,3,1,4,4,0,4,4,0,1,4,4,4,1,4,3,4,4,4,4,0,3,4
15061312,3,1,4,4,0,1,0,4,0,2,2,1,1,3,2,4,4,0,2,2,0,1,4,4,4,4,4,3,4,3,4,4,0,4,3
15061313,2,1,4,4,0,1,0,4,3,3,2,1,0,4,1,4,4,0,4,4,0,0,4,4,4,3,4,3,4,4,4,4,1,4,4
15061314,1,1,3,3,0,3,0,4,1,1,3,1,2,4,1,4,4,0,2,2,0,2,3,3,3,3,4,3,3,3,4,3,0,4,4
15061317,3,2,3,3,0,2,0,4,2,3,2,2,1,3,1,4,4,0,3,3,0,0,4,4,4,2,4,3,4,4,4,4,1,4,4
15061320,4,3,4,4,1,1,1,4,2,2,2,1,0,4,1,3,3,2,4,4,1,2,4,2,4,2,4,3,4,4,3,4,2,3,3
15061323,2,3,4,4,1,1,1,3,2,2,1,2,0,4,2,3,3,0,3,3,0,2,4,4,4,2,4,3,4,3,3,4,1,3,4
15061324,4,3,4,4,1,0,1,0,2,4,2,2,0,4,1,3,3,0,3,3,0,2,3,3,NA,2,4,3,3,2,3,3,2,3,3
15061327,2,0,4,4,0,1,0,3,2,2,1,0,0,4,2,4,4,0,3,3,0,1,4,4,4,3,4,3,4,4,4,4,0,4,4
15061329,1,1,4,4,0,1,0,4,0,1,3,1,1,4,3,4,4,0,3,3,1,0,4,4,4,4,3,3,4,4,4,4,1,4,4
