SAMPLES,c1_10031,c1_10915,c1_11124,c1_11137,c1_11459,c1_11806,c1_12354,c1_15219,c1_15689,c1_4171,c1_9356,c2_15796,c2_18788,c2_20521,c2_20714,c2_22205,c2_24454,c2_30596,c2_36021,c2_38787,c2_38952,c2_44804,c2_46710,c2_48033,c2_48715,c2_49938,c2_51053,c2_52477,c2_52898,c2_53177,c2_54139,c2_58236,c2_63,c2_6466,c2_7785
15061942,3,1,1,2,4,3,4,1,3,4,3,0,1,1,2,2,1,3,4,4,3,2,4,0,4,1,1,4,2,0,3,2,1,2,4
15061763,3,0,0,2,4,3,2,0,2,3,4,0,1,0,3,3,2,2,4,4,4,1,4,1,4,1,0,3,2,1,4,2,0,2,3
15061801,1,0,0,4,2,3,4,2,4,3,2,1,3,3,2,2,1,1,4,4,3,2,4,2,4,1,2,4,2,0,4,2,2,4,4
15061494,3,0,0,3,3,4,4,1,3,3,4,0,3,0,2,2,2,3,4,4,4,2,4,1,4,0,2,4,2,0,4,2,0,3,4
15061613,0,1,0,2,3,3,4,2,4,4,3,0,3,1,2,1,0,3,4,3,2,4,2,0,3,0,3,4,1,0,4,3,1,4,4
15062137,2,0,1,2,4,4,4,1,2,3,3,0,1,0,1,2,1,2,3,4,3,4,4,1,4,1,2,3,1,1,3,3,1,3,3
15061319,4,0,0,2,4,4,2,2,3,4,4,1,4,0,1,3,0,2,4,4,4,3,3,0,3,0,2,4,1,1,3,3,1,4,3
15062142,2,2,0,3,4,4,3,4,2,4,4,1,3,2,1,2,0,2,4,4,4,0,3,0,3,0,2,4,2,0,4,2,0,3,4
15060320,1,1,0,2,4,3,4,1,4,3,4,0,2,0,3,3,0,2,4,4,4,1,3,1,3,1,1,4,1,0,4,3,0,4,4
15061768,2,0,0,2,4,3,4,2,4,4,2,0,3,1,1,4,1,1,4,4,4,1,3,0,3,NA,1,4,3,0,4,1,1,4,4
15061522,3,0,0,2,3,4,4,1,3,3,2,0,3,1,2,3,0,4,3,4,2,2,4,1,4,1,1,4,1,0,4,3,0,3,4
15060081,3,0,0,2,4,NA,2,2,3,4,4,1,4,0,1,3,0,2,3,4,4,3,2,0,3,0,2,4,1,1,3,3,1,4,3
15061656,3,1,0,3,4,3,4,2,2,3,3,2,2,2,1,1,1,1,4,4,3,1,2,1,2,1,1,4,1,0,2,3,1,3,4
15061759,2,0,0,0,4,2,4,2,4,4,4,1,3,1,2,4,0,2,4,4,4,3,3,0,3,1,1,4,2,0,3,2,1,4,4
15061928,2,0,0,4,4,4,4,2,2,4,4,1,3,1,2,0,1,3,4,4,4,1,4,1,4,0,1,4,3,0,4,1,0,4,4
15061454,2,1,0,2,4,4,3,1,3,4,2,1,4,0,1,2,1,3,4,4,3,1,4,0,4,0,1,4,3,0,3,1,0,4,4
15061605,2,0,0,4,NA,3,4,1,3,2,3,2,3,3,2,2,0,3,3,4,2,1,3,0,4,1,3,4,2,0,4,2,1,4,4
15060087,3,0,1,1,2,3,3,0,3,4,3,0,1,0,2,4,1,3,4,4,3,4,4,1,4,1,0,3,3,1,4,1,0,3,3
15061619,2,0,1,2,4,4,4,1,2,3,3,0,1,0,1,2,1,3,3,4,3,4,4,1,4,1,2,3,1,1,3,3,1,3,3
15060090,3,0,0,3,3,4,3,1,4,2,3,2,3,2,1,2,0,2,3,4,2,1,2,1,2,0,1,4,1,0,4,3,1,4,4
15061731,2,0,1,2,4,4,4,1,2,3,3,0,1,0,1,2,1,3,3,4,3,4,4,1,4,1,2,3,1,1,3,3,1,3,3
15061655,2,1,0,4,4,4,2,2,3,3,4,2,1,1,3,1,2,0,4,4,3,2,2,0,3,0,2,4,0,1,3,4,1,2,3
15061661,0,1,0,2,3,3,4,2,4,4,3,0,3,1,2,1,0,3,4,3,2,4,2,0,3,0,3,4,1,0,4,3,1,4,4
15061499,3,0,0,3,4,4,1,3,4,4,4,2,3,1,1,3,0,2,4,4,4,4,1,0,1,1,2,3,2,0,4,2,2,4,4
15061647,4,0,0,2,4,4,2,2,3,4,4,1,4,0,1,3,0,2,4,4,4,3,3,0,3,0,2,4,1,1,3,3,1,4,3
15061612,4,0,0,3,4,4,2,0,1,3,3,0,3,1,2,3,1,3,4,4,2,0,4,1,4,0,0,4,1,2,3,3,0,3,2
15061742,3,0,0,3,4,4,1,3,4,4,4,2,3,1,1,3,0,2,4,4,4,4,1,0,1,1,2,3,2,0,4,2,2,4,4
15061710,3,0,0,2,3,4,4,3,3,2,2,0,3,1,2,2,1,2,4,4,2,1,4,2,4,0,2,4,2,0,2,2,0,4,4
15062372,3,1,1,0,4,4,4,2,3,3,4,1,3,1,2,2,1,1,4,4,4,1,3,1,3,0,1,4,2,0,3,2,1,4,4
15061583,0,1,0,2,3,3,4,2,4,4,3,0,3,1,2,1,0,3,4,3,2,4,2,0,3,0,3,4,1,0,4,3,1,4,4
15061767,2,1,1,2,4,3,4,1,3,3,3,1,3,0,3,2,2,3,4,3,3,3,3,1,3,1,1,3,2,0,4,2,1,3,4
15062130,3,0,0,2,4,4,2,2,3,4,4,1,3,0,2,3,1,2,4,3,4,3,4,0,4,0,3,4,1,1,2,3,2,3,3
15061637,4,0,0,2,4,4,2,2,3,4,4,1,4,0,1,3,0,2,4,4,4,3,3,0,3,0,2,4,1,1,3,3,1,4,3
15061337,2,1,0,0,4,4,4,1,3,3,4,0,3,1,2,3,0,2,4,3,4,2,3,1,3,0,1,4,2,1,3,2,1,4,3
