SAMPLES,c1_10031,c1_10915,c1_11124,c1_11459,c1_11802,c1_11806,c1_12354,c1_14089,c1_15219,c1_15689,c1_2458,c1_3612,c1_6937,c1_7,c1_9356,c1_9397,c2_14841,c2_15796,c2_16993,c2_18788,c2_20714,c2_21759,c2_22205,c2_23139,c2_25654,c2_26403,c2_26675,c2_27879,c2_30596,c2_36021,c2_36660,c2_37342,c2_38952,c2_41163,c2_42405,c2_44818,c2_46102,c2_46710,c2_47782,c2_48033,c2_51053,c2_52898,c2_53177,c2_54139,c2_58236,c2_6004,c2_63,c2_6466,c2_7785,c2_8664
15061942,3,1,1,4,2,3,4,2,1,3,3,3,1,3,3,0,1,0,1,1,2,3,2,2,1,2,2,0,3,4,2,0,3,4,3,4,2,4,2,0,1,2,0,3,2,2,1,2,4,1
15061763,3,0,0,4,1,3,2,2,0,2,2,3,3,2,4,1,1,0,1,1,3,4,3,2,0,3,3,0,2,4,2,0,4,4,2,4,2,4,0,1,0,2,1,4,2,2,0,2,3,1
15061801,1,0,0,2,4,3,4,3,2,4,3,4,1,2,2,2,2,1,1,3,2,4,2,1,2,3,3,1,1,4,0,1,3,3,2,2,4,4,1,2,2,2,0,4,2,4,2,4,4,2
15061494,3,0,0,3,2,4,4,0,1,3,3,3,0,1,4,2,2,0,0,3,2,4,2,2,1,2,4,1,3,4,2,0,4,3,4,3,3,4,2,1,2,2,0,4,2,2,0,3,4,1
15061613,0,1,0,3,1,3,4,3,2,4,3,3,0,1,3,0,2,0,1,3,2,3,1,0,2,3,2,0,3,4,2,0,2,4,3,3,3,2,2,0,3,1,0,4,3,3,1,4,4,0
15062137,2,0,1,4,0,4,4,2,1,2,2,2,0,2,3,2,1,0,1,1,1,3,2,2,0,3,3,1,2,3,3,1,3,4,2,4,3,4,3,1,2,1,1,3,3,2,1,3,3,2
15061319,4,0,0,4,0,4,2,1,2,3,2,3,0,2,4,1,1,1,1,4,1,4,3,1,2,4,3,0,2,4,2,0,4,4,3,4,4,3,2,0,2,1,1,3,3,2,1,4,3,1
15062142,2,2,0,4,0,4,3,3,4,2,2,4,2,0,4,1,0,1,0,3,1,3,2,1,0,1,4,0,2,4,4,0,4,3,4,4,4,3,2,0,2,2,0,4,2,3,0,3,4,1
15060320,1,1,0,4,2,3,4,2,1,4,3,4,0,1,4,1,1,0,0,2,3,4,3,0,0,3,3,0,2,4,3,1,4,4,2,4,3,3,2,1,1,1,0,4,3,2,0,4,4,1
15061768,2,0,0,4,2,3,4,2,2,4,3,3,0,1,2,0,0,0,0,3,1,4,4,2,1,3,3,0,1,4,2,1,4,2,3,4,4,3,1,0,1,3,0,4,1,3,1,4,4,0
15061522,3,0,0,3,0,4,4,0,1,3,2,4,0,1,2,2,1,0,0,3,2,4,3,3,2,3,3,0,4,3,0,0,2,3,3,4,3,4,2,1,1,1,0,4,3,3,0,3,4,0
