SAMPLES,c1_10109,c1_11237,c1_11644,c1_1318,c1_13962,c1_14763,c1_14870,c1_15045,c1_15641,c1_3612,c1_4359,c1_5295,c1_5411,c1_5936,c1_5940,c1_6869,c1_8013,c1_8293,c2_12622,c2_15333,c2_15340,c2_15342,c2_16675,c2_16680,c2_16915,c2_22165,c2_23251,c2_23254,c2_23431,c2_23449,c2_23828,c2_24556,c2_27270,c2_28666,c2_28697,c2_2957,c2_37342,c2_40085,c2_40858,c2_41391,c2_41396,c2_45611,c2_45750,c2_49313,c2_51051,c2_52702,c2_53198,c2_53914,c2_54325,c2_55632
15060021,3,3,1,3,2,0,3,0,3,3,3,2,3,1,1,3,0,0,4,3,1,3,2,2,4,0,0,1,0,0,1,3,2,4,4,1,1,2,2,3,3,4,3,1,4,3,0,3,1,2
15060027,2,3,1,1,0,0,4,0,3,3,2,0,2,1,1,2,0,0,4,3,1,3,2,2,3,2,0,3,0,0,0,4,3,3,3,2,0,3,1,2,1,3,4,3,4,4,0,2,0,3
15060039,1,3,4,0,1,2,2,1,2,4,2,2,3,1,1,4,0,0,3,4,0,4,1,2,3,0,2,4,0,0,0,3,3,3,3,3,0,3,2,3,2,3,4,1,3,3,0,3,2,4
15060042,0,3,2,3,0,0,3,0,3,3,3,2,3,1,1,1,0,0,4,4,0,4,0,0,4,1,0,1,0,0,0,4,3,3,3,2,2,4,2,2,3,4,3,1,4,3,1,2,0,3
15060050,2,3,2,4,0,1,3,1,2,4,4,2,2,2,2,3,0,0,3,4,0,4,0,0,4,1,0,2,1,1,1,3,3,1,1,2,1,3,3,3,3,3,3,1,4,4,2,2,1,3
15060056,0,3,1,3,2,2,4,0,3,4,2,3,3,1,1,4,0,0,4,3,1,3,0,0,4,0,1,1,0,0,0,3,2,3,3,1,1,3,2,4,3,2,4,2,2,3,0,3,1,3
15060063,1,4,3,0,0,0,3,0,3,3,2,4,4,0,0,4,0,0,4,4,0,4,1,1,4,1,3,3,0,0,1,3,4,3,2,2,1,1,3,2,1,3,4,3,4,2,0,2,0,2
15060070,3,4,0,2,0,0,4,0,3,3,2,1,3,0,0,3,0,0,4,4,0,4,2,2,4,1,0,2,0,0,0,3,4,3,3,2,0,3,0,3,2,4,3,2,4,3,0,1,1,3
15060072,2,4,2,1,0,3,4,3,2,3,1,1,2,1,1,0,0,0,3,2,3,2,3,3,4,1,0,1,0,0,2,2,2,2,4,2,2,1,2,4,3,3,3,3,1,4,1,4,0,1
15060082,2,4,1,2,0,0,4,1,3,2,3,1,4,0,0,2,0,0,4,4,0,4,0,0,4,1,0,1,0,0,0,4,3,2,2,1,0,3,2,3,3,4,4,2,4,3,3,2,1,2
15060085,3,2,2,3,2,0,4,1,0,2,2,3,3,1,1,4,0,1,4,3,1,3,0,0,4,2,0,1,0,0,2,4,2,3,3,2,0,2,2,4,2,3,4,1,4,3,2,1,0,3
15060097,2,4,1,0,0,2,1,1,1,4,0,2,3,0,0,3,1,1,1,4,0,4,2,2,4,2,0,1,1,1,2,2,4,3,3,0,0,3,4,3,3,2,4,4,2,2,0,4,2,4
15060101,3,4,1,1,0,2,3,0,2,4,2,3,3,1,1,3,0,0,2,4,0,4,3,3,2,2,0,3,1,1,1,4,4,2,3,3,0,4,1,2,1,4,3,2,2,2,1,3,1,2
15060102,1,3,2,2,1,0,3,0,3,3,2,3,3,1,1,2,0,0,4,3,1,3,1,1,4,2,1,1,0,0,0,4,2,4,4,1,0,3,1,3,2,4,4,1,4,3,2,2,0,4
15060110,3,4,0,2,0,0,4,0,3,3,2,1,3,0,0,3,0,0,4,4,0,4,2,2,4,1,0,2,0,0,0,3,4,3,3,2,0,3,0,3,2,4,3,2,4,3,0,1,1,3
15060112,1,3,1,2,0,0,4,0,3,3,2,2,3,1,1,3,0,0,4,3,1,3,1,1,4,2,0,2,0,0,1,4,3,3,3,1,0,3,1,3,2,3,3,1,4,3,1,2,0,3
15060114,2,3,1,1,0,0,3,0,2,3,1,3,2,1,1,3,0,1,4,2,3,2,3,3,4,1,1,2,0,0,3,3,4,2,3,2,0,4,0,2,2,3,4,3,4,NA,0,3,0,3
15060120,2,4,3,2,0,1,3,0,2,3,3,1,4,0,0,3,0,0,4,4,0,4,2,2,4,1,2,2,1,1,0,3,4,3,3,1,1,3,2,2,2,4,4,1,4,3,0,1,1,3
15060121,1,3,1,1,0,1,4,1,4,3,3,0,3,1,1,4,0,0,4,2,2,2,1,1,4,1,0,1,0,0,0,4,3,4,4,2,1,2,1,4,4,3,3,0,3,4,1,2,1,3
15060122,2,3,2,4,0,1,3,1,2,4,4,2,2,2,2,3,0,0,3,4,0,4,0,0,4,1,0,2,1,1,1,3,3,1,1,2,1,3,3,3,3,3,3,1,4,4,1,2,1,3
15060138,2,3,2,3,0,0,3,0,2,3,2,2,2,1,1,3,0,0,4,4,0,4,1,1,4,0,0,3,0,0,1,3,4,3,3,3,0,4,2,1,1,4,2,1,4,3,0,2,0,3
15060160,3,3,2,4,0,1,3,1,2,4,4,2,2,2,3,3,0,0,3,4,0,4,0,0,4,1,0,2,2,1,2,3,3,1,2,2,2,3,3,3,3,3,3,1,4,4,2,2,1,3
15060187,4,3,0,2,1,1,4,0,4,3,4,4,4,0,0,3,0,0,4,4,0,4,1,1,4,1,0,0,1,2,0,3,4,2,3,2,1,4,2,2,3,4,4,2,3,2,2,3,1,4
15060188,3,4,0,2,0,0,4,NA,2,3,2,1,3,0,0,3,0,0,4,4,0,4,2,1,4,1,0,2,0,0,1,3,4,3,3,2,0,3,0,3,2,4,3,2,4,3,1,1,1,3
