SAMPLES,Baya.C,Baya.C.GEBV,Baya.H,Baya.H.GEBV,Baya.L,Baya.L.GEBV,PriBrote.C,PriBrote.C.GEBV,PriBrote.H,PriBrote.H.GEBV,PriBrote.L,PriBrote.L.GEBV,PriFlor.C,PriFlor.C.GEBV,PriFlor.H,PriFlor.H.GEBV,PriFlor.L,PriFlor.L.GEBV,PriTuber.C,PriTuber.C.GEBV,PriTuber.H,PriTuber.H.GEBV,PriTuber.L,PriTuber.L.GEBV,Pulpa.C,Pulpa.C.GEBV,Pulpa.H,Pulpa.H.GEBV,Pulpa.L,Pulpa.L.GEBV,SecBrote.C,SecBrote.C.GEBV,SecBrote.H,SecBrote.H.GEBV,SecBrote.L,SecBrote.L.GEBV,SecTuber.C,SecTuber.C.GEBV,SecTuber.H,SecTuber.H.GEBV,SecTuber.L,SecTuber.L.GEBV,Tallo.C,Tallo.C.GEBV,Tallo.H,Tallo.H.GEBV,Tallo.L,Tallo.L.GEBV
15061942,46.163,48,116.886,118,59.656,66,27.58,26,313.769,314,33.543,33,47.26233,46,314.028,323,51.114,57,9.19,46,297.234,9,30.308,39,17.157,18,82.595,90,86.81302,84,7.10393,7,224.331,318,93.498,94,34.794,42,91.436,96,73.216,80,26.24091,44,254.451,117,38.061,54
15061763,45.12,38,116.629,132,59.342,53,22.938,20,311.358,307,34.311,26,51.40643,48,320.122,315,46.747,59,30.228,22,23.477,344,33.273,27,17.024,26,83.299,94,86.04285,84,6.45767,7,232.385,318,93.713,96,31.053,42,95.139,0,46.548,45,27.86697,16,255.108,359,38.9,28
15061801,40.663,48,116.906,118,55.923,66,50.65,47,321.97,352,41.87,36,41.18261,26,308.545,302,58.442,75,40.099,29,99.841,17,77.496,50,8.898,6,75.232,71,90.90032,92,5.09192,4,149.125,41,93.051,94,33.852,42,28.314,96,45.379,80,41.09046,44,137.061,117,51.87,54
15061494,44.75,44,117.22,117,59.233,54,23.615,26,313.199,314,31.667,33,40.66291,58,316.209,322,46.544,43,12.744,8,332.885,313,30.369,29,14.229,6,84.17,71,88.37322,92,6.67247,7,245.651,318,94.724,94,33.379,29,16.403,7,33.837,30,27.6249,16,248.82,359,39.159,28
15061613,43.448,45,116.464,128,57.262,58,33.293,26,317.258,314,40.618,33,51.08136,49,319.641,320,46.068,54,24.461,33,161.473,10,39.499,43,7.295,4,72.283,41,91.29809,94,6.26736,7,238.604,318,95.903,96,33.518,20,88.675,78,77.201,86,41.40405,44,124.252,117,52.981,54
15062137,45.517,44,117.318,117,59.122,54,29.221,55,294.103,329,40.842,36,52.21088,58,322.498,322,45.382,43,12.382,16,299.242,3,31.868,30,16.051,6,84.239,71,86.51568,92,12.27529,4,184.35,41,86.676,94,35.276,41,86.455,86,77.594,80,27.93101,16,247.601,359,39.709,28
15061319,45.853,45,116.528,115,59.949,72,23.768,20,311.945,307,32.321,26,44.60222,42,313.138,312,54.471,49,34.044,41,66,21,46.151,44,19.541,6,87.138,71,84.75856,92,6.33285,5,215.74,344,95.386,95,35.461,40,69.92,69,66.261,66,40.87344,44,121.033,117,52.769,54
15062142,43.973,59,116.837,106,58.182,69,51.294,57,324.674,327,39.922,45,51.25981,58,317.574,322,49.901,43,37.458,41,70.82,86,73.098,80,15.493,6,83.737,71,86.02301,92,6.55499,4,233.669,41,95.46,94,34.626,39,24.912,17,41.182,43,43.84504,44,122.218,117,53.566,54
15060320,45.442,48,116.285,118,60.257,66,54.756,53,325.809,346,40.549,39,52.69805,57,323.823,327,46.478,45,45.218,42,95.173,96,73.959,80,13.231,18,81.775,90,87.6026,84,6.19737,4,198.771,41,93.613,94,34.776,39,18.642,21,41.333,48,40.38314,44,144.93,117,50.914,54
15061768,44.728,48,116.394,118,59.928,66,39.292,49,309.742,301,36.221,36,46.13013,58,324.317,322,37.047,43,26.333,33,296.102,10,43.167,43,7.328,6,74.735,71,90.88732,92,5.45936,7,168.636,318,94.382,96,35.853,36,77.028,83,76.983,79,36.79202,44,174.176,117,48.388,54
