SAMPLES,c1_11495,c1_11920,c1_12108,c1_12152,c1_13135,c1_13863,c1_15218,c1_2641,c1_4464,c1_5837,c1_7029,c1_7192,c1_7964,c1_8194,c1_9619,c1_9878,c2_1486,c2_18549,c2_18684,c2_21309,c2_25179,c2_26741,c2_31181,c2_32056,c2_4884,c2_49313,c2_50283,c2_50324,c2_52205,c2_52800,c2_54613,c2_6683,c2_680,c2_8253,c2_8867
15061942,0,0,4,4,0,4,1,4,3,1,0,2,2,4,4,4,3,4,4,4,2,4,4,4,0,3,4,4,0,3,0,4,3,1,4
15061763,0,1,4,4,0,4,1,4,3,0,2,2,4,4,4,4,3,4,4,4,4,3,4,3,1,2,4,4,0,3,0,4,3,1,4
15061801,0,1,4,3,1,4,2,4,3,0,2,3,1,4,4,3,3,4,4,4,3,4,3,4,1,3,2,2,1,4,0,3,3,3,3
15061494,0,2,4,4,0,4,2,4,3,0,2,4,3,3,4,4,2,4,4,4,4,4,4,4,2,2,2,2,0,4,0,4,2,4,4
15061613,0,0,4,4,1,3,1,4,3,0,3,3,2,4,2,2,3,4,4,4,3,2,3,2,1,3,4,4,2,4,0,2,3,3,3
15062137,0,1,4,4,0,4,1,4,1,1,0,2,3,4,4,4,3,4,4,4,4,4,4,4,2,2,4,4,0,3,0,4,3,2,4
15061319,0,2,4,4,0,4,1,4,3,1,1,2,1,4,3,4,2,4,4,4,3,3,4,3,0,2,4,4,0,4,0,4,2,1,4
15062142,0,1,4,3,1,4,1,4,2,0,3,1,3,4,3,2,3,3,3,3,4,4,3,4,1,1,3,3,0,3,1,3,3,1,3
15060320,0,0,4,4,0,4,2,4,4,0,2,2,3,4,4,4,3,4,4,4,4,3,4,4,1,2,4,4,0,2,0,4,3,3,4
15061768,0,0,4,4,0,4,1,4,2,0,1,2,4,4,4,4,4,4,4,4,4,3,4,4,1,0,4,4,0,4,0,4,4,2,4
