SAMPLES,c1_11495,c1_11920,c1_12108,c1_12152,c1_13135,c1_13863,c1_14992,c1_15218,c1_15485,c1_216,c1_4464,c1_449,c1_7192,c1_7964,c1_8763,c1_9619,c2_10683,c2_17060,c2_18549,c2_21309,c2_21572,c2_26167,c2_31181,c2_32056,c2_39191,c2_49265,c2_50283,c2_50324,c2_51051,c2_52205,c2_54613,c2_55240,c2_6683,c2_8253,c2_8867
15060021,0,1,4,4,0,4,3,0,2,1,4,3,1,2,0,4,4,2,4,4,0,2,4,4,3,0,1,1,4,0,0,3,4,3,4
15060027,0,1,4,4,0,4,3,1,1,3,2,3,3,3,3,4,4,1,4,4,NA,1,4,4,4,0,4,4,4,0,0,2,4,1,4
15060039,0,1,4,3,1,4,3,3,2,3,4,3,2,4,2,4,4,1,4,4,1,1,4,4,4,1,4,4,3,0,0,3,4,0,3
15060042,0,1,4,4,0,4,2,1,2,3,4,4,3,2,0,4,3,3,4,4,2,1,4,4,4,2,3,3,4,0,0,3,4,2,4
15060050,0,1,4,3,1,4,2,1,3,3,3,4,4,2,0,4,3,3,3,4,1,2,3,4,2,2,3,3,4,0,0,2,3,3,4
15060056,0,3,3,3,0,4,3,1,2,0,4,0,2,0,2,3,4,2,3,4,1,0,4,3,4,1,1,1,2,1,0,4,4,4,4
15060063,0,0,4,4,0,4,3,2,3,2,1,3,2,4,1,4,4,3,4,4,1,3,4,4,4,1,2,2,4,0,0,3,4,0,4
15060070,0,1,4,4,0,4,2,1,2,1,3,3,2,3,1,4,4,2,4,4,1,2,4,4,4,0,3,3,4,0,0,2,4,0,4
15060072,0,3,4,3,0,4,4,2,0,0,3,1,4,2,2,3,3,2,2,2,1,1,4,3,3,1,3,3,1,2,1,3,4,0,4
15060082,0,2,4,4,0,4,2,2,1,2,3,2,2,4,2,4,4,2,4,4,0,2,4,3,4,1,4,4,4,0,0,3,4,3,4
15060085,0,0,3,4,1,4,2,1,2,3,1,3,3,2,1,4,3,3,4,4,1,2,4,4,3,1,3,3,4,0,0,3,4,1,3
15060097,0,2,4,3,2,3,2,2,1,3,3,4,3,3,4,4,4,0,3,3,2,0,3,4,4,1,1,1,2,0,1,4,3,3,2
15060101,1,2,4,3,0,4,2,0,3,0,4,3,2,3,1,2,4,2,2,3,0,1,4,2,2,1,3,3,2,2,1,4,3,1,4
