Samples,SecBrote.LCH.L
15060021,95
15060027,95
15060039,95
15060042,94
15060050,95
15060056,95
15060063,95
15060070,95
15060072,95
15060082,94
15060085,95
15060097,94
15060101,95
15060102,95
15060110,95
15060112,95
15060114,94
15060120,95
15060121,95
15060122,95
15060138,95
15060160,95
15060187,96
15060188,95
15060190,95
15060191,95
15060215,95
15060313,94
15060345,95
15060383,96
15060420,95
15060543,96
15060570,96
15060797,96
15060846,94
15060907,95
15060909,94
15060910,96
15061007,96
15061011,95
15061122,96
15061204,94
15061213,94
15061215,94
15061216,96
15061225,96
15061226,94
15061237,96
15061256,95
15061257,96
15061258,95
15061259,94
15061261,95
15061262,94
15061263,96
15061264,94
15061265,95
15061270,94
15061271,96
15061273,44
15061274,96
15061277,96
15061279,39
15061281,96
15061283,95
15061286,39
15061288,94
15061289,94
15061290,95
15061291,94
15061293,94
15061295,96
15061296,95
15061297,96
15061298,94
15061300,94
15061301,36
15061302,94
15061303,94
15061305,94
15061307,94
15061312,94
15061313,94
15061314,96
15061317,94
15061320,94
15061323,96
15061324,96
15061327,96
15061329,94
15061330,94
15061331,96
15061335,96
15061336,94
15061340,96
15061342,96
15061344,96
15061345,94
15061346,94
15061347,96
15061349,96
15061352,43
15061353,96
15061355,94
15061360,94
15061364,95
15061365,96
15061367,94
15061368,96
15061369,96
15061370,96
15061377,94
15061378,96
15061380,94
15061382,96
15061383,96
15061384,96
15061385,94
15061386,96
15061388,94
15061389,94
15061390,94
15061392,96
15061394,96
15061396,94
15061404,35
15061406,96
15061410,96
15061411,94
15061414,94
15061415,96
15061417,95
15061418,94
15061419,94
15061420,96
15061421,96
15061422,94
15061423,94
15061424,96
15061425,96
15061430,94
15061434,96
15061435,94
15061436,94
15061437,94
15061438,48
15061439,94
15061441,96
15061442,94
15061443,94
15061444,94
15061445,94
15061447,94
15061453,94
15061458,96
15061459,94
15061461,96
15061462,96
15061463,94
15061469,94
15061470,94
15061471,96
15061475,94
15061477,96
15061478,94
15061479,94
15061480,96
15061481,96
15061482,94
15061484,95
15061485,94
15061487,96
15061488,94
15061489,94
15061490,94
15061492,94
15061493,95
15061495,96
15061498,96
15061500,94
15061501,96
15061503,96
15061504,95
15061505,95
15061507,94
15061508,94
15061509,94
15061511,94
15061514,96
15061516,95
15061517,96
15061518,94
15061520,94
15061521,96
15061523,94
15061524,96
15061525,96
15061526,96
15061528,96
15061530,94
15061533,96
15061534,94
15061535,96
15061536,96
15061537,94
15061538,94
15061539,96
15061542,95
15061543,94
15061546,96
15061549,94
15061550,96
15061551,94
15061553,96
15061555,96
15061556,94
15061557,95
15061561,94
15061564,94
15061565,96
15061566,94
15061567,94
15061571,96
15061575,96
15061576,94
15061577,94
15061580,94
15061585,94
15061586,95
15061588,94
15061601,96
15061602,96
15061604,96
15061608,94
15061609,96
15061610,94
15061614,96
15061621,94
15061622,96
15061626,96
15061627,96
15061628,96
15061629,96
15061630,96
15061632,96
15061633,94
15061638,96
15061639,96
15061640,96
15061641,96
15061642,94
15061645,96
15061646,96
15061649,96
15061650,94
15061651,94
15061653,96
15061654,94
15061658,96
15061659,96
15061665,96
15061666,94
15061667,94
15061668,96
15061669,96
15061670,94
15061671,96
15061673,96
15061677,96
15061678,95
15061679,94
15061680,95
15061682,94
15061683,96
15061684,96
15061686,94
15061687,96
15061688,95
15061690,94
15061702,96
15061706,96
15061707,96
15061709,95
15061712,94
15061714,96
15061717,94
15061719,96
15061720,96
15061722,94
15061723,96
15061724,96
15061725,96
15061726,94
15061729,96
15061733,96
15061734,96
15061735,94
15061736,94
15061737,96
15061738,94
15061740,94
15061744,96
15061747,96
15061751,94
15061752,96
15061753,96
15061754,94
15061755,96
15061756,96
15061757,96
15061758,96
15061760,96
15061761,96
15061762,96
15061764,96
15061766,96
15061769,96
15061771,94
15061772,96
15061773,96
15061776,96
15061777,96
15061784,96
15061785,96
15061788,95
15061789,94
15061790,94
15061795,96
15061797,43
15061798,96
15061799,95
15061800,94
15061811,94
15061813,94
15061814,94
15061815,96
15061826,94
15061905,95
15061906,96
15061907,48
15061908,95
15061909,95
15061910,95
15061911,95
15061915,95
15061917,96
15061918,94
15061926,94
15061927,94
15061929,95
15061930,95
15061933,94
15061934,94
15061937,94
15061939,31
15061941,94
15061944,96
15061945,96
15061948,96
15061949,94
15061951,94
15061952,94
15061953,94
15061954,94
15061957,96
15061958,94
15061960,94
15061961,96
15061964,94
15061965,94
15061966,96
15061967,96
15061968,96
15061969,94
15062036,94
15062038,95
15062039,95
15062050,96
15062051,96
15062052,95
15062053,95
15062063,94
15062067,94
15062069,96
15062071,95
15062080,96
15062081,95
15062092,94
15062094,96
15062097,96
15062100,94
15062101,94
15062102,94
15062103,94
15062105,94
15062106,35
15062107,94
15062108,94
15062109,94
15062112,94
15062115,94
15062117,96
15062118,94
15062119,94
15062122,95
15062124,96
15062126,96
15062133,94
15062136,39
15062139,96
15062143,94
15062144,96
15062145,96
15062146,96
15062147,96
15062149,96
15062150,94
15062151,94
15062152,94
15062153,94
15062332,95
15062333,95
15062334,94
15062335,96
15062337,96
15062338,95
15062339,95
15062344,96
15062346,96
15062347,94
15062349,96
15062350,96
15062351,96
15062353,94
15062354,94
15062356,96
15062357,94
15062358,94
15062359,94
15062360,94
15062361,94
15062363,96
15062366,94
15062367,94
15062368,96
15062369,96
15062371,96
