SAMPLES,c1_14108,c1_14423,c1_15909,c1_16643,c1_4238,c1_4925,c1_5126,c1_7132,c2_10615,c2_10690,c2_11330,c2_12770,c2_13133,c2_13177,c2_13180,c2_19081,c2_22165,c2_25179,c2_27635,c2_30460,c2_33657,c2_4030,c2_4156,c2_42761,c2_44816,c2_45472,c2_48128,c2_50220,c2_51370,c2_51567,c2_52196,c2_52202,c2_52203,c2_56602,c2_58249
15061942,2,4,3,4,4,2,4,0,3,1,3,3,0,0,0,2,1,2,3,3,2,2,0,1,3,2,1,0,1,4,0,4,4,1,2
15061763,2,4,4,4,4,1,3,2,4,0,2,3,0,0,0,1,0,4,3,3,2,3,0,0,2,3,2,1,1,4,0,4,4,1,1
15061801,3,4,2,3,2,1,3,3,4,0,1,4,2,2,2,3,0,3,4,3,3,3,0,1,2,2,2,2,1,4,0,4,4,0,2
15061494,3,4,4,4,4,2,3,1,4,0,1,3,0,0,0,1,1,4,3,2,2,4,1,0,4,0,2,3,0,2,0,4,4,0,3
15061613,4,4,4,3,4,0,4,2,4,0,2,3,0,0,0,2,1,3,3,4,4,2,0,1,2,2,1,2,0,4,0,2,4,1,1
15062137,3,4,3,4,3,3,4,0,3,1,2,3,1,1,1,1,3,4,3,2,3,1,0,1,1,2,1,0,1,4,1,3,3,0,1
15061319,2,4,3,4,4,3,3,1,3,1,1,4,0,0,0,2,1,3,4,2,2,2,0,1,1,2,2,2,0,4,0,4,4,0,3
15062142,3,4,2,3,2,1,4,1,2,1,1,4,2,2,2,2,3,4,4,4,2,3,1,3,1,2,0,2,2,4,0,4,4,0,2
15060320,3,4,3,4,4,2,3,1,4,0,1,3,0,0,0,1,1,4,3,3,2,1,0,2,2,1,1,2,1,4,0,4,4,1,1
15061768,4,3,3,4,3,1,4,0,3,1,2,3,1,1,1,2,2,4,3,4,4,1,0,0,2,3,1,2,0,4,0,3,4,0,1
15061522,3,3,3,4,3,2,4,1,4,0,3,2,1,1,1,1,1,2,2,4,4,3,0,1,3,2,0,0,0,4,0,4,4,2,1
15060081,2,4,3,4,4,2,3,1,3,1,1,3,0,0,0,2,1,2,NA,2,2,2,1,1,1,2,2,2,NA,4,0,4,4,0,2
15061656,1,4,4,2,4,1,3,2,4,0,1,4,0,0,0,1,0,3,4,2,3,2,0,2,3,2,2,0,2,4,0,4,4,1,2
15061759,4,4,4,4,4,1,4,2,3,1,2,2,0,0,0,1,1,4,2,3,3,1,0,0,3,2,0,2,0,4,0,4,4,0,2
15061928,4,3,3,3,4,1,4,1,3,1,1,4,0,0,0,3,1,4,4,3,3,0,0,0,1,0,1,2,0,4,0,4,4,0,3
15061454,4,NA,4,2,3,0,4,0,3,1,2,4,1,1,1,2,0,2,4,4,3,3,0,1,3,1,1,2,0,4,1,3,3,0,2
15061605,3,4,3,3,2,1,4,3,4,0,0,3,2,2,2,1,1,4,3,4,3,4,0,1,2,1,2,2,1,3,0,2,4,0,1
15060087,3,4,3,4,3,2,4,1,3,1,3,3,1,1,1,1,1,3,3,4,2,0,0,1,1,3,2,0,0,3,1,3,3,1,3
15061619,3,4,3,4,3,3,4,0,3,1,2,3,1,1,1,1,3,4,3,2,3,1,0,1,1,2,1,0,1,4,1,3,3,0,1
15060090,4,4,4,3,3,1,2,2,4,0,3,3,1,1,1,1,1,2,3,4,3,2,1,2,2,1,2,2,1,4,1,2,3,0,2
15061731,3,4,3,4,3,3,4,0,3,1,2,3,1,1,1,1,3,4,3,2,3,1,0,1,1,2,1,0,1,4,1,3,3,0,1
15061655,2,4,4,1,4,1,3,2,4,0,0,4,0,0,0,2,0,2,4,3,4,2,0,1,1,0,2,3,3,4,1,3,3,0,3
15061661,4,4,4,3,4,0,4,2,4,0,2,3,0,0,0,2,1,3,3,4,4,2,0,1,2,2,1,2,0,4,0,2,4,1,1
15061499,3,4,3,4,4,2,3,1,3,1,1,4,0,0,0,1,1,4,4,3,3,2,0,1,0,0,1,2,0,3,0,2,4,0,3
15061647,2,4,3,4,4,3,3,1,3,1,1,4,0,0,0,2,1,3,4,2,2,2,0,1,1,2,2,2,0,4,0,4,4,0,3
