SAMPLES,c1_14108,c1_14423,c1_15909,c1_16643,c1_4238,c1_4925,c1_5126,c1_7132,c2_10615,c2_10690,c2_11330,c2_12770,c2_13133,c2_13177,c2_13180,c2_19081,c2_22165,c2_25179,c2_27635,c2_30460,c2_33657,c2_4030,c2_4156,c2_42761,c2_44816,c2_45472,c2_48128,c2_50220,c2_51370,c2_51567,c2_52196,c2_52202,c2_52203,c2_56602,c2_58249
15060021,4,3,4,3,3,0,4,1,3,1,1,4,1,1,1,2,0,2,4,3,2,3,0,0,3,1,0,2,0,4,0,4,4,1,4
15060027,2,4,4,4,4,2,3,0,4,0,3,3,0,0,0,1,2,4,3,4,2,2,0,1,1,2,1,2,0,4,0,4,4,2,1
15060039,2,3,2,3,2,0,4,2,3,1,2,4,2,2,2,2,0,4,4,4,4,2,0,2,2,2,1,1,1,3,0,4,4,1,2
15060042,4,4,3,3,3,1,4,2,4,0,2,4,1,1,1,1,1,2,4,4,3,2,0,1,2,2,2,0,0,4,0,4,4,0,3
15060050,4,4,4,3,3,1,2,2,4,0,3,3,1,1,1,1,1,2,3,4,3,2,1,2,2,1,2,2,1,4,1,2,3,0,2
15060056,4,4,4,4,4,1,4,1,4,2,0,2,0,0,0,2,0,3,2,NA,2,2,1,2,3,2,1,1,0,4,0,3,4,0,4
15060063,4,4,2,4,4,1,4,0,4,0,0,4,0,0,0,3,1,4,4,NA,3,3,1,0,3,0,2,2,0,3,1,3,3,2,4
15060070,3,4,3,4,3,2,4,1,3,1,3,3,1,1,1,1,1,3,3,4,2,0,0,1,1,2,2,0,0,3,1,3,3,1,3
15060072,1,4,3,3,3,1,4,2,4,0,1,4,1,1,1,2,1,3,4,4,2,3,1,1,3,1,3,3,2,4,0,3,4,2,4
15060082,3,4,4,3,4,1,3,2,4,0,1,3,0,0,0,0,1,4,3,2,2,1,0,0,2,1,2,3,1,4,0,4,4,0,2
15060085,2,3,2,4,4,0,4,2,3,1,1,4,0,0,0,0,2,3,4,3,3,2,0,0,2,2,1,2,1,3,0,4,4,0,2
15060097,4,4,4,3,4,1,4,3,4,1,0,3,0,0,0,1,2,3,3,4,3,2,0,2,2,3,2,2,1,2,0,4,4,0,1
15060101,4,4,4,4,3,2,4,2,3,1,2,4,1,1,1,2,2,3,4,4,4,2,0,3,0,1,2,1,0,NA,1,1,3,0,4
15060102,3,4,4,4,3,1,4,2,4,0,1,3,1,1,1,1,2,2,3,3,3,2,1,1,3,1,0,2,0,4,0,3,4,0,3
15060110,3,4,3,4,3,2,4,1,3,1,3,3,1,1,1,1,1,3,3,4,2,0,0,1,1,3,2,0,0,3,1,3,3,1,3
15060112,4,4,3,4,3,2,4,1,3,1,3,3,1,1,1,2,2,3,3,4,3,1,0,1,2,2,2,1,0,4,0,4,4,1,1
15060114,4,4,4,3,4,0,4,2,4,0,2,3,0,0,0,2,1,3,3,4,4,2,0,1,2,2,1,2,0,4,0,2,4,1,1
15060120,3,4,4,3,4,1,4,1,4,0,2,2,0,0,0,1,1,2,2,3,2,1,0,0,3,1,1,2,0,4,0,4,4,0,2
15060121,2,4,4,4,3,1,2,1,4,0,2,3,1,1,1,3,1,3,3,4,2,1,0,2,2,1,2,2,1,4,0,4,4,1,3
15060122,4,4,4,3,3,1,2,2,4,0,3,3,1,1,1,1,1,2,3,4,3,2,1,2,2,1,2,2,1,4,1,2,3,0,2
15060138,4,4,2,4,4,2,4,3,3,1,1,3,0,0,0,2,0,3,3,2,4,2,0,1,3,3,2,2,0,4,0,4,4,1,2
15060160,4,4,4,3,3,1,2,2,4,0,3,2,1,2,2,1,1,2,3,4,3,2,2,2,2,1,2,2,NA,4,1,2,3,0,3
15060187,4,3,4,3,3,3,4,2,4,0,0,4,0,0,0,2,1,2,4,3,3,2,0,0,3,2,0,2,0,3,0,3,4,1,3
15060188,3,4,3,4,3,2,4,1,3,1,3,2,1,1,1,1,1,3,3,4,2,1,0,1,2,3,2,1,0,3,1,3,3,1,2
15060190,2,4,4,4,4,2,4,1,3,1,0,3,0,0,0,2,0,4,3,3,2,2,0,1,2,2,2,3,1,3,0,4,4,1,2
15060191,3,4,3,4,4,2,3,1,3,1,1,4,0,0,0,1,1,4,4,3,3,2,0,1,0,0,1,2,0,3,0,2,4,0,3
15060215,4,4,4,3,4,0,4,2,4,0,2,3,0,0,0,2,1,3,3,4,4,2,0,1,2,2,1,2,0,4,0,3,4,1,1
15060313,3,3,4,3,2,1,3,2,4,0,1,2,2,2,2,3,0,2,2,3,2,3,0,1,2,1,3,3,1,3,0,3,4,0,1
15060345,3,4,2,4,3,3,4,0,3,1,2,3,1,1,1,1,2,3,3,3,4,1,0,1,2,3,2,2,1,4,0,4,4,1,1
15060383,3,3,4,3,2,1,3,2,4,0,1,2,2,2,2,3,0,2,2,3,2,3,0,1,2,1,3,3,1,3,0,3,4,0,1
15060420,3,4,2,4,3,3,4,0,3,1,2,3,1,1,1,1,2,3,3,3,4,1,0,1,2,3,2,2,1,4,0,4,4,1,1
15060543,4,4,3,4,4,1,3,0,4,0,1,2,0,0,0,2,0,1,2,2,1,2,0,1,2,2,1,4,0,2,1,3,3,1,4
15060570,3,4,4,3,3,0,3,2,4,0,0,3,0,0,0,4,1,3,3,3,3,2,0,0,3,1,1,2,0,4,0,4,4,0,3
15060797,3,3,3,4,4,0,3,1,4,0,1,2,0,0,0,4,0,3,2,4,1,2,0,1,2,0,1,3,0,2,0,4,4,0,4
15060846,4,4,4,3,3,1,2,2,4,0,3,3,1,1,1,1,1,2,3,4,3,2,1,2,2,1,2,2,1,4,1,2,3,0,2
15060907,4,4,4,2,3,0,3,2,4,0,1,2,0,0,0,3,1,3,2,4,3,3,0,0,3,0,0,2,0,4,0,2,4,0,2
15060909,3,4,3,4,3,0,3,1,3,1,1,3,1,1,1,1,1,4,3,4,3,1,0,3,2,1,1,1,2,3,0,4,4,0,1
15060910,4,4,3,3,3,3,3,2,3,1,1,3,1,1,1,3,1,2,3,4,4,2,0,1,2,0,2,2,0,4,0,3,4,1,1
15061007,4,4,3,4,4,0,4,1,4,0,1,3,1,0,0,0,0,3,3,4,2,3,0,0,3,1,2,3,0,4,0,4,4,1,3
15061011,2,4,3,4,4,3,3,1,3,1,1,4,0,0,0,2,1,3,4,2,2,2,0,1,1,1,2,2,0,4,0,4,4,0,3
15061122,4,4,4,3,3,1,2,2,4,0,3,3,1,1,1,1,1,2,3,4,3,2,1,2,2,1,2,2,1,4,1,2,3,0,2
15061204,4,4,4,4,4,0,4,0,4,0,0,2,0,0,0,2,0,2,2,NA,2,3,0,3,2,0,2,1,2,3,0,3,4,1,4
15061213,2,3,2,3,2,0,4,2,3,1,2,4,2,2,2,2,0,4,4,4,4,2,0,2,2,2,1,1,1,3,0,4,4,1,2
