SAMPLES,c1_8132,c2_1506,c2_23841,c2_26165,c2_26167,c2_26210,c2_26211,c2_2653,c2_31180,c2_32644,c2_35101,c2_49128,c2_50502,c2_52067,c2_56238
15060021,4,2,3,3,2,1,3,1,3,4,3,1,1,2,2
15060027,4,2,3,3,1,1,3,3,2,4,4,2,2,3,2
15060039,3,4,2,3,1,1,3,3,2,3,3,2,2,2,4
15060042,3,4,3,3,1,3,3,0,2,4,3,2,1,3,4
15060050,4,4,2,2,2,3,2,2,4,3,4,1,0,2,4
15060056,4,3,3,4,0,1,3,1,4,4,4,2,2,4,3
15060063,4,2,4,1,3,3,1,1,4,3,2,3,0,3,2
15060070,3,3,3,2,2,2,2,0,2,4,4,2,0,3,3
15060072,4,3,2,3,1,1,2,2,3,3,4,3,4,4,3
15060082,4,4,3,2,2,3,3,1,3,3,4,1,3,3,4
15060085,4,3,3,2,2,3,3,1,2,4,3,2,1,4,3
15060097,3,4,0,4,0,2,2,3,2,3,4,1,2,3,4
15060101,3,4,1,3,1,1,3,1,2,4,4,2,1,3,4
15060102,3,3,3,2,2,2,3,1,3,4,4,1,2,3,3
15060110,3,3,3,2,2,2,2,0,2,4,4,2,0,3,3
15060112,3,4,4,2,2,2,2,1,3,4,4,1,2,4,4
15060114,4,4,2,3,1,1,4,3,3,3,3,3,1,4,4
15060120,4,3,3,3,1,3,4,0,4,4,4,1,4,3,3
15060121,3,4,3,4,0,0,4,2,1,4,3,0,1,4,4
15060122,4,4,2,2,2,3,2,2,4,3,4,1,0,2,4
15060138,3,3,3,2,2,2,2,0,1,4,4,3,2,3,4
15060160,4,4,1,2,2,3,2,3,4,3,4,2,0,2,4
15060187,4,3,3,3,2,4,2,2,4,4,4,1,2,3,4
15060188,3,3,2,2,2,2,2,1,2,3,4,2,0,3,3
15060190,4,4,4,2,1,1,3,2,3,4,3,1,1,4,4
15060191,3,4,1,2,1,1,3,1,3,4,3,1,2,3,4
15060215,4,4,2,3,1,1,4,3,3,3,3,3,1,4,4
15060313,4,3,2,3,2,3,3,3,3,3,3,2,2,3,3
15060345,3,3,3,3,1,1,3,2,2,4,4,1,2,4,4
15060383,4,3,3,3,2,3,3,3,3,3,3,2,2,3,3
15060420,3,3,3,3,1,1,3,2,2,4,4,1,2,4,4
15060543,4,3,3,3,2,3,3,1,3,3,3,3,0,3,3
15060570,4,2,3,4,2,3,3,0,3,3,4,1,1,3,3
15060797,4,2,1,3,1,2,2,1,1,4,2,1,1,2,2
15060846,4,4,2,2,2,3,2,2,4,3,4,1,0,2,4
15060907,4,2,3,4,1,3,2,1,3,2,4,1,2,4,NA
15060909,3,4,0,3,1,2,2,2,2,3,4,2,2,1,4
15060910,4,4,2,3,1,2,3,2,1,4,3,3,1,2,4
15061007,4,4,3,2,3,2,4,1,4,4,3,2,2,4,4
15061011,4,4,3,2,1,1,3,2,3,4,3,0,1,3,4
15061122,4,4,2,2,2,3,2,2,4,2,4,1,0,2,4
15061204,4,2,1,3,1,2,2,3,4,4,4,1,1,3,2
15061213,3,4,2,3,1,1,3,3,2,3,3,2,2,2,4
15061215,3,4,2,3,1,1,3,3,2,3,3,2,2,2,4
15061216,4,3,4,3,1,2,2,0,4,4,4,2,1,3,3
15061225,4,4,2,3,1,1,4,3,3,3,3,3,1,4,4
15061226,4,3,4,4,1,2,2,0,3,4,4,2,2,4,3
15061237,4,3,3,3,2,3,3,1,3,3,3,3,0,3,3
15061256,4,2,2,2,3,2,3,2,4,4,2,1,2,4,2
15061257,4,4,4,1,3,4,3,0,3,4,4,1,1,3,4
15061258,4,3,3,2,2,3,3,1,4,4,3,1,2,3,3
15061259,3,3,3,2,2,2,2,0,2,4,4,2,0,3,3
15061261,4,4,3,2,1,1,3,2,3,4,3,0,2,3,4
15061262,3,4,1,3,1,1,3,1,2,4,4,2,1,3,4
15061263,3,4,1,4,0,0,4,0,3,4,4,3,1,3,4
15061264,3,4,1,3,1,1,3,2,2,3,NA,2,1,3,4
15061265,3,3,3,3,1,1,3,1,3,4,4,1,2,4,3
15061270,4,4,4,1,2,2,2,1,3,3,4,1,2,4,4
15061271,4,2,3,2,1,2,2,2,1,3,3,1,1,3,2
15061273,3,3,3,3,1,1,3,1,3,4,4,1,2,4,3
