Samples,Tallo.LCH.C
15061942,44
15061763,16
15061801,44
15061494,16
15061613,44
15062137,16
15061319,44
15062142,44
15060320,44
15061768,44
15061522,16
15060081,44
15061656,38
15061759,44
15061928,16
15061454,44
15061605,44
15060087,16
15061619,16
15060090,44
15061731,16
15061655,44
15061661,44
15061499,44
15061647,44
15061612,16
15061742,44
15061710,16
15062372,44
15061583,44
15061767,44
15062130,44
15061637,38
15061337,44
15062104,44
15061579,16
15061932,44
15061603,44
15060025,44
15061704,44
15061334,44
15061631,16
15060964,44
15061778,16
15061718,21
15061486,44
15060214,44
15061333,44
15061962,44
15061624,44
15061282,44
15061529,44
15061935,44
15061568,44
15061491,16
15061318,44
15061361,44
15061515,19
15062123,44
15061358,44
15061428,44
15061496,16
15061648,38
15061808,44
15061600,44
15061730,16
15061623,44
15061405,44
15061299,44
15061578,16
15061476,16
15061765,44
15062111,16
15061397,44
15061713,44
15061584,44
15061912,44
15061260,44
15062099,44
15061350,44
15060933,44
15061548,44
15061348,44
15061560,44
15061544,16
15061449,44
15062348,44
15061916,44
15062138,16
15061946,16
15061676,44
15060536,44
15061391,16
15061662,16
15061228,16
15061356,44
15061963,44
15061338,16
15062331,44
15062098,44
15062114,16
15062046,44
15062370,44
15061685,21
15061540,44
15061721,24
15062074,44
15062362,44
15061689,44
15061357,16
15061376,44
15061308,44
