SAMPLES,c1_16540,c1_16542,c1_3098,c1_3499,c1_7871,c1_7872,c1_7874,c2_10681,c2_12976,c2_14980,c2_32257,c2_4030,c2_47202,c2_53914,c2_686
15060021,1,3,3,2,3,3,1,3,1,2,4,3,3,3,1
15060027,1,4,3,2,4,4,0,2,0,0,4,2,4,2,3
15060039,2,3,3,0,3,4,0,4,2,2,3,2,4,3,2
15060042,2,3,4,1,3,3,1,3,2,2,4,2,3,2,3
15060050,2,2,3,0,2,2,1,4,2,3,3,2,3,2,1
15060056,2,3,4,2,4,4,0,4,2,0,4,2,4,3,0
15060063,2,3,3,0,2,2,2,4,2,1,3,3,3,2,1
15060070,2,3,4,0,4,4,0,4,2,0,4,0,4,1,3
15060072,1,4,4,1,2,2,2,3,3,2,3,3,2,4,1
15060082,2,3,4,0,3,4,0,4,2,2,4,1,4,2,3
15060085,0,4,4,1,2,2,2,3,2,2,4,2,3,1,2
15060097,1,3,3,0,1,3,0,2,2,1,3,2,4,4,2
15060101,2,4,4,2,3,3,0,2,2,1,3,2,4,3,2
15060102,1,3,4,2,1,2,2,4,2,NA,4,2,2,2,2
15060110,2,3,4,0,4,4,0,4,2,0,4,0,4,1,3
15060112,2,4,3,1,3,3,1,3,2,2,4,1,3,2,2
15060114,2,3,NA,2,3,3,0,3,2,1,4,2,4,3,3
15060120,4,2,4,0,4,4,0,4,1,2,4,1,4,1,4
15060121,1,4,3,1,3,3,1,3,2,2,4,1,3,2,1
15060122,2,2,3,0,2,2,1,4,2,2,3,2,3,2,1
15060138,3,3,3,0,4,4,0,4,2,0,4,2,4,2,3
15060160,2,2,3,0,2,3,1,4,2,3,3,2,3,2,2
15060187,2,4,3,1,3,3,1,4,1,1,3,2,3,3,3
15060188,2,3,4,0,4,4,0,4,2,0,4,1,4,1,3
15060190,2,4,4,1,3,3,1,3,2,2,4,2,3,3,2
15060191,1,4,4,1,3,3,1,3,1,2,4,2,3,2,4
15060215,2,3,NA,2,3,3,0,3,2,1,4,2,4,3,3
15060313,1,4,3,2,2,3,1,3,2,2,2,3,3,3,2
15060345,2,4,3,1,3,3,1,3,2,2,4,1,3,3,3
15060383,1,4,3,2,2,3,1,3,2,3,2,3,3,3,2
15060420,2,4,3,1,3,3,1,3,2,2,4,1,3,3,3
15060543,3,1,4,1,4,4,0,3,3,0,3,2,4,4,3
15060570,1,3,4,2,3,3,1,4,2,1,1,2,2,3,3
15060797,0,4,4,0,3,3,1,2,2,2,3,2,4,1,3
15060846,2,2,3,0,2,2,1,4,2,3,3,2,3,2,1
15060907,3,2,4,2,4,4,0,4,3,0,2,3,4,3,1
15060909,1,4,3,0,2,4,0,3,2,0,3,1,4,3,3
15060910,2,3,2,2,2,2,1,3,2,2,3,2,3,3,0
15061007,1,4,4,0,4,4,0,4,2,0,4,3,4,2,0
15061011,1,4,4,1,3,3,1,3,2,2,4,2,3,2,3
15061122,2,2,3,0,2,2,1,4,2,2,3,2,3,2,1
15061204,2,4,4,2,2,2,1,3,3,2,3,3,3,3,0
15061213,2,3,3,0,3,4,0,4,2,2,3,2,4,3,2
15061215,2,3,3,0,3,4,0,4,2,2,3,2,4,3,2
15061216,3,3,4,3,3,3,1,3,3,0,4,2,3,3,0
15061225,2,NA,NA,2,3,3,0,3,2,1,4,2,4,3,3
15061226,1,3,4,1,4,4,0,4,1,0,1,3,4,3,3
15061237,3,1,4,1,4,4,0,3,3,0,3,2,4,4,3
15061256,1,4,4,1,4,4,0,4,2,0,4,2,4,2,1
15061257,2,2,4,1,4,4,0,3,3,0,3,2,4,3,2
15061258,2,3,4,0,3,3,1,4,1,3,3,1,3,3,3
15061259,2,3,4,0,4,4,0,4,2,0,4,0,4,1,3
15061261,1,4,4,1,3,3,1,3,2,2,4,2,3,2,3
15061262,2,4,4,2,3,3,0,2,2,1,3,2,4,3,2
15061263,3,4,4,2,4,4,0,2,2,0,3,3,4,3,3
15061264,2,4,3,2,3,3,0,2,2,1,3,2,4,3,2
15061265,2,4,4,1,4,4,0,3,3,0,4,2,4,2,3
15061270,1,4,3,1,3,3,1,3,2,2,4,2,3,2,3
15061271,0,4,4,1,2,2,2,4,3,0,4,1,2,3,0
15061273,2,4,4,1,4,4,0,3,3,0,4,2,4,2,3
15061274,0,4,4,0,1,2,2,4,4,2,4,2,2,2,2
15061277,1,4,3,0,1,3,1,4,3,2,4,3,3,2,3
15061279,1,4,3,1,2,3,1,3,2,2,4,1,3,2,3
15061281,2,3,3,0,3,4,0,4,2,2,3,2,4,3,2
15061283,2,4,3,1,3,3,1,3,2,2,4,1,3,2,2
15061286,0,4,4,1,2,2,2,4,3,0,4,1,2,3,0
15061288,2,3,3,0,3,4,0,4,2,2,3,2,4,3,2
15061289,2,3,3,0,3,4,0,4,2,2,3,2,4,3,2
15061290,2,4,4,0,3,4,0,4,2,0,3,3,4,3,3
15061291,1,4,4,0,3,3,1,4,4,2,4,3,3,3,3
15061293,2,4,4,1,3,3,1,3,1,2,4,1,3,2,2
15061295,1,4,4,0,4,4,0,4,1,0,4,2,4,2,2
15061296,2,3,4,0,2,3,1,4,2,2,4,2,2,2,3
15061297,1,4,4,1,4,4,0,4,2,0,4,2,4,2,1
15061298,0,4,4,2,3,3,1,3,2,3,4,2,3,2,1
15061300,2,3,4,2,3,4,0,2,0,0,4,1,3,3,4
15061301,0,4,4,2,3,3,1,3,2,3,4,2,3,2,1
15061302,2,4,4,1,3,3,1,3,1,2,4,0,3,2,2
15061303,1,4,3,0,2,4,0,3,2,0,3,1,4,3,3
15061305,2,3,4,1,4,4,0,3,1,0,4,0,3,2,3
15061307,3,4,4,2,4,4,0,2,0,0,4,3,4,2,2
15061312,1,4,4,0,3,3,1,4,4,2,4,3,3,3,3
15061313,1,4,4,1,3,3,1,3,1,2,4,2,3,2,4
15061314,1,4,3,1,2,3,1,3,3,2,4,1,3,3,0
15061317,2,4,4,2,3,3,0,2,2,2,3,2,4,3,2
15061320,0,4,4,2,3,3,0,4,3,1,3,3,4,3,0
15061323,2,3,NA,2,3,3,0,3,2,1,4,2,4,3,3
15061324,0,4,3,2,3,4,0,2,3,0,4,3,3,2,1
15061327,1,4,4,1,3,3,1,3,2,1,4,2,3,2,3
15061329,0,4,3,0,3,3,1,4,2,2,4,3,3,2,1
15061330,2,3,3,3,2,3,0,2,1,1,1,2,4,4,2
15061331,2,3,4,0,2,3,1,4,4,2,4,1,3,2,2
15061335,1,4,4,1,4,4,0,3,2,0,4,3,4,1,2
15061336,2,4,3,1,3,4,0,3,1,0,4,1,4,2,3
