SAMPLES,c1_15909,c1_16643,c1_4238,c1_4925,c1_5126,c1_7132,c2_10615,c2_10690,c2_12770,c2_13133,c2_13177,c2_13180,c2_19081,c2_22165,c2_27635,c2_30460,c2_33657,c2_4030,c2_44816,c2_51370,c2_51567,c2_52196,c2_52202,c2_52203,c2_56602
15061942,3,4,4,2,4,0,3,1,3,0,0,0,2,1,3,3,2,2,3,1,4,0,4,4,1
15061763,4,4,4,1,3,2,4,0,3,0,0,0,1,0,3,3,2,3,2,1,4,0,4,4,1
15061801,2,3,2,1,3,3,4,0,4,2,2,2,3,0,4,3,3,3,2,1,4,0,4,4,0
15061494,4,4,4,2,3,1,4,0,3,0,0,0,1,1,3,2,2,4,4,0,2,0,4,4,0
15061613,4,3,4,0,4,2,4,0,3,0,0,0,2,1,3,4,4,2,2,0,4,0,2,4,1
15062137,3,4,3,3,4,0,3,1,3,1,1,1,1,3,3,2,3,1,1,1,4,1,3,3,0
15061319,3,4,4,3,3,1,3,1,4,0,0,0,2,1,4,2,2,2,1,0,4,0,4,4,0
15062142,2,3,2,1,4,1,2,1,4,2,2,2,2,3,4,4,2,3,1,2,4,0,4,4,0
15060320,3,4,4,2,3,1,4,0,3,0,0,0,1,1,3,3,2,1,2,1,4,0,4,4,1
15061768,3,4,3,1,4,0,3,1,3,1,1,1,2,2,3,4,4,1,2,0,4,0,3,4,0
15061522,3,4,3,2,4,1,4,0,2,1,1,1,1,1,2,4,4,3,3,0,4,0,4,4,2
15060081,3,4,4,2,3,1,3,1,3,0,0,0,2,1,NA,2,2,2,1,NA,4,0,4,4,0
15061656,4,2,4,1,3,2,4,0,4,0,0,0,1,0,4,2,3,2,3,2,4,0,4,4,1
15061759,4,4,4,1,4,2,3,1,2,0,0,0,1,1,2,3,3,1,3,0,4,0,4,4,0
15061928,3,3,4,1,4,1,3,1,4,0,0,0,3,1,4,3,3,0,1,0,4,0,4,4,0
15061454,4,2,3,0,4,0,3,1,4,1,1,1,2,0,4,4,3,3,3,0,4,1,3,3,0
15061605,3,3,2,1,4,3,4,0,3,2,2,2,1,1,3,4,3,4,2,1,3,0,2,4,0
15060087,3,4,3,2,4,1,3,1,3,1,1,1,1,1,3,4,2,0,1,0,3,1,3,3,1
15061619,3,4,3,3,4,0,3,1,3,1,1,1,1,3,3,2,3,1,1,1,4,1,3,3,0
15060090,4,3,3,1,2,2,4,0,3,1,1,1,1,1,3,4,3,2,2,1,4,1,2,3,0
