SAMPLES,c1_12320,c1_12345,c1_13135,c1_2112,c1_2978,c1_4604,c1_5546,c2_1506,c2_19584,c2_21934,c2_22301,c2_33008,c2_34863,c2_41405,c2_41412,c2_42655,c2_46081,c2_46100,c2_46107,c2_49184,c2_51974,c2_52905,c2_56145,c2_56238,c2_8867
15060021,4,4,0,0,0,2,2,2,1,3,3,1,1,4,4,0,4,4,4,3,3,4,4,2,4
15060027,3,3,0,0,0,2,3,2,1,3,3,2,2,4,4,0,4,4,4,2,3,4,4,2,4
15060039,4,4,1,1,1,1,3,4,1,2,4,2,2,3,3,1,4,4,4,2,3,4,3,4,3
15060042,4,4,0,0,0,1,3,4,0,3,2,2,1,4,4,0,4,4,4,2,3,4,4,4,4
15060050,3,3,1,2,0,1,3,4,1,1,1,1,1,3,3,0,4,4,4,3,3,4,3,4,4
15060056,3,3,0,0,0,1,2,3,3,2,3,2,2,4,4,0,4,4,4,1,3,4,4,3,4
15060063,3,3,0,0,0,1,2,2,4,4,2,0,3,4,4,1,4,4,4,4,3,4,4,2,4
15060070,4,4,0,0,0,3,3,3,2,2,2,2,1,4,4,0,4,4,4,2,3,4,4,3,4
15060072,3,3,0,0,0,2,2,3,3,3,2,3,1,4,4,1,3,3,3,1,3,3,4,3,4
15060082,3,3,0,0,0,2,4,4,4,3,3,3,2,4,4,0,4,4,4,1,3,4,4,4,4
15060085,4,4,1,0,1,2,4,3,1,2,3,2,0,4,3,0,3,3,3,2,3,3,4,3,3
15060097,4,4,2,2,2,1,2,4,1,2,4,2,1,2,2,2,4,4,4,2,3,4,2,4,2
15060101,3,3,0,0,0,1,3,4,3,2,2,3,1,4,4,0,4,4,4,1,3,4,4,4,4
15060102,4,4,1,0,1,3,3,3,2,3,2,0,1,4,3,0,4,4,4,4,3,4,4,3,3
15060110,4,4,0,0,0,3,3,3,2,2,2,2,1,4,4,0,4,4,4,2,3,4,4,3,4
15060112,4,4,0,0,0,1,2,4,0,2,4,2,1,4,4,0,4,4,4,2,3,4,4,4,4
15060114,4,4,1,1,0,1,3,4,2,1,2,2,0,3,3,0,4,4,4,2,3,4,3,4,3
15060120,4,4,0,0,0,1,3,3,3,3,0,2,2,4,4,0,4,4,4,2,3,4,4,3,4
15060121,4,4,0,0,0,2,2,4,2,2,2,0,1,4,4,1,4,4,4,4,3,4,4,4,4
15060122,3,3,1,1,0,1,3,4,1,1,1,1,1,3,3,0,4,4,4,3,3,4,3,4,4
15060138,3,3,0,0,0,2,2,3,0,1,3,1,1,4,4,0,4,4,4,3,3,3,4,4,4
15060160,3,3,1,1,0,2,3,4,1,2,1,2,1,3,3,0,4,4,4,3,3,4,3,4,4
15060187,4,4,0,0,0,2,4,3,2,2,3,0,1,4,4,0,4,4,4,4,3,4,4,4,4
15060188,4,4,0,0,0,2,3,3,2,2,2,2,1,4,4,0,4,4,NA,2,3,4,4,3,4
15060190,4,4,0,0,2,1,3,4,2,1,2,1,1,4,4,1,4,4,4,3,3,4,4,4,4
15060191,4,4,0,0,1,2,4,4,3,2,2,1,0,4,4,0,4,4,4,3,2,4,4,4,4
15060215,4,4,1,1,0,1,3,4,2,1,2,2,0,3,3,0,4,4,4,2,3,4,3,4,3
15060313,4,4,1,1,0,0,3,3,3,3,1,3,0,3,3,0,4,4,4,1,3,4,3,3,4
15060345,4,4,0,0,0,2,3,3,0,2,2,2,2,4,4,0,4,4,4,2,3,4,4,4,4
15060383,4,4,1,1,0,0,3,3,3,3,1,3,0,3,3,0,4,4,4,1,3,4,3,3,4
15060420,4,4,0,0,0,2,3,3,0,2,2,2,2,4,4,0,4,4,4,2,3,4,4,4,4
15060543,4,4,0,0,0,2,2,3,2,1,3,1,2,4,4,0,4,4,4,2,3,4,4,3,4
15060570,4,4,0,0,0,3,3,2,2,3,1,1,2,4,4,0,4,4,4,3,3,4,4,3,4
15060797,3,3,0,0,0,1,3,2,4,1,2,1,0,4,4,0,4,4,4,3,3,4,4,2,4
15060846,3,3,1,1,0,1,3,4,1,1,1,1,1,3,3,0,4,4,4,3,3,4,3,4,4
15060907,3,3,0,0,0,2,4,2,0,2,0,0,2,4,4,0,4,4,4,4,3,4,4,NA,4
15060909,4,4,2,2,2,2,3,4,0,2,4,2,1,2,2,2,4,4,4,2,3,4,2,4,2
15060910,4,4,0,0,0,1,3,4,2,1,1,3,1,4,4,0,3,3,3,1,3,3,4,4,4
15061007,3,3,0,0,0,1,4,4,1,2,3,0,1,4,4,1,3,3,3,4,3,2,4,4,4
