SAMPLES,GEBVs(SVM),ACTUAL
15062362,30.875,85
15061954,33.71,16
15062339,99.29,85
15061482,76.896,96
15062104,305.997,83
15061707,297.778,355
15061567,98.475,85
15061964,37.389,17
15061488,295.408,328
15061438,299.097,313
15061814,54.494,7
15061721,37.707,22
15061601,16.849,95
15061719,46.653,10
15061629,110.711,86
15061477,24.335,313
15061761,58.028,39
15061336,143.259,333
15061386,347.974,359
15061305,138.177,86
15061676,29.388,14
15061523,252.197,3
15061763,22.777,344
15061385,300.451,328
15062133,20.048,17
15061333,108.994,313
15061627,51.715,41
15061731,306.031,355
15061641,48.794,345
15061330,112.494,16
15061626,45.973,313
15062147,28.84,18
15061487,300.151,3
15060536,311.558,84
15061261,51.912,86
15061389,298.711,328
15060101,51.417,342
15061397,276.736,342
15061551,81.66,86
15061539,288.272,83
15062115,83.087,96
15061361,32.358,21
15061669,96.387,85
15062359,49.828,85
15061690,299.308,313
15061308,308.442,313
15062372,108.757,359
15061342,29.418,17
15061281,42.071,18
15061932,56.024,96
15061370,33.984,12
15061630,298.404,318
15061789,65.132,86
15061666,297.73,83
15062143,26.943,14
15061297,312.367,313
15061907,107.806,96
15061538,282.611,328
15062371,103.903,83
15061685,25.143,14
15062081,203.749,5
15061969,64.329,86
15061498,292.946,313
15061271,30.113,328
15062344,299.872,7
15061279,291.593,17
15062144,295.789,3
15061722,134.131,5
15061768,291.944,10
15061557,76.506,16
15061434,34.602,17
15060072,33.506,42
15061405,285.221,346
15062052,32.436,17
15062098,35.797,22
15061916,25.31,5
15061377,67.245,85
15061633,106.253,83
15061702,292.202,0
15061614,303.414,22
15061368,344.088,40
15061520,110.321,22
15060082,97.48,96
15061656,109.085,346
15061331,115.273,53
15061327,50.687,12
15062074,32.658,86
15061300,76.946,96
15061776,74.841,85
15061462,78.871,85
15061302,130.746,328
15061957,28.065,14
15061514,57.666,18
15060909,60.077,93
15062063,31.022,5
15060090,128.823,346
15061301,33.839,14
15061423,40.278,17
15061453,70.648,313
15060215,243.431,85
15062119,311.546,313
15061537,55.727,17
15061667,23.397,22
15062123,58.863,83
15061710,301.106,313
15061258,33.774,328
15061443,71.392,85
15060050,211.553,67
15060110,317.088,359
15062053,52.258,16
15061764,301.057,83
15061799,27.868,8
