Prefix,HCL_component,Traits,Models,Predictive_ability
PCSprout,C,PCSprout.C,BA,0.579
PCSprout,C,PCSprout.C,BA,0.545
PCSprout,C,PCSprout.C,BA,0.549
PCSprout,C,PCSprout.C,BA,0.569
PCSprout,C,PCSprout.C,BA,0.579
PCSprout,C,PCSprout.C,BA,0.516
PCSprout,C,PCSprout.C,BA,0.552
PCSprout,C,PCSprout.C,BA,0.678
PCSprout,C,PCSprout.C,BA,0.537
PCSprout,C,PCSprout.C,BA,0.686
PCSprout,C,PCSprout.C,BA,0.637
PCSprout,C,PCSprout.C,BA,0.633
PCSprout,C,PCSprout.C,BA,0.59
PCSprout,C,PCSprout.C,BA,0.499
PCSprout,C,PCSprout.C,BA,0.499
PCSprout,C,PCSprout.C,BA,0.678
PCSprout,C,PCSprout.C,BA,0.639
PCSprout,C,PCSprout.C,BA,0.512
PCSprout,C,PCSprout.C,BA,0.569
PCSprout,C,PCSprout.C,BA,0.549
PCSprout,C,PCSprout.C,BA,0.68
PCSprout,C,PCSprout.C,BA,0.49
PCSprout,C,PCSprout.C,BA,0.453
PCSprout,C,PCSprout.C,BA,0.595
PCSprout,C,PCSprout.C,BA,0.693
PCSprout,C,PCSprout.C,BB,0.539
PCSprout,C,PCSprout.C,BB,0.486
PCSprout,C,PCSprout.C,BB,0.641
PCSprout,C,PCSprout.C,BB,0.647
PCSprout,C,PCSprout.C,BB,0.495
PCSprout,C,PCSprout.C,BB,0.478
PCSprout,C,PCSprout.C,BB,0.632
PCSprout,C,PCSprout.C,BB,0.494
PCSprout,C,PCSprout.C,BB,0.733
PCSprout,C,PCSprout.C,BB,0.468
PCSprout,C,PCSprout.C,BB,0.672
PCSprout,C,PCSprout.C,BB,0.517
PCSprout,C,PCSprout.C,BB,0.471
PCSprout,C,PCSprout.C,BB,0.564
PCSprout,C,PCSprout.C,BB,0.637
PCSprout,C,PCSprout.C,BB,0.656
PCSprout,C,PCSprout.C,BB,0.561
PCSprout,C,PCSprout.C,BB,0.502
PCSprout,C,PCSprout.C,BB,0.567
PCSprout,C,PCSprout.C,BB,0.405
PCSprout,C,PCSprout.C,BB,0.603
PCSprout,C,PCSprout.C,BB,0.57
PCSprout,C,PCSprout.C,BB,0.482
PCSprout,C,PCSprout.C,BB,0.583
PCSprout,C,PCSprout.C,BB,0.521
PCSprout,C,PCSprout.C,BC,0.644
PCSprout,C,PCSprout.C,BC,0.58
PCSprout,C,PCSprout.C,BC,0.592
PCSprout,C,PCSprout.C,BC,0.586
PCSprout,C,PCSprout.C,BC,0.48
PCSprout,C,PCSprout.C,BC,0.558
PCSprout,C,PCSprout.C,BC,0.638
PCSprout,C,PCSprout.C,BC,0.574
PCSprout,C,PCSprout.C,BC,0.546
PCSprout,C,PCSprout.C,BC,0.535
PCSprout,C,PCSprout.C,BC,0.615
PCSprout,C,PCSprout.C,BC,0.638
PCSprout,C,PCSprout.C,BC,0.663
PCSprout,C,PCSprout.C,BC,0.539
PCSprout,C,PCSprout.C,BC,0.428
PCSprout,C,PCSprout.C,BC,0.586
PCSprout,C,PCSprout.C,BC,0.519
PCSprout,C,PCSprout.C,BC,0.592
PCSprout,C,PCSprout.C,BC,0.575
PCSprout,C,PCSprout.C,BC,0.615
PCSprout,C,PCSprout.C,BC,0.569
PCSprout,C,PCSprout.C,BC,0.659
PCSprout,C,PCSprout.C,BC,0.52
PCSprout,C,PCSprout.C,BC,0.617
PCSprout,C,PCSprout.C,BC,0.581
PCSprout,C,PCSprout.C,BL,0.601
PCSprout,C,PCSprout.C,BL,0.523
PCSprout,C,PCSprout.C,BL,0.665
PCSprout,C,PCSprout.C,BL,0.728
PCSprout,C,PCSprout.C,BL,0.469
PCSprout,C,PCSprout.C,BL,0.604
PCSprout,C,PCSprout.C,BL,0.576
PCSprout,C,PCSprout.C,BL,0.481
PCSprout,C,PCSprout.C,BL,0.523
PCSprout,C,PCSprout.C,BL,0.644
PCSprout,C,PCSprout.C,BL,0.513
PCSprout,C,PCSprout.C,BL,0.583
PCSprout,C,PCSprout.C,BL,0.487
PCSprout,C,PCSprout.C,BL,0.625
PCSprout,C,PCSprout.C,BL,0.559
PCSprout,C,PCSprout.C,BL,0.621
PCSprout,C,PCSprout.C,BL,0.565
PCSprout,C,PCSprout.C,BL,0.511
PCSprout,C,PCSprout.C,BL,0.555
PCSprout,C,PCSprout.C,BL,0.603
PCSprout,C,PCSprout.C,BL,0.489
PCSprout,C,PCSprout.C,BL,0.636
PCSprout,C,PCSprout.C,BL,0.733
PCSprout,C,PCSprout.C,BL,0.515
PCSprout,C,PCSprout.C,BL,0.547
PCSprout,C,PCSprout.C,BRR,0.487
PCSprout,C,PCSprout.C,BRR,0.6
PCSprout,C,PCSprout.C,BRR,0.541
PCSprout,C,PCSprout.C,BRR,0.65
PCSprout,C,PCSprout.C,BRR,0.672
PCSprout,C,PCSprout.C,BRR,0.55
PCSprout,C,PCSprout.C,BRR,0.55
PCSprout,C,PCSprout.C,BRR,0.548
PCSprout,C,PCSprout.C,BRR,0.681
PCSprout,C,PCSprout.C,BRR,0.625
PCSprout,C,PCSprout.C,BRR,0.618
PCSprout,C,PCSprout.C,BRR,0.557
PCSprout,C,PCSprout.C,BRR,0.621
PCSprout,C,PCSprout.C,BRR,0.607
PCSprout,C,PCSprout.C,BRR,0.531
PCSprout,C,PCSprout.C,BRR,0.593
PCSprout,C,PCSprout.C,BRR,0.705
PCSprout,C,PCSprout.C,BRR,0.44
PCSprout,C,PCSprout.C,BRR,0.675
PCSprout,C,PCSprout.C,BRR,0.558
PCSprout,C,PCSprout.C,BRR,0.528
PCSprout,C,PCSprout.C,BRR,0.617
PCSprout,C,PCSprout.C,BRR,0.552
PCSprout,C,PCSprout.C,BRR,0.528
PCSprout,C,PCSprout.C,BRR,0.594
PCSprout,C,PCSprout.C,GBLUP,0.603
PCSprout,C,PCSprout.C,GBLUP,0.653
PCSprout,C,PCSprout.C,GBLUP,0.573
PCSprout,C,PCSprout.C,GBLUP,0.576
PCSprout,C,PCSprout.C,GBLUP,0.55
PCSprout,C,PCSprout.C,GBLUP,0.538
PCSprout,C,PCSprout.C,GBLUP,0.525
PCSprout,C,PCSprout.C,GBLUP,0.688
PCSprout,C,PCSprout.C,GBLUP,0.603
PCSprout,C,PCSprout.C,GBLUP,0.441
PCSprout,C,PCSprout.C,GBLUP,0.643
PCSprout,C,PCSprout.C,GBLUP,0.467
PCSprout,C,PCSprout.C,GBLUP,0.535
PCSprout,C,PCSprout.C,GBLUP,0.621
PCSprout,C,PCSprout.C,GBLUP,0.557
PCSprout,C,PCSprout.C,GBLUP,0.519
PCSprout,C,PCSprout.C,GBLUP,0.491
PCSprout,C,PCSprout.C,GBLUP,0.688
PCSprout,C,PCSprout.C,GBLUP,0.604
PCSprout,C,PCSprout.C,GBLUP,0.575
PCSprout,C,PCSprout.C,GBLUP,0.587
PCSprout,C,PCSprout.C,GBLUP,0.605
PCSprout,C,PCSprout.C,GBLUP,0.562
PCSprout,C,PCSprout.C,GBLUP,0.598
PCSprout,C,PCSprout.C,GBLUP,0.548
PCSprout,C,PCSprout.C,RKHS,0.659
PCSprout,C,PCSprout.C,RKHS,0.554
PCSprout,C,PCSprout.C,RKHS,0.586
PCSprout,C,PCSprout.C,RKHS,0.548
PCSprout,C,PCSprout.C,RKHS,0.448
PCSprout,C,PCSprout.C,RKHS,0.606
PCSprout,C,PCSprout.C,RKHS,0.535
PCSprout,C,PCSprout.C,RKHS,0.447
PCSprout,C,PCSprout.C,RKHS,0.641
PCSprout,C,PCSprout.C,RKHS,0.657
PCSprout,C,PCSprout.C,RKHS,0.64
PCSprout,C,PCSprout.C,RKHS,0.609
PCSprout,C,PCSprout.C,RKHS,0.561
PCSprout,C,PCSprout.C,RKHS,0.498
PCSprout,C,PCSprout.C,RKHS,0.631
PCSprout,C,PCSprout.C,RKHS,0.557
PCSprout,C,PCSprout.C,RKHS,0.459
PCSprout,C,PCSprout.C,RKHS,0.605
PCSprout,C,PCSprout.C,RKHS,0.647
PCSprout,C,PCSprout.C,RKHS,0.683
PCSprout,C,PCSprout.C,RKHS,0.392
PCSprout,C,PCSprout.C,RKHS,0.599
PCSprout,C,PCSprout.C,RKHS,0.698
PCSprout,C,PCSprout.C,RKHS,0.684
PCSprout,C,PCSprout.C,RKHS,0.617
PCSprout,H,PCSprout.H,BA,0.217
PCSprout,H,PCSprout.H,BA,0.151
PCSprout,H,PCSprout.H,BA,0.376
PCSprout,H,PCSprout.H,BA,0.286
PCSprout,H,PCSprout.H,BA,0.309
PCSprout,H,PCSprout.H,BA,0.382
PCSprout,H,PCSprout.H,BA,0.386
PCSprout,H,PCSprout.H,BA,0.405
PCSprout,H,PCSprout.H,BA,0.173
PCSprout,H,PCSprout.H,BA,0.188
PCSprout,H,PCSprout.H,BA,0.401
PCSprout,H,PCSprout.H,BA,0.361
PCSprout,H,PCSprout.H,BA,0.352
PCSprout,H,PCSprout.H,BA,0.34
PCSprout,H,PCSprout.H,BA,0.27
