SAMPLES,GEBVs(SVM),ACTUAL
15062362,31.146,76
15061954,42.645,40
15062339,73.824,76
15061482,77.381,80
15062104,30.062,79
15061707,30.73,51
15061567,72.763,76
15061964,43.687,50
15061488,31.185,30
15061438,31.582,29
15061814,35.802,30
15061721,42.055,39
15061601,31.227,89
15061719,41.092,43
15061629,77.259,80
15061477,30.995,29
15061761,42.526,45
15061336,45.014,29
15061386,29.588,28
15061305,43.216,80
15061676,30.926,38
15061523,28.687,30
15061763,33.242,27
15061385,29.066,30
15062133,32.374,35
15061333,51.064,29
15061627,37.529,60
15061731,31.326,51
15061641,35.485,30
15061330,54.588,40
15061626,38.414,29
15062147,36.196,42
15061487,32.824,30
15060536,53.305,81
15061261,50.403,80
15061389,32.236,30
15060101,40.652,50
15061397,30.263,50
15061551,73.802,80
15061539,28.937,75
15062115,76.355,80
15061361,30.814,34
15061669,77.75,76
15062359,63.726,76
15061690,29.33,29
15061308,31.29,29
15062372,53.492,28
15061342,31.857,35
15061281,39.467,42
15061932,70.139,80
15061370,41.459,41
15061630,31.11,28
15061789,75.693,80
15061666,31.049,79
15062143,40.618,38
15061297,32.114,29
15061907,55.246,80
15061538,30.416,30
15062371,51.446,75
15061685,41.01,38
15062081,38.854,27
15061969,75.72,80
15061498,32.545,29
15061271,39.763,30
15062344,33.533,30
15061279,33.107,35
15062144,28.494,30
15061722,49.15,27
15061768,43.532,43
15061557,52.632,40
15061434,38.357,35
15060072,38.525,70
15061405,41.266,42
15062052,41.122,43
15062098,41.119,39
15061916,31.192,27
15061377,53.74,76
15061633,55.708,79
15061702,32.529,45
15061614,45.637,39
15061368,29.936,53
15061520,71.678,39
15060082,76.478,80
15061656,55.254,42
15061331,48.738,60
15061327,50.249,41
15062074,31.473,80
15061300,75.821,80
15061776,76.72,76
15061462,75.963,76
15061302,31.197,30
15061957,43.151,38
15061514,51.812,42
15060909,70.798,82
15062063,31.465,27
15060090,56.878,42
15061301,51.204,38
15061423,39.315,35
15061453,75.31,29
15060215,44.158,35
15062119,29.746,29
15061537,42.369,50
15061667,40.896,39
15062123,75.614,75
15061710,31.241,29
15061258,34.914,30
15061443,76.626,76
15060050,38.964,80
15060110,30.155,28
15062053,45.826,40
15061764,31.34,75
15061799,34.555,34
