SAMPLES,GEBVs(RKHS),ACTUAL
15061614,192.59,22
15061337,83.705,345
15062067,84.186,96
15061752,177.746,344
15061930,175.741,342
15061566,176.187,313
15061773,124.908,7
15061575,57.333,9
15061344,247.28,346
15061282,192.56,342
15061926,188.246,359
15061906,171.959,313
15061665,83.825,74
15061397,174.614,342
15060187,133.771,3
15061534,248.126,318
15062362,83.098,85
15061521,174.79,17
15061633,108.012,83
15061659,177.168,346
15061673,133.15,3
15062356,247.873,313
15061361,84.741,21
15061729,89.155,7
15061755,118.08,3
15061496,160.953,22
15062368,45.035,22
15062339,117.442,85
15061577,216.069,328
15062136,76.783,7
15061529,198.576,328
15061396,109.177,313
15061482,84.791,96
15061814,122.667,7
15061769,132.067,8
15061610,85.104,359
15062147,66.72,18
15061358,82.164,86
15061550,85.982,5
15061271,74.644,328
15060214,84.803,85
15062074,69.518,86
15061507,211.483,14
15061383,83.275,17
15062149,69.167,17
15060042,177.851,342
15061647,80.915,85
15061477,87.676,313
15061586,178.434,96
15062347,217.851,359
15061958,141.806,85
15062346,87.945,96
15061639,123.101,345
15061757,97.075,7
15061299,188.726,10
15061653,45.61,83
15061761,110.443,39
15062146,247.102,0
15061655,111.149,85
15061329,216.325,318
15061535,153.37,21
15061578,215.451,3
15061730,86.681,5
15061627,86.765,41
15061500,84.846,96
15061717,62.542,359
15062122,144.192,313
15061435,95.713,12
15061706,120.329,94
15061624,172.953,17
15060121,217.993,359
15061423,93.541,17
15061488,230.763,328
15061916,82.573,5
15061487,140.491,3
15061281,35.534,18
15061937,71.572,359
15061493,160.459,7
15061296,90.267,313
15061649,94.829,345
15061307,219.948,3
15062133,161.588,17
15062350,200.597,3
15061338,174.743,313
15060027,123.945,17
15061011,86.692,96
15061795,246.586,328
15062358,227.86,318
15061216,127.367,328
15061300,85.656,96
15061462,114.128,85
15061516,59.883,14
15061394,108.089,342
15061453,83.609,313
15062123,87.433,83
15060110,176,359
15061964,108.163,17
15061542,89.388,5
15060570,117.639,85
15061785,95.175,83
15061766,90.269,85
15060021,246.062,313
15061364,84.238,7
15060050,181.573,67
15061637,83.273,83
15062369,67.582,21
15061345,44.97,18
15061966,141.379,313
15061737,86.07,84
15060112,83.418,7
15061751,177.235,10
15061567,138.395,85
