"","x"
"1","c2_6674"
"2","c2_57678"
"3","c2_54811"
"4","c2_49042"
"5","c2_54624"
"6","c2_45071"
"7","c1_8619"
"8","c2_686"
"9","c2_23713"
"10","c2_21332"
"11","c2_4437"
"12","c2_52704"
"13","c2_53521"
"14","c2_53708"
"15","c2_40131"
"16","c2_48155"
"17","c2_27903"
"18","c2_36660"
"19","c1_10369"
"20","c2_54797"
"21","c2_55012"
"22","c2_36664"
"23","c2_35997"
"24","c2_12959"
"25","c1_12179"
"26","c1_11211"
"27","c2_14636"
"28","c2_48808"
"29","c1_12377"
"30","c2_10802"
"31","c2_35970"
"32","c2_24454"
"33","c2_1092"
"34","c2_53250"
"35","c2_22301"
"36","c1_3484"
"37","c2_55124"
"38","c2_1514"
"39","c1_9695"
"40","c2_10568"
"41","c2_52070"
"42","c2_29282"
"43","c1_2319"
"44","c2_1486"
"45","c2_1493"
"46","c2_680"
"47","c2_681"
"48","c2_8431"
"49","c2_54060"
"50","c2_14639"
"51","c1_10457"
"52","c1_449"
"53","c2_10617"
"54","c1_3793"
"55","c2_4480"
"56","c2_53273"
"57","c2_36882"
"58","c2_14640"
"59","c1_11290"
"60","c2_52053"
"61","c2_32467"
"62","c1_5560"
"63","c2_35411"
"64","c1_15684"
"65","c2_12953"
"66","c2_35944"
"67","c1_3497"
"68","c2_323"
"69","c2_26008"
"70","c2_12789"
"71","c2_11479"
"72","c1_4604"
"73","c2_7549"
"74","c1_10461"
"75","c2_27961"
"76","c1_8763"
"77","c2_24535"
"78","c2_32415"
"79","c2_35053"
"80","c1_7430"
"81","c2_3747"
"82","c1_6749"
"83","c2_12955"
"84","c2_12957"
"85","c2_24536"
"86","c2_40745"
"87","c2_43588"
"88","c2_11679"
"89","c1_16258"
"90","c2_55199"
"91","c1_12339"
"92","c2_28580"
"93","c2_22205"
"94","c1_216"
"95","c1_6748"
"96","c2_4165"
"97","c2_325"
"98","c2_40858"
"99","c1_4847"
"100","c2_31443"
"101","c2_36053"
"102","c2_41396"
"103","c2_44804"
"104","c2_28521"
"105","c2_34203"
"106","c2_12958"
"107","c2_17060"
"108","c2_27268"
"109","c1_2405"
"110","c2_52069"
"111","c2_10798"
"112","c2_39080"
"113","c1_7139"
"114","c2_6185"
"115","c2_45886"
"116","c2_57257"
"117","c1_4319"
"118","c1_7040"
"119","c1_7964"
"120","c2_34017"
"121","c2_48810"
"122","c2_16718"
"123","c1_5656"
"124","c2_37329"
"125","c2_10563"
"126","c1_3894"
"127","c2_45256"
"128","c2_7958"
"129","c2_12786"
"130","c2_25219"
"131","c2_27003"
"132","c2_34958"
"133","c2_44335"
"134","c2_3962"
"135","c1_11356"
"136","c2_52887"
"137","c2_40699"
"138","c2_53998"
"139","c2_31359"
"140","c2_28641"
"141","c2_45603"
"142","c1_14442"
"143","c1_4415"
"144","c2_38274"
"145","c2_56726"
"146","c2_43748"
"147","c2_32400"
"148","c2_23832"
"149","c1_1323"
"150","c2_37472"
"151","c2_34202"
"152","c2_29981"
"153","c1_12945"
"154","c2_46708"
"155","c1_5295"
"156","c2_19537"
"157","c2_3146"
"158","c1_513"
"159","c1_14683"
"160","c2_27563"
"161","c2_13671"
"162","c1_16459"
"163","c2_36833"
"164","c2_23254"
"165","c2_26296"
"166","c2_35592"
"167","c2_14274"
"168","c2_23739"
"169","c2_23740"
"170","c2_38938"
"171","c2_52057"
"172","c2_41106"
"173","c2_21682"
"174","c2_33892"
"175","c1_6758"
"176","c2_29767"
"177","c2_15530"
"178","c2_26509"
"179","c1_167"
"180","c2_25560"
"181","c2_39342"
"182","c2_5774"
"183","c1_10751"
"184","c2_164"
"185","c1_16470"
"186","c1_10855"
"187","c2_16274"
"188","c2_25216"
"189","c1_7622"
"190","c2_42475"
"191","c2_36714"
"192","c2_39848"
"193","c2_50394"
"194","c1_12802"
"195","c2_19135"
"196","c2_38556"
"197","c1_11391"
"198","c1_11458"
"199","c1_9027"
"200","c2_54335"
"201","c2_30297"
"202","c2_54589"
"203","c1_13006"
"204","c2_35590"
"205","c1_16172"
"206","c2_57254"
"207","c2_39035"
"208","c1_9413"
"209","c1_12305"
"210","c2_30973"
"211","c2_23139"
"212","c1_13349"
"213","c2_4030"
"214","c1_7658"
"215","c2_54204"
"216","c2_56627"
"217","c2_39847"
"218","c2_18945"
"219","c1_7192"
"220","c2_30296"
"221","c2_14848"
"222","c2_20514"
"223","c2_43032"
"224","c2_43049"
"225","c2_15388"
"226","c2_37406"
"227","c1_13482"
"228","c2_39450"
"229","c2_41541"
"230","c2_38551"
"231","c1_16413"
"232","c1_11935"
"233","c2_19692"
"234","c2_44304"
"235","c1_15579"
"236","c1_15580"
"237","c2_13766"
"238","c2_42451"
"239","c1_7680"
"240","c2_19584"
"241","c2_27414"
"242","c1_3867"
"243","c2_49495"
"244","c2_10539"
"245","c1_12015"
"246","c2_34085"
"247","c2_44305"
"248","c2_56059"
"249","c2_19081"
"250","c1_958"
"251","c1_11363"
"252","c2_34777"
"253","c2_12720"
"254","c2_33280"
"255","c1_1923"
"256","c2_8253"
"257","c2_31156"
"258","c2_24"
"259","c2_38552"
"260","c1_3476"
"261","c2_33422"
"262","c1_12797"
"263","c2_40879"
"264","c2_44634"
"265","c2_4978"
"266","c2_52898"
"267","c2_58236"
"268","c2_43736"
"269","c1_7132"
"270","c1_58"
"271","c2_3512"
"272","c2_20333"
"273","c2_52700"
"274","c2_30361"
"275","c2_46195"
"276","c1_7621"
"277","c1_11137"
"278","c2_34872"
"279","c2_55700"
"280","c1_16406"
"281","c1_3074"
"282","c2_23846"
"283","c2_48184"
"284","c2_40831"
"285","c2_27650"
"286","c2_17899"
"287","c2_17900"
"288","c1_4925"
"289","c1_7678"
"290","c1_13526"
"291","c1_10031"
"292","c2_44816"
"293","c2_15047"
"294","c1_10178"
"295","c1_16414"
"296","c1_14839"
"297","c2_5440"
"298","c2_34866"
"299","c2_34557"
"300","c2_39083"
"301","c1_4803"
"302","c2_16777"
"303","c2_56794"
"304","c2_27863"
"305","c2_48687"
"306","c2_13751"
"307","c2_9039"
"308","c2_14947"
"309","c2_46113"
"310","c2_23170"
"311","c1_6869"
"312","c2_28665"
"313","c2_8037"
"314","c2_28228"
"315","c1_3868"
"316","c2_19556"
"317","c1_1249"
"318","c2_32790"
"319","c1_10179"
"320","c2_17539"
"321","c2_55837"
"322","c2_5463"
"323","c1_6556"
"324","c1_13236"
"325","c2_17896"
"326","c1_7381"
"327","c2_27271"
"328","c2_2653"
"329","c2_5791"
"330","c1_11025"
"331","c2_32338"
"332","c1_14664"
"333","c2_52705"
"334","c2_50011"
"335","c2_49758"
"336","c2_27878"
"337","c2_37599"
"338","c2_56125"
"339","c2_54353"
"340","c1_6083"
"341","c2_21078"
"342","c2_2721"
"343","c1_13289"
"344","c2_45064"
"345","c2_48549"
"346","c2_27900"
"347","c1_8186"
"348","c2_31180"
"349","c2_26211"
"350","c2_26210"
"351","c2_12782"
"352","c2_41337"
"353","c2_26165"
"354","c2_50502"
"355","c2_57263"
"356","c2_53258"
"357","c2_1485"
"358","c2_31383"
"359","c2_58249"
"360","c2_701"
"361","c2_20273"
"362","c2_1483"
"363","c2_58247"
"364","c1_15547"
"365","c2_18463"
"366","c2_18502"
"367","c2_18507"
"368","c2_390"
"369","c2_391"
"370","c2_26167"
"371","c2_43243"
"372","c2_19746"
"373","c1_4180"
