SAMPLES,GEBVs(RF),ACTUAL
15062362,267.302,344
15061954,339.833,342
15062339,323.852,344
15061482,337.338,324
15062104,316.808,328
15061707,305.28,324
15061567,314.262,345
15061964,335.646,345
15061488,343.631,346
15061438,343.309,342
15061814,211.774,345
15061721,331.959,346
15061601,333.755,345
15061719,332.733,10
15061629,322.673,345
15061477,311.607,324
15061761,333.212,344
15061336,305.487,346
15061386,341.513,346
15061305,327.43,324
15061676,341.54,344
15061523,339.315,333
15061763,295.567,345
15061385,333.57,333
15062133,328.646,344
15061333,304.542,316
15061627,308.683,344
15061731,345.43,344
15061641,227.404,344
15061330,259.248,344
15061626,336.548,344
15062147,234.998,346
15061487,335.133,318
15060536,309.116,316
15061261,304.763,345
15061389,337.821,344
15060101,331.662,333
15061397,336.992,344
15061551,337.165,345
15061539,336.238,345
15062115,343.359,345
15061361,300.909,316
15061669,332.366,345
15062359,253.256,344
15061690,342.846,346
15061308,345.175,316
15062372,233.133,342
15061342,341.337,346
15061281,305.882,316
15061932,321.042,345
15061370,285.496,346
15061630,336.477,344
15061789,339.675,346
15061666,185.896,344
15062143,343.543,316
15061297,308.732,318
15061907,227.099,324
15061538,334.798,344
15062371,343.708,344
15061685,343.708,333
15062081,298.098,344
15061969,206.807,346
15061498,342.115,346
15061271,237.577,346
15062344,265.508,321
15061279,323.336,346
15062144,334.749,346
15061722,332.307,331
15061768,341.091,328
15061557,340.743,331
15061434,274.255,12
15060072,256.307,344
15061405,270.299,322
15062052,253.192,324
15062098,329.959,316
15061916,338.918,12
15061377,338.163,324
15061633,306.273,345
15061702,334.352,344
15061614,288.372,346
15061368,342.439,344
15061520,318.623,345
15060082,314.684,344
15061656,299.531,324
15061331,311.71,333
15061327,308.971,346
15062074,333.386,344
15061300,343.131,346
15061776,338.861,344
15061462,341.837,333
15061302,323.211,321
15061957,289.099,12
15061514,298.092,346
15060909,320.318,344
15062063,302.968,331
15060090,343.636,344
15061301,324.791,346
15061423,315.141,346
15061453,344.132,344
15060215,309.573,345
15062119,316.174,346
15061537,333.127,345
15061667,343.663,346
15062123,261.094,344
15061710,337.931,345
15061258,244.609,333
15061443,337.708,344
15060050,334.216,346
15060110,330.492,344
15062053,311.692,344
15061764,341.125,344
15061799,220.176,331
