Models,Predictive_ability
BA,0.308
BA,0.343
BA,0.352
BA,0.36
BB,0.436
BB,0.398
BB,0.329
BB,0.434
BC,0.365
BC,0.384
BC,0.353
BC,0.433
BL,0.335
BL,0.459
BL,0.372
BL,0.441
BRR,0.332
BRR,0.394
BRR,0.456
BRR,0.432
GBLUP,0.427
GBLUP,0.338
GBLUP,0.408
GBLUP,0.428
EGBLUP,0.381
EGBLUP,0.323
EGBLUP,0.41
EGBLUP,0.393
RKHS,0.379
RKHS,0.338
RKHS,0.387
RKHS,0.348
Lasso,0.401
Lasso,0.225
Lasso,0.397
Lasso,0.291
RR,0.394
RR,0.344
RR,0.376
RR,0.394
SVM,0.434
SVM,0.414
SVM,0.388
SVM,0.425
RF,0.398
RF,0.41
RF,0.387
RF,0.368
