SAMPLES,GEBVs(SVM),ACTUAL
15061614,92.19,92
15061337,84.43,84
15062067,90.901,92
15061752,91.517,84
15061930,90.752,92
15061566,91.914,92
15061773,91.339,84
15061575,84.486,84
15061344,87.517,84
15061282,92.797,92
15061926,92.171,92
15061906,84.553,92
15061665,87.37,84
15061397,91.576,84
15060187,91.538,82
15061534,80.885,80
15062362,84.468,84
15061521,91.055,82
15061633,87.996,92
15061659,91.565,92
15061673,88.115,92
15062356,80.691,84
15061361,84.365,84
15061729,84.714,84
15061755,84.349,84
15061496,84.619,92
15062368,84.263,84
15062339,88.482,84
15061577,84.834,84
15062136,84.491,82
15061529,84.603,84
15061396,84.305,92
15061482,86.991,92
15061814,92.966,92
15061769,87.358,92
15061610,84.429,92
15062147,91.122,92
15061358,84.723,84
15061550,84.581,84
15061271,84.375,92
15060214,87.592,92
15062074,86.919,92
15061507,92.432,92
15061383,84.437,84
15062149,91.39,84
15060042,91.189,92
15061647,84.934,92
15061477,91.672,92
15061586,91.196,92
15062347,84.496,84
15061958,88.197,84
15062346,86.134,84
15061639,92.558,92
15061757,84.506,84
15061299,91.481,92
15061653,84.328,84
15061761,84.731,84
15062146,80.808,82
15061655,87.759,84
15061329,84.569,82
15061535,84.635,84
15061578,84.491,92
15061730,84.42,84
15061627,84.555,92
15061500,86.546,92
15061717,84.458,84
15062122,91.529,92
15061435,84.629,84
15061706,87.899,84
15061624,91.677,92
15060121,84.48,92
15061423,90.421,92
15061488,84.294,92
15061916,84.448,84
15061487,88.475,92
15061281,84.556,92
15061937,86.252,92
15061493,84.406,84
15061296,84.488,84
15061649,87.982,84
15061307,84.463,84
15062133,84.648,92
15062350,86.77,84
15061338,91.674,92
15060027,91.423,92
15061011,84.748,84
15061795,80.894,82
15062358,85.239,84
15061216,88.472,84
15061300,84.404,88
15061462,84.925,88
15061516,85.302,94
15061394,84.286,84
15061453,84.543,84
15062123,84.429,92
15060110,91.818,92
15061964,84.434,84
15061542,84.783,84
15060570,88.512,84
15061785,86.216,92
15061766,84.91,84
15060021,80.909,82
15061364,84.445,84
15060050,92.305,92
15061637,84.585,84
15062369,91.262,84
15061345,84.35,84
15061966,88.483,84
15061737,84.621,84
15060112,84.371,84
15061751,91.068,92
15061567,88.397,84
