Prefix,HCL_component,Traits,Models,Predictive_ability
Baya,C,Baya.LCH.C,BA,0.152
Baya,C,Baya.LCH.C,BA,0.201
Baya,C,Baya.LCH.C,BA,0.166
Baya,C,Baya.LCH.C,BA,0.26
Baya,C,Baya.LCH.C,BA,0.026
Baya,C,Baya.LCH.C,BA,0.093
Baya,C,Baya.LCH.C,BB,0.253
Baya,C,Baya.LCH.C,BB,0.145
Baya,C,Baya.LCH.C,BB,0.092
Baya,C,Baya.LCH.C,BB,0.077
Baya,C,Baya.LCH.C,BB,0.072
Baya,C,Baya.LCH.C,BB,0.058
Baya,C,Baya.LCH.C,BC,0.178
Baya,C,Baya.LCH.C,BC,0.16
Baya,C,Baya.LCH.C,BC,0.086
Baya,C,Baya.LCH.C,BC,0.089
Baya,C,Baya.LCH.C,BC,0.16
Baya,C,Baya.LCH.C,BC,0.137
Baya,C,Baya.LCH.C,BL,0.129
Baya,C,Baya.LCH.C,BL,0.083
Baya,C,Baya.LCH.C,BL,0.112
Baya,C,Baya.LCH.C,BL,0.106
Baya,C,Baya.LCH.C,BL,0.062
Baya,C,Baya.LCH.C,BL,0.22
Baya,C,Baya.LCH.C,BRR,0.042
Baya,C,Baya.LCH.C,BRR,-0.034
Baya,C,Baya.LCH.C,BRR,0.21
Baya,C,Baya.LCH.C,BRR,0.095
Baya,C,Baya.LCH.C,BRR,0.094
Baya,C,Baya.LCH.C,BRR,0.098
Baya,C,Baya.LCH.C,GBLUP,0.063
Baya,C,Baya.LCH.C,GBLUP,0.168
Baya,C,Baya.LCH.C,GBLUP,0.184
Baya,C,Baya.LCH.C,GBLUP,0.07
Baya,C,Baya.LCH.C,GBLUP,0.244
Baya,C,Baya.LCH.C,GBLUP,0.171
Baya,C,Baya.LCH.C,EGBLUP,0.197
Baya,C,Baya.LCH.C,EGBLUP,0.094
Baya,C,Baya.LCH.C,EGBLUP,0.088
Baya,C,Baya.LCH.C,EGBLUP,0.181
Baya,C,Baya.LCH.C,EGBLUP,0.15
Baya,C,Baya.LCH.C,EGBLUP,0.096
Baya,C,Baya.LCH.C,RKHS,0.016
Baya,C,Baya.LCH.C,RKHS,0.154
Baya,C,Baya.LCH.C,RKHS,0.095
Baya,C,Baya.LCH.C,RKHS,0.161
Baya,C,Baya.LCH.C,RKHS,0.095
Baya,C,Baya.LCH.C,RKHS,0.143
Baya,H,Baya.LCH.H,BA,0.062
Baya,H,Baya.LCH.H,BA,0.163
Baya,H,Baya.LCH.H,BA,0.165
Baya,H,Baya.LCH.H,BA,0.081
Baya,H,Baya.LCH.H,BA,0.141
Baya,H,Baya.LCH.H,BA,0.121
Baya,H,Baya.LCH.H,BB,0.122
Baya,H,Baya.LCH.H,BB,0.154
Baya,H,Baya.LCH.H,BB,0.078
Baya,H,Baya.LCH.H,BB,0.016
Baya,H,Baya.LCH.H,BB,0.142
Baya,H,Baya.LCH.H,BB,0.121
Baya,H,Baya.LCH.H,BC,0.212
Baya,H,Baya.LCH.H,BC,0.155
Baya,H,Baya.LCH.H,BC,0.074
Baya,H,Baya.LCH.H,BC,0.121
Baya,H,Baya.LCH.H,BC,0.064
Baya,H,Baya.LCH.H,BC,-0.003
Baya,H,Baya.LCH.H,BL,0.122
Baya,H,Baya.LCH.H,BL,0.06
Baya,H,Baya.LCH.H,BL,0.057
Baya,H,Baya.LCH.H,BL,0.06
Baya,H,Baya.LCH.H,BL,0.171
Baya,H,Baya.LCH.H,BL,0.073
