SAMPLES,GEBVs(RKHS),ACTUAL
15061614,41.993,44
15061337,35.345,44
15062067,42.816,44
15061752,22.279,19
15061930,39.246,16
15061566,16.171,16
15061773,21.547,16
15061575,24.343,21
15061344,41.97,44
15061282,41.898,44
15061926,41.408,44
15061906,17.431,16
15061665,43.433,44
15061397,16.404,44
15060187,38.237,16
15061534,19.089,44
15062362,35.123,44
15061521,35.06,16
15061633,39.901,16
15061659,39.454,21
15061673,38.857,16
15062356,19.125,17
15061361,35.198,44
15061729,17.546,16
15061755,25.978,44
15061496,20.15,16
15062368,43.521,44
15062339,36.23,44
15061577,33.254,44
15062136,22.052,6
15061529,39.043,44
15061396,41.196,16
15061482,40.549,44
15061814,36.71,16
15061769,36.769,44
15061610,35.066,17
15062147,29.032,44
15061358,41.944,44
15061550,17.167,16
15061271,36.122,44
15060214,42.36,44
15062074,41.581,44
15061507,37.549,44
15061383,35.237,16
15062149,29.277,16
15060042,35.681,16
15061647,41.849,44
15061477,36.972,44
15061586,39.372,44
15062347,42.985,44
15061958,29.047,44
15062346,33.997,44
15061639,37.019,21
15061757,27.664,16
15061299,41.574,6
15061653,43.508,44
15061761,40.972,44
15062146,19.123,16
15061655,43.509,44
15061329,33.392,16
15061535,20.621,16
15061578,33.243,6
15061730,17.393,16
15061627,38.857,44
15061500,40.477,44
15061717,39.784,16
15062122,16.516,6
15061435,27.587,16
15061706,37.398,44
15061624,17.176,6
15060121,42.901,44
15061423,44.159,44
15061488,15.944,16
15061916,35.076,44
15061487,25.101,6
15061281,43.879,44
15061937,41.505,44
15061493,20.447,44
15061296,34.807,16
15061649,39.826,44
15061307,25.552,16
15062133,19.799,6
15062350,40.134,44
15061338,16.37,16
15060027,21.469,16
15061011,41.724,44
15061795,19.407,16
15062358,15.844,16
15061216,36.019,44
15061300,16.614,44
15061462,41.99,44
15061516,26.732,16
15061394,41.291,44
15061453,16.599,16
15062123,43.893,44
15060110,16.194,16
15061964,41.073,44
15061542,43.907,44
15060570,36.378,44
15061785,41.345,44
15061766,43.984,44
15060021,19.206,16
15061364,35.37,44
15060050,39.793,44
15061637,41.97,38
15062369,29.284,16
15061345,43.717,44
15061966,25.623,16
15061737,17.412,16
15060112,35.195,44
15061751,40.049,43
15061567,28.76,44
