SAMPLES,GEBVs(BC),ACTUAL
15061614,40.611,31
15061337,30.414,33
15062067,38.959,39
15061752,27.842,26
15061930,33.261,31
15061566,30.19,33
15061773,29.804,26
15061575,27.641,26
15061344,36.936,27
15061282,40.754,27
15061926,40.652,33
15061906,31.32,26
15061665,37.982,57
15061397,30.285,58
15060187,34.238,41
15061534,26.829,38
15062362,30.534,43
15061521,35.903,43
15061633,35.657,43
15061659,33.526,42
15061673,41.791,45
15062356,26.621,26
15061361,30.352,26
15061729,37.043,49
15061755,31.67,33
15061496,28.562,33
15062368,44.264,48
15062339,39.45,36
15061577,28.238,26
15062136,40.044,33
15061529,29.498,33
15061396,32.139,26
15061482,44.774,36
15061814,43.256,49
15061769,42.075,39
15061610,30.179,26
15062147,37.622,39
15061358,28.469,27
15061550,37.441,33
15061271,34.766,26
15060214,38.297,26
15062074,30.295,26
15061507,35.449,43
15061383,30.16,26
15062149,37.408,44
15060042,34.977,26
15061647,28.387,27
15061477,31.438,26
15061586,33.476,46
15062347,28.943,26
15061958,33.094,48
15062346,34.79,36
15061639,43.562,43
15061757,29.31,26
15061299,40.961,43
15061653,44.227,48
15061761,32.129,26
15062146,26.974,26
15061655,39.359,36
15061329,28.52,27
15061535,29.618,26
15061578,28.525,36
15061730,37.011,42
15061627,34.521,54
15061500,44.709,52
15061717,29.616,27
15062122,35.587,26
15061435,29.846,33
15061706,44.078,49
15061624,29.905,36
15060121,28.914,26
15061423,41.642,31
15061488,35.419,38
15061916,30.174,26
15061487,35.402,26
15061281,42.959,54
15061937,29.955,26
15061493,28.837,33
15061296,33.857,33
15061649,35.084,33
15061307,29.17,27
15062133,28.705,26
15062350,30.626,38
15061338,30.577,26
15060027,30.524,26
15061011,28.568,27
15061795,27.057,33
15062358,35.464,36
15061216,35.051,38
15061300,41.955,27
15061462,32.237,48
15061516,39.423,36
15061394,31.966,26
15061453,42.157,43
15062123,28.863,26
15060110,30.18,26
15061964,32.057,26
15061542,29.185,49
15060570,39.503,43
15061785,33.487,43
15061766,29.064,26
15060021,27.293,26
15061364,30.311,33
15060050,33.403,45
15061637,28.276,26
15062369,37.482,48
15061345,44.312,39
15061966,34.906,26
15061737,37.177,59
15060112,30.201,26
15061751,33.448,49
15061567,33.532,39
