Samples,PriTuber.L
15061942,39
15061763,27
15061801,50
15061494,29
15061613,43
15062137,30
15061319,44
15062142,80
15060320,80
15061768,43
15061522,76
15060081,80
15061656,42
15061759,77
15061928,30
15061454,27
15061605,80
15060087,30
15061619,28
15060090,42
15061731,51
15061655,76
15061661,42
15061499,80
15061647,76
15061612,80
15061742,75
15061710,29
15062372,28
15061583,50
15061767,30
15062130,40
15061637,75
15061337,30
15062104,79
15061579,30
15061932,80
15061603,29
15060025,76
15061704,27
15061334,38
15061631,28
15060964,28
15061778,28
15061718,28
15061486,29
15060214,76
15061333,29
15061962,75
15061624,43
15061282,50
15061529,30
15061935,42
15061568,80
15061491,30
15061318,30
15061361,34
15061515,35
15062123,75
15061358,80
15061428,38
15061496,39
15061648,28
15061808,81
15061600,35
15061730,27
15061623,42
15061405,42
15061299,43
15061578,30
15061476,27
15061765,28
15062111,62
15061397,50
15061713,76
15061584,48
15061912,80
15061260,30
15062099,27
15061350,42
15060933,43
15061548,30
15061348,30
15061560,40
15061544,27
15061449,51
15062348,35
15061916,27
15062138,29
15061946,27
15061676,38
15060536,81
15061391,28
15061662,28
15061228,30
15061356,60
15061963,28
15061338,29
15062331,50
15062098,39
15062114,76
15062046,80
15062370,29
15061685,38
15061540,80
15061721,39
15062074,80
15062362,76
15061689,28
15061357,29
15061376,38
15061308,29
