Samples,Pulpa.L
15060021,82
15060027,92
15060039,92
15060042,92
15060050,92
15060056,92
15060063,84
15060070,92
15060072,84
15060082,92
15060085,94
15060097,94
15060101,92
15060102,92
15060110,92
15060112,84
15060114,92
15060120,92
15060121,92
15060122,84
15060138,92
15060160,84
15060187,82
15060188,94
15060190,84
15060191,84
15060215,92
15060313,84
15060345,84
15060383,80
15060420,84
15060543,84
15060570,84
15060797,82
15060846,92
15060907,92
15060909,92
15060910,84
15061007,81
15061011,84
15061122,92
15061204,84
15061213,84
15061215,84
15061216,84
15061225,92
15061226,92
15061237,95
15061256,92
15061257,84
15061258,92
15061259,92
15061261,80
15061262,84
15061263,84
15061264,84
15061265,92
15061270,84
15061271,92
15061273,84
15061274,84
15061277,92
15061279,84
15061281,92
15061283,84
15061286,84
15061288,92
15061289,84
15061290,92
15061291,84
15061293,84
15061295,92
15061296,84
15061297,89
15061298,84
15061300,88
15061301,84
15061302,84
15061303,92
15061305,92
15061307,84
15061312,92
15061313,84
15061314,84
15061317,84
15061320,84
15061323,92
15061324,84
15061327,92
15061329,82
15061330,84
15061331,92
15061335,84
15061336,84
15061340,84
15061342,84
15061344,84
15061345,84
15061346,84
15061347,84
15061349,84
15061352,84
15061353,92
15061355,84
15061360,84
15061364,84
15061365,84
15061367,92
15061368,84
15061369,92
15061370,84
15061377,84
15061378,84
15061380,84
15061382,92
15061383,84
15061384,92
15061385,92
15061386,84
15061388,92
15061389,84
15061390,84
15061392,84
15061394,84
15061396,92
15061404,84
15061406,84
15061410,92
15061411,94
15061414,84
15061415,84
15061417,84
15061418,92
15061419,92
15061420,92
15061421,84
15061422,92
15061423,92
15061424,84
15061425,84
15061430,84
15061434,84
15061435,84
15061436,92
15061437,92
15061438,92
15061439,84
15061441,84
15061442,92
15061443,84
15061444,92
15061445,84
15061447,92
15061453,84
15061458,84
15061459,92
15061461,84
15061462,88
15061463,88
15061469,88
15061470,92
15061471,92
15061475,84
15061477,92
15061478,88
15061479,88
15061480,84
15061481,92
15061482,92
15061484,84
15061485,84
15061487,92
15061488,92
15061489,84
15061490,84
15061492,82
15061493,84
15061495,84
15061498,84
15061500,92
15061501,92
15061503,84
15061504,92
15061505,84
15061507,92
15061508,92
15061509,84
15061511,92
15061514,84
15061516,94
15061517,84
15061518,92
15061520,82
15061521,82
15061523,92
15061524,92
15061525,92
15061526,84
15061528,84
15061530,92
15061533,92
15061534,80
15061535,84
15061536,92
15061537,84
15061538,92
15061539,84
15061542,84
15061543,84
15061546,92
15061549,84
15061550,84
15061551,92
15061553,84
15061555,84
15061556,92
15061557,84
15061561,84
15061564,92
15061565,84
15061566,92
15061567,84
15061571,92
15061575,84
15061576,84
15061577,84
15061580,84
15061585,92
15061586,92
15061588,84
15061601,84
15061602,84
15061604,84
15061608,84
15061609,92
15061610,92
15061614,92
15061621,84
15061622,84
15061626,92
15061627,92
15061628,84
15061629,92
15061630,80
15061632,92
15061633,92
15061638,84
15061639,92
15061640,84
15061641,94
15061642,84
15061645,84
15061646,84
15061649,84
15061650,82
15061651,92
15061653,84
15061654,92
15061658,92
15061659,92
15061665,84
15061666,92
15061667,84
15061668,84
15061669,92
15061670,92
15061671,84
15061673,92
15061677,92
15061678,84
15061679,84
15061680,92
15061682,84
15061683,92
15061684,92
15061686,84
15061687,92
15061688,84
15061690,84
15061702,84
15061706,84
15061707,84
15061709,92
15061712,84
15061714,92
15061717,84
15061719,84
15061720,84
15061722,92
15061723,84
15061724,84
15061725,92
15061726,84
15061729,84
15061733,84
15061734,92
15061735,94
15061736,84
15061737,84
15061738,84
15061740,92
15061744,92
15061747,84
15061751,92
15061752,84
15061753,92
15061754,84
15061755,84
15061756,84
15061757,84
15061758,84
15061760,84
15061761,84
15061762,84
15061764,84
15061766,84
15061769,92
15061771,84
15061772,84
15061773,84
15061776,92
15061777,84
15061784,84
15061785,92
15061788,92
15061789,92
15061790,92
15061795,82
15061797,84
15061798,92
15061799,84
15061800,92
15061811,84
15061813,84
15061814,92
15061815,84
15061826,92
15061905,84
15061906,92
15061907,84
15061908,84
15061909,84
15061910,92
15061911,84
15061915,84
15061917,84
15061918,92
15061926,92
15061927,92
15061929,92
15061930,92
15061933,84
15061934,84
15061937,92
15061939,84
15061941,84
15061944,92
15061945,84
15061948,84
15061949,92
15061951,84
15061952,84
15061953,92
15061954,84
15061957,92
15061958,84
15061960,84
15061961,92
15061964,84
15061965,84
15061966,84
15061967,92
15061968,84
15061969,92
15062036,92
15062038,84
15062039,84
15062050,84
15062051,84
15062052,84
15062053,92
15062063,84
15062067,92
15062069,84
15062071,84
15062080,84
15062081,84
15062092,92
15062094,92
15062097,84
15062100,92
15062101,84
15062102,92
15062103,84
15062105,92
15062106,84
15062107,92
15062108,92
15062109,84
15062112,92
15062115,84
15062117,84
15062118,84
15062119,92
15062122,92
15062124,84
15062126,84
15062133,92
15062136,82
15062139,92
15062143,84
15062144,84
15062145,84
15062146,82
15062147,92
15062149,84
15062150,92
15062151,84
15062152,92
15062153,92
15062332,92
15062333,92
15062334,92
15062335,84
15062337,84
15062338,84
15062339,84
15062344,84
15062346,84
15062347,84
15062349,84
15062350,84
15062351,84
15062353,84
15062354,84
15062356,84
15062357,92
15062358,84
15062359,84
15062360,92
15062361,84
15062363,84
15062366,92
15062367,84
15062368,84
15062369,84
15062371,92
