Samples,PriFlor.L
15061942,57
15061763,59
15061801,75
15061494,43
15061613,54
15062137,43
15061319,49
15062142,43
15060320,45
15061768,43
15061522,43
15060081,52
15061656,66
15061759,33
15061928,45
15061454,43
15061605,61
15060087,41
15061619,43
15060090,41
15061731,54
15061655,66
15061661,67
15061499,66
15061647,52
15061612,43
15061742,45
15061710,45
15062372,65
15061583,59
15061767,65
15062130,48
15061637,43
15061337,49
15062104,33
15061579,43
15061932,57
15061603,42
15060025,52
15061704,61
15061334,45
15061631,43
15060964,36
15061778,43
15061718,59
15061486,58
15060214,36
15061333,52
15061962,54
15061624,38
15061282,43
15061529,92
15061935,36
15061568,43
15061491,43
15061318,36
15061361,43
15061515,92
15062123,58
15061358,48
15061428,54
15061496,33
15061648,43
15061808,57
15061600,63
15061730,52
15061623,38
15061405,58
15061299,61
15061578,61
15061476,49
15061765,92
15062111,43
15061397,92
15061713,66
15061584,43
15061912,57
15061260,57
15062099,45
15061350,63
15060933,43
15061548,36
15061348,43
15061560,61
15061544,66
15061449,58
15062348,54
15061916,36
15062138,43
15061946,48
15061676,41
15060536,67
15061391,36
15061662,49
15061228,43
15061356,61
15061963,43
15061338,54
15062331,45
15062098,54
15062114,43
15062046,45
15062370,43
15061685,54
15061540,43
15061721,45
15062074,70
15062362,41
15061689,36
15061357,43
15061376,36
15061308,57
