Samples,Baya.C
15061942,48
15061763,38
15061801,48
15061494,44
15061613,45
15062137,44
15061319,45
15062142,59
15060320,48
15061768,48
15061522,48
15060081,32
15061656,45
15061759,59
15061928,44
15061454,44
15061605,48
15060087,28
15061619,38
15060090,48
15061731,48
15061655,48
15061661,38
15061499,59
15061647,44
15061612,44
15061742,32
15061710,59
15062372,44
15061583,44
15061767,59
15062130,59
15061637,59
15061337,44
15062104,45
15061579,45
15061932,45
15061603,48
15060025,48
15061704,75
15061334,48
15061631,48
15060964,38
15061778,44
15061718,44
15061486,44
15060214,44
15061333,44
15061962,44
15061624,44
15061282,32
15061529,48
15061935,59
15061568,44
15061491,59
15061318,44
15061361,44
15061515,32
15062123,44
15061358,38
15061428,48
15061496,44
15061648,48
15061808,48
15061600,44
15061730,28
15061623,48
15061405,28
15061299,44
15061578,44
15061476,50
15061765,48
15062111,38
15061397,38
15061713,28
15061584,48
15061912,44
15061260,45
15062099,44
15061350,45
15060933,48
15061548,44
15061348,45
15061560,48
15061544,28
15061449,48
15062348,44
15061916,32
15062138,59
15061946,44
15061676,45
15060536,44
15061391,44
15061662,38
15061228,45
15061356,44
15061963,45
15061338,48
15062331,8
15062098,48
15062114,50
15062046,44
15062370,44
15061685,50
15061540,45
15061721,59
15062074,44
15062362,44
15061689,59
15061357,44
15061376,44
15061308,44
