Samples,Baya.L
15060021,44
15060027,54
15060039,50
15060042,66
15060050,50
15060056,66
15060063,71
15060070,54
15060072,71
15060082,44
15060085,58
15060097,58
15060101,53
15060102,54
15060110,54
15060112,44
15060114,54
15060120,71
15060121,58
15060122,44
15060138,44
15060160,58
15060187,54
15060188,58
15060190,71
15060191,69
15060215,54
15060313,50
15060345,71
15060383,53
15060420,58
15060543,54
15060570,54
15060797,54
15060846,66
15060907,54
15060909,54
15060910,44
15061007,54
15061011,54
15061122,54
15061204,54
15061213,63
15061215,54
15061216,66
15061225,66
15061226,58
15061237,76
15061256,54
15061257,66
15061258,54
15061259,44
15061261,69
15061262,58
15061263,58
15061264,54
15061265,66
15061270,54
15061271,62
15061273,54
15061274,44
15061277,58
15061279,54
15061281,50
15061283,66
15061286,54
15061288,66
15061289,66
15061290,72
15061291,54
15061293,66
15061295,71
15061296,66
15061297,54
15061298,66
15061300,58
15061301,54
15061302,66
15061303,66
15061305,66
15061307,54
15061312,69
15061313,69
15061314,76
15061317,66
15061320,72
15061323,54
15061324,54
15061327,54
15061329,54
15061330,62
15061331,54
15061335,66
15061336,54
15061340,54
15061342,69
15061344,71
15061345,69
15061346,54
15061347,54
15061349,58
15061352,66
15061353,54
15061355,54
15061360,54
15061364,76
15061365,54
15061367,72
15061368,69
15061369,66
15061370,54
15061377,54
15061378,54
15061380,54
15061382,50
15061383,50
15061384,54
15061385,54
15061386,66
15061388,58
15061389,66
15061390,54
15061392,54
15061394,66
15061396,66
15061404,66
15061406,54
15061410,54
15061411,50
15061414,66
15061415,53
15061417,58
15061418,66
15061419,54
15061420,54
15061421,66
15061422,54
15061423,54
15061424,54
15061425,54
15061430,54
15061434,44
15061435,54
15061436,50
15061437,71
15061438,54
15061439,54
15061441,66
15061442,66
15061443,71
15061444,62
15061445,54
15061447,53
15061453,50
15061458,66
15061459,50
15061461,69
15061462,72
15061463,54
15061469,58
15061470,66
15061471,54
15061475,71
15061477,72
15061478,54
15061479,66
15061480,54
15061481,54
15061482,69
15061484,72
15061485,58
15061487,53
15061488,54
15061489,66
15061490,66
15061492,54
15061493,54
15061495,72
15061498,54
15061500,50
15061501,50
15061503,66
15061504,54
15061505,66
15061507,69
15061508,66
15061509,66
15061511,50
15061514,66
15061516,66
15061517,54
15061518,66
15061520,50
15061521,66
15061523,72
15061524,62
15061525,72
15061526,54
15061528,66
15061530,66
15061533,53
15061534,50
15061535,54
15061536,69
15061537,71
15061538,50
15061539,54
15061542,50
15061543,66
15061546,54
15061549,53
15061550,54
15061551,71
15061553,54
15061555,54
15061556,54
15061557,50
15061561,54
15061564,53
15061565,44
15061566,50
15061567,66
15061571,69
15061575,66
15061576,54
15061577,54
15061580,66
15061585,53
15061586,66
15061588,54
15061601,44
15061602,53
15061604,58
15061608,53
15061609,54
15061610,66
15061614,54
15061621,69
15061622,54
15061626,54
15061627,76
15061628,69
15061629,76
15061630,62
15061632,54
15061633,54
15061638,54
15061639,54
15061640,54
15061641,54
15061642,54
15061645,69
15061646,54
15061649,58
15061650,66
15061651,69
15061653,54
15061654,54
15061658,54
15061659,54
15061665,54
15061666,66
15061667,62
15061668,69
15061669,58
15061670,53
15061671,54
15061673,50
15061677,54
15061678,69
15061679,76
15061680,66
15061682,71
15061683,68
15061684,50
15061686,69
15061687,54
15061688,54
15061690,54
15061702,50
15061706,54
15061707,54
15061709,69
15061712,54
15061714,54
15061717,54
15061719,72
15061720,58
15061722,69
15061723,66
15061724,69
15061725,54
15061726,54
15061729,54
15061733,50
15061734,54
15061735,71
15061736,62
15061737,54
15061738,54
15061740,58
15061744,69
15061747,54
15061751,49
15061752,66
15061753,66
15061754,69
15061755,50
15061756,54
15061757,58
15061758,69
15061760,66
15061761,54
15061762,50
15061764,66
15061766,66
15061769,54
15061771,69
15061772,54
15061773,54
15061776,54
15061777,69
15061784,54
15061785,53
15061788,54
15061789,76
15061790,66
15061795,50
15061797,54
15061798,53
15061799,50
15061800,54
15061811,71
15061813,69
15061814,54
15061815,66
15061826,54
15061905,44
15061906,54
15061907,44
15061908,50
15061909,71
15061910,54
15061911,54
15061915,54
15061917,69
15061918,54
15061926,69
15061927,69
15061929,54
15061930,58
15061933,44
15061934,53
15061937,71
15061939,66
15061941,71
15061944,69
15061945,66
15061948,54
15061949,54
15061951,69
15061952,66
15061953,69
15061954,53
15061957,50
15061958,77
15061960,54
15061961,69
15061964,54
15061965,66
15061966,54
15061967,54
15061968,44
15061969,44
15062036,53
15062038,58
15062039,53
15062050,53
15062051,54
15062052,69
15062053,53
15062063,66
15062067,69
15062069,54
15062071,53
15062080,54
15062081,71
15062092,53
15062094,69
15062097,54
15062100,54
15062101,66
15062102,58
15062103,53
15062105,54
15062106,54
15062107,53
15062108,54
15062109,71
15062112,69
15062115,66
15062117,66
15062118,66
15062119,66
15062122,66
15062124,69
15062126,69
15062133,54
15062136,44
15062139,54
15062143,54
15062144,58
15062145,54
15062146,72
15062147,69
15062149,53
15062150,54
15062151,54
15062152,54
15062153,66
15062332,66
15062333,54
15062334,58
15062335,53
15062337,66
15062338,54
15062339,69
15062344,54
15062346,54
15062347,69
15062349,53
15062350,54
15062351,69
15062353,58
15062354,76
15062356,62
15062357,66
15062358,58
15062359,54
15062360,44
15062361,58
15062363,54
15062366,66
15062367,71
15062368,69
15062369,54
15062371,54
