Samples,PriBrote.H
15061942,314
15061763,307
15061801,352
15061494,314
15061613,314
15062137,329
15061319,307
15062142,327
15060320,346
15061768,301
15061522,307
15060081,307
15061656,316
15061759,308
15061928,303
15061454,308
15061605,320
15060087,307
15061619,346
15060090,307
15061731,347
15061655,329
15061661,308
15061499,314
15061647,306
15061612,314
15061742,307
15061710,307
15062372,306
15061583,308
15061767,307
15062130,352
15061637,307
15061337,314
15062104,307
15061579,314
15061932,330
15061603,306
15060025,307
15061704,306
15061334,320
15061631,306
15060964,309
15061778,322
15061718,307
15061486,314
15060214,315
15061333,306
15061962,328
15061624,329
15061282,306
15061529,314
15061935,347
15061568,320
15061491,336
15061318,307
15061361,307
15061515,314
15062123,307
15061358,306
15061428,336
15061496,314
15061648,307
15061808,352
15061600,319
15061730,319
15061623,307
15061405,307
15061299,309
15061578,329
15061476,314
15061765,307
15062111,307
15061397,304
15061713,307
15061584,327
15061912,341
15061260,307
15062099,308
15061350,336
15060933,350
15061548,327
15061348,307
15061560,314
15061544,314
15061449,307
15062348,320
15061916,307
15062138,306
15061946,307
15061676,314
15060536,350
15061391,41
15061662,314
15061228,307
15061356,320
15061963,334
15061338,307
15062331,322
15062098,336
15062114,308
15062046,341
15062370,307
15061685,306
15061540,307
15061721,331
15062074,307
15062362,309
15061689,352
15061357,307
15061376,336
15061308,306
